BOTTLE,20100608CCHDOSIODM
#Changed SECT_ID from 75_N to 75N to match other 75N SECT_IDs.
#Changed CTDPRS units from DBARS to DBAR.
#Changed THETA units from DEGC to DEG C.
#BOTTLE,20090903PRINUNIVRMK
# README intiialized 12/1/08 
# Final data from A.Olsen 11/27/08 
# Ship: G.O. Sars 
# Cruise: 111 2006 
# EXPOCODE: 58GS20060721 
# DATES: 21/7 -3/8, 2006 
# Region: Akureyri, Iceland, across 75 and 74.5N, Troms¿, Norway.  
# Chief Scientist Are Olsen, Bjerknes Centre for Climate Research, Univ. Bergen, Norway. 
# 67 stations with 24 and 12 place Rosette 
# 24 Bottle from station 253 through 270 
# 12 Bottle from station 271 through 320 
# When the 12 bottle rosette was used we sometimes had to do two casts at each position to cover all depths.  
# These two casts were given DIFFERENT station numbers.  
# The times given are start of each station. 
# Throughout the cruise, two bottles were triggered at the same depth at every station to evaluate sample handling and 
# analysis precision. Stated precision is the mean absolute difference between the replicates  
# Hydro: Who - Are Olsen; Univ. Bergen, Norway; Status -final 
# 	Salinity are bottle samples analyzed at a PORTASAL, specs gives accuracy of 0.003 
# 	CTDSAL, from SEABIRD 911. Upcast data corrected for offset towards bottle salinity values. Station 254 bad CTDSAL, sensor was acting up. 	 
# 	Salinity precision evaluated from duplicate niskin bottles: +/- 0.002 
# Nuts: Who - A. Anita Nybakk/Institute of Marine Research, Bergen, Norway; Status -final  
# 	QUASIMEME calibration program. 
# 	nitrate precision evaluated from duplicate niskin bottles: +/- 0.07 umol/kg 
# 	phosphate evaluated from duplicate niskin bottles: +/- 0.01 umol/kg 
# 	silicate evaluated from duplicate niskin bottles: +/- 0.03 umol/kg 
# O2: Who - Kelly R. Brown, Bjerknes Centre for Climate Research, Univ. Bergen, Norway; Status -final 
# 	Winkler titration of bottle samples  
# 	Density for winkler samples were determined from draw temperatures (not included in final file) and corrected CTDSAL - also for 254, no significant difference compared to using bottle sal.  
# 	precision evaluated from duplicate niskin bottles: +/- 0.2 umol/kg 
# CTDOXY: Who: Are Olsen, Univ. Bergen, Norway; Status -final 
# 	These are upcast values from the Seabird that have been corrected for offset towards the winkler samples, conversion to per kg using theta. 
# TCO2: Who - Abdirahman Omar & Are Olsen, Univ. Bergen, Norway; Status -final  
# 	Two SOMMA instruments 
# 	CRM used. The values were corrected using different correction factors for each cell,  
# 	based on the CRM analyzed at the start and end of each cell. The correction factors were allowed to change 
#  	linearly through each cell's lifetime, this gave minimum station-to-station differences. 
# 	Using a constant factor for each instrument was also tested, no or very little difference.  
# 	The corrections were generally small, 0-2 umol/kg, but required to get the data from the two instruments consistent. 	 
# 	precision evaluated from duplicate niskin bottles: +/- 0.7 umol/kg 
# TA: Who - Abdirahman Omar & Are Olsen, Univ. Bergen, Norway; Status -final  
# 	Gran titration on a VINDTA system 
# 	CRM used, The values were corrected using a linear fit to correction factors from 116 CRM samples throughout the cruise.  
# 	The quality of the TA data from this cruise is not optimal.  
# 	We attribute this to problems with the acid dispension that were later discovered. The data are scattered, and seems around 5 umol/kg 
# 	higher than data from earlier cruises. Flagging removed the worst outliers.  
# 	The data should not be used for work that requires high precision and accuracy. 	 
# 	precision evaluated from duplicate niskin bottles: +/- 4 umol/kg, although this seems fine, I'd say it is optimistic. 
# CFC: Who Anders Olsson & Emil Jeansson, Univ. Bergen; Status - final; S Plus - up to date 
# 	Notes: standard calibration techniques 
# 	CFC-12 precision 2.5% 
# 	CFC-11 precision 1.6% 
# 	Precision estimates supplied by Emil Jeansson.  
EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA
,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,DEG C
  58GS20060721,   75N,   253,  1,      1,2,20060723,1302, 75.0000, -10.7000, 2974,   2953.4,  -0.8484,  34.9140,2,  34.9070,2,   -999.0,9,    300.0,2,    12.05,2,    14.92,2,     0.00,2,  -999.00,9,    0.866,2, -999.000,9,   -999.0,9,   -999.0,9,  -1.0101
  58GS20060721,   75N,   253,  1,      2,2,20060723,1302, 75.0000, -10.7000, 2974,   2954.0,  -0.8487,  34.9140,2,  34.9060,2,   -999.0,9,    300.2,2,    12.10,2,    14.86,2,     0.00,2,     0.98,2,    0.884,2,    0.515,2,   -999.0,9,   2298.0,2,  -1.0104
  58GS20060721,   75N,   253,  1,      3,2,20060723,1302, 75.0000, -10.7000, 2974,   2499.8,  -0.8409,  34.9160,2,  34.9090,2,   -999.0,9,    299.4,2,    11.81,2,    14.87,2,     0.00,2,     0.97,2,    0.876,2,    0.441,2,   2161.4,2,   2301.0,2,  -0.9683
  58GS20060721,   75N,   253,  1,      4,2,20060723,1302, 75.0000, -10.7000, 2974,   2000.0,  -0.8148,  34.9150,2,  34.9070,2,   -999.0,9,    298.7,2,    11.37,2,    14.93,2,     0.00,2,     0.99,2,    1.098,2,    0.521,2,   2160.4,2,   2296.8,2,  -0.9085
  58GS20060721,   75N,   253,  1,      5,2,20060723,1302, 75.0000, -10.7000, 2974,   1499.4,  -0.7207,  34.9130,2,  34.9050,2,   -999.0,9,    301.5,2,    10.21,2,    14.55,2,     0.00,2,     0.96,2,    1.945,2,    0.964,2,   2161.0,2,   2296.2,2,  -0.7855
  58GS20060721,   75N,   253,  1,      6,2,20060723,1302, 75.0000, -10.7000, 2974,    999.8,  -0.6076,  34.9010,2,  34.8930,2,   -999.0,9,    312.1,2,     8.02,2,    13.81,2,     0.00,2,     0.88,2,    4.162,2,    1.954,2,   2163.5,2,   2301.7,2,  -0.6472
  58GS20060721,   75N,   253,  1,      7,2,20060723,1302, 75.0000, -10.7000, 2974,    799.0,  -0.5047,  34.8990,2,  34.8910,2,   -999.0,9,    314.0,2,     7.46,2,    13.49,2,     0.00,2,     0.90,2,    4.513,2,    2.106,2,   2163.0,2,   2298.8,2,  -0.5356
  58GS20060721,   75N,   253,  1,      8,2,20060723,1302, 75.0000, -10.7000, 2974,    648.7,  -0.4064,  34.8960,2,  34.8910,2,   -999.0,9,    317.0,2,     7.14,2,    13.33,2,     0.00,2,     0.89,2,    4.851,2,    2.303,2,   2160.5,2,   2305.7,2,  -0.4311
  58GS20060721,   75N,   253,  1,      9,9,20060723,1302, 75.0000, -10.7000, 2974,    499.6,   0.1081,  34.9220,2,-999.0000,9,   -999.0,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   0.0876
  58GS20060721,   75N,   253,  1,     10,2,20060723,1302, 75.0000, -10.7000, 2974,    499.7,   0.1059,  34.9220,2,  34.9160,2,   -999.0,9,    320.2,2,     6.28,2,    12.77,2,     0.00,2,     0.83,2,    5.394,2,    2.537,2,   2159.4,2,   2297.7,2,   0.0854
  58GS20060721,   75N,   253,  1,     11,2,20060723,1302, 75.0000, -10.7000, 2974,    398.6,   0.2629,  34.9180,2,  34.9110,2,   -999.0,9,    314.4,2,     6.37,2,    12.70,2,     0.02,2,     0.86,2, -999.000,9, -999.000,9,   2157.2,2,   2295.5,2,   0.2464
  58GS20060721,   75N,   253,  1,     12,2,20060723,1302, 75.0000, -10.7000, 2974,    300.6,   0.3465,  34.9030,2,  34.8950,2,   -999.0,9,    303.5,2,     6.78,2,    12.72,2,     0.01,2,     0.86,2,    4.025,2,    1.887,2,   2154.5,2,   2296.6,2,   0.3341
  58GS20060721,   75N,   253,  1,     13,2,20060723,1302, 75.0000, -10.7000, 2974,    200.0,   1.5528,  34.9830,2,  34.9710,2,   -999.0,9,    315.3,2,     5.68,2,    12.08,2,     0.14,2,     0.81,2,    5.580,2,    2.684,2,   2154.0,2,   2306.7,2,   1.5427
  58GS20060721,   75N,   253,  1,     14,2,20060723,1302, 75.0000, -10.7000, 2974,    149.5,   1.7727,  34.9860,2,  34.9780,2,   -999.0,9,    314.9,2,     5.57,2,    11.86,2,     0.15,2,     0.79,2,    5.701,2,    2.716,2,   2153.4,2,   2302.4,2,   1.7649
  58GS20060721,   75N,   253,  1,     15,2,20060723,1302, 75.0000, -10.7000, 2974,    100.8,   2.1971,  35.0060,2,  34.9950,2,   -999.0,9,    312.8,2,     5.44,2,    11.85,2,     0.06,2,     0.79,2,    5.715,2,    2.781,2,   2152.4,2,   2304.7,2,   2.1916
  58GS20060721,   75N,   253,  1,     16,2,20060723,1302, 75.0000, -10.7000, 2974,     73.2,   2.5523,  35.0270,2,  35.0190,2,   -999.0,9,    314.1,2,     5.14,2,    11.61,2,     0.08,2,     0.77,2,    5.936,2,    2.961,2,   2150.8,2,   2305.9,2,   2.5481
  58GS20060721,   75N,   253,  1,     17,2,20060723,1302, 75.0000, -10.7000, 2974,     73.2,   2.5505,  35.0270,2,  35.0200,2,   -999.0,9,    314.1,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    5.903,2,    2.864,2,   2151.7,2,   2305.2,2,   2.5463
  58GS20060721,   75N,   253,  1,     18,2,20060723,1302, 75.0000, -10.7000, 2974,     49.3,   2.5194,  34.9980,2,  35.0200,2,   -999.0,9,    314.2,2,     5.14,2,    10.98,2,     0.25,2,     0.76,2,    5.904,2,    2.992,2,   2150.4,2,   2304.8,2,   2.5166
  58GS20060721,   75N,   253,  1,     19,2,20060723,1302, 75.0000, -10.7000, 2974,     30.0,   3.5843,  34.8240,2,  34.9120,2,   -999.0,9,    326.1,2,     4.10,2,     5.90,2,     0.12,2,     0.54,2,    6.160,2,    3.030,2,   2124.2,2,   2313.6,2,   3.5823
  58GS20060721,   75N,   253,  1,     20,2,20060723,1302, 75.0000, -10.7000, 2974,     10.3,   5.0972,  34.4000,2,  34.5000,2,   -999.0,9,    332.3,2,     0.53,2,     0.10,2,     0.02,2,     0.10,2,    6.083,2,    3.227,2,   2064.8,2,   2293.9,2,   5.0964
  58GS20060721,   75N,   254,  1,      1,2,20060724,0157, 75.0000, -11.3000, 2424,   2384.3,  -0.8295,  34.9190,4,  34.9220,2,    299.9,2,    298.9,2,    11.66,2,    14.64,2,     0.00,2,     1.00,2,    0.786,2, -999.000,9,   2159.1,2,   -999.0,9,  -0.9490
  58GS20060721,   75N,   254,  1,      2,2,20060724,0157, 75.0000, -11.3000, 2424,   2001.0,  -0.8211,  34.9130,4,  34.9250,2,   -999.0,9,    297.9,2,    11.61,2,    14.72,2,     0.01,2,     0.97,2,    0.882,2, -999.000,9,   2161.4,2,   2312.9,2,  -0.9149
  58GS20060721,   75N,   254,  1,      3,2,20060724,0157, 75.0000, -11.3000, 2424,   1500.8,  -0.7609,  34.9080,4,  34.9090,2,   -999.0,9,    301.2,2,    10.35,2,    14.37,2,     0.01,2,     0.96,2,    1.798,2,    0.848,2,   2161.0,2,   2317.9,3,  -0.8253
  58GS20060721,   75N,   254,  1,      4,2,20060724,0157, 75.0000, -11.3000, 2424,   1000.4,  -0.6656,  34.8980,4,  34.8960,2,   -999.0,9,    311.7,2,     8.08,2,    13.61,2,     0.00,2,     0.90,2,    4.027,2,    1.900,2,   2161.4,2,   2298.0,2,  -0.7048
  58GS20060721,   75N,   254,  1,      5,2,20060724,0157, 75.0000, -11.3000, 2424,    801.3,  -0.6058,  34.8950,4,  34.8890,2,   -999.0,9,    322.8,2,     6.81,2,    13.00,2,     0.00,2,     0.85,2,    5.352,2,    2.569,2,   2162.7,2,   2312.3,2,  -0.6361
  58GS20060721,   75N,   254,  1,      6,2,20060724,0157, 75.0000, -11.3000, 2424,    650.7,  -0.4761,  34.8950,4,  34.8920,2,   -999.0,9,    322.3,2,     6.49,2,    12.96,2,     0.00,2,     0.86,2,    5.563,2,    2.630,2,   2162.7,2,   2301.6,2,  -0.5005
  58GS20060721,   75N,   254,  1,      7,2,20060724,0157, 75.0000, -11.3000, 2424,    501.0,  -0.0482,  34.8470,4,  34.9100,2,   -999.0,9,    317.1,2,     6.45,2,    12.83,2,     0.00,2,     0.84,2,    5.089,2,    2.413,2,   2160.1,2,   2302.4,2,  -0.0681
  58GS20060721,   75N,   254,  1,      8,2,20060724,0157, 75.0000, -11.3000, 2424,    401.2,   0.1922,  34.8990,4,  34.9170,2,   -999.0,9,    314.3,2,     6.29,2,    12.61,2,     0.00,2,     0.83,2,    4.929,2,    2.351,2,   2159.2,2,   2300.5,2,   0.1758
  58GS20060721,   75N,   254,  1,      9,9,20060724,0157, 75.0000, -11.3000, 2424,    300.2,   0.5725,  34.7580,4,-999.0000,9,   -999.0,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000
  58GS20060721,   75N,   254,  1,     10,2,20060724,0157, 75.0000, -11.3000, 2424,    300.0,   0.5751,  34.8050,4,  34.9350,2,   -999.0,9,    313.1,2,     6.05,2,    12.58,2,     0.00,2,     0.82,2,    5.145,2,    2.483,2,   2158.0,2,   2306.4,2,   0.5621
  58GS20060721,   75N,   254,  1,     11,2,20060724,0157, 75.0000, -11.3000, 2424,    199.8,   1.3488,  34.9150,4,  34.9620,2,   -999.0,9,    312.7,2,     5.77,2,    12.26,2,     0.05,2,     0.83,2,    5.411,2,    2.629,2,   2155.6,2,   2303.7,2,   1.3390
  58GS20060721,   75N,   254,  1,     12,2,20060724,0157, 75.0000, -11.3000, 2424,    149.6,   1.7314,  34.8400,4,  34.9810,2,   -999.0,9,    316.2,2,     5.48,2,    11.39,2,     0.20,2,     0.79,2,    5.808,2,    2.858,2,   2153.2,2,   2309.2,2,   1.7237
  58GS20060721,   75N,   254,  1,     13,2,20060724,0157, 75.0000, -11.3000, 2424,     99.5,   2.1725,  34.8060,4,  35.0050,2,   -999.0,9,    313.4,2,     5.31,2,    11.72,2,     0.12,2,     0.77,2,    5.833,2,    2.883,2,   2152.4,2,   2308.8,2,   2.1670
  58GS20060721,   75N,   254,  1,     14,2,20060724,0157, 75.0000, -11.3000, 2424,     99.6,   2.1741,  34.9180,4,  35.0050,2,   -999.0,9,    313.5,2,     5.31,2,    11.73,2,     0.12,2,     0.79,2,    5.789,2,    2.862,2,   2153.3,2,   2312.3,2,   2.1686
  58GS20060721,   75N,   254,  1,     15,2,20060724,0157, 75.0000, -11.3000, 2424,     74.5,   2.4666,  34.7110,4,  35.0300,2,   -999.0,9,    313.0,2,     5.14,2,    11.67,2,     0.10,2,     0.78,2,    5.907,2,    2.930,2,   2152.2,2,   2322.0,3,   2.4623
  58GS20060721,   75N,   254,  1,     16,2,20060724,0157, 75.0000, -11.3000, 2424,     49.9,   2.5116,  34.9780,4,  35.0320,2,   -999.0,9,    311.6,2,     5.06,2,    11.66,2,     0.07,2,     0.77,2,    5.935,2,    2.951,2,   2151.3,2,   2312.8,2,   2.5087
  58GS20060721,   75N,   254,  1,     17,2,20060724,0157, 75.0000, -11.3000, 2424,     29.1,   2.6727,  34.9620,4,  34.9820,2,   -999.0,9,    316.0,2,     5.09,2,     9.84,2,     0.26,2,     0.74,2,    6.038,2,    2.993,2,   2146.8,2,   2310.1,2,   2.6710
  58GS20060721,   75N,   254,  1,     18,2,20060724,0157, 75.0000, -11.3000, 2424,     10.0,   4.4164,  34.2330,4,  34.2000,2,   -999.0,9,    334.3,2,     1.17,2,     0.72,2,     0.03,2,     0.12,2, -999.000,9, -999.000,9,   2070.4,2,   2278.8,2,   4.4157
  58GS20060721,   75N,   255,  1,      1,2,20060724,1520, 75.0000, -11.8000, 1945,   1901.0,  -0.8430,  34.9200,2,  34.9180,2,    299.4,2,    298.1,2,    11.67,2,    14.96,2,     0.00,2,     0.94,2,    0.834,2,    0.428,2,   2160.3,2,   2316.2,3,  -0.9301
  58GS20060721,   75N,   255,  1,      2,2,20060724,1520, 75.0000, -11.8000, 1945,   1499.3,  -0.7535,  34.9170,2,  34.9156,2,    299.0,2,    298.9,2,    10.82,2,    14.73,2,     0.00,2,     0.97,2,    1.342,2,    0.611,2,   2160.7,2,   2308.8,2,  -0.8179
  58GS20060721,   75N,   255,  1,      3,2,20060724,1520, 75.0000, -11.8000, 1945,   1200.7,  -0.6657,  34.9110,2,  34.9066,2,    304.1,2,    304.3,2,     9.40,2,    14.27,2,     0.00,2,     0.94,2,    2.592,2,    1.193,2,   2159.7,2,   2337.7,3,  -0.7149
  58GS20060721,   75N,   255,  1,      4,2,20060724,1520, 75.0000, -11.8000, 1945,   1000.5,  -0.6188,  34.9030,2,  34.9010,2,    309.6,2,    310.2,2,     8.21,2,    13.92,2,     0.00,2,     0.91,2,    3.808,2,    1.842,2,   2161.2,2,   2309.1,2,  -0.6584
  58GS20060721,   75N,   255,  1,      5,2,20060724,1520, 75.0000, -11.8000, 1945,    899.9,  -0.6164,  34.8980,2,  34.8946,2,    317.5,2,    317.9,2,     7.32,2,    13.52,2,     0.00,2,     0.89,2,    4.864,2,    2.395,2,   2162.1,2,   2309.4,2,  -0.6512
