BOTTLE,20081217PRINUNIVRMKPRINUNIVRMK
# 3/22/2006 Initialized README file 
# Data from J. Karstensen 3/21/06 
# Additional T,S,P data from Blindheim 4/25/06 (2 decimal only for extra T,S) 
# Ship: J. Hjort 
# Cruise: 58JH9111 
# Dates: 11/6 - 11/25/1991 (included stations only) 
# EXPOCODE: 58JH19911105 
# Region: Greenland-Norwegian Sea 
# Chief Scientist - J.Blindheim and F. Rey 
# 76 stations with 12 place Rosette 
# Hydro: Who - Blindheim; Status - final 
# 	Cast and bottle numbers fabricated 
# 	9101300 subtracted from listed station numbers 
# 	Bottom depths set to max(bottom depth,maxsampdepth+10) with most bottom depths from Blindheim header file 
# 	Salinity data not as good as other cruises in the time series, many values recorded to only 2 decimal places 
# Nuts/O2: Who - F. Rey; Status - final 
# 	Notes: data from Blindheim 3/27/08. 
# 	Added 4/7/08 
# 	Includes ammonium 
# CFC: Who - J. Bullister; Status - final 
# 	Notes: included CFC-11, CCL4,Cl3Et, but no CFC-12, no CFC-113 
# 	See Karstensen et al. 2005 
# 	Values on SIO98 scale 
# H-3/He-3: Who - P.Schlosser; Status - final 
# 	Notes:  
# References: 
# Blindheim, J. and F. Rey, Water-mass formation and distribution in the Nordic Seas during the 1990s, J. Mar. Sci., 61, 846-863, 2004. 
# Karstensen, J., P. Schlosser, D.W.R. Wallace, J.L. Bullister and J. Blindheim, Watermass transformation in the Greenland Sea during the 1990s, J.Geophys. Res., 110, C07022, doi:10.1029/2004JC002510, 2005. 
EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,AMMONI,AMMONI_FLAG_W,CFC-11,CFC-11_FLAG_W,CCL4,CCL4_FLAG_W,MCHFRM,MCHFRM_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,THETA
,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,TU,,NMOL/KG,,PERCNT,,DEGC
  58JH19911105,   GNS,    14,  1,      9,19911106, 62.3670,   5.2000,  165,      0.0,  10.3800,  32.9400,2,   -999.0,9,     2.16,2,     1.48,2,     0.32,2,     0.32,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,  10.3800
  58JH19911105,   GNS,    14,  1,      8,19911106, 62.3670,   5.2000,  165,     10.0,  10.3900,  32.9400,2,   -999.0,9,     2.16,2,     1.45,2,     0.32,2,     0.21,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,  10.3889
  58JH19911105,   GNS,    14,  1,      7,19911106, 62.3670,   5.2000,  165,     20.0,  10.4000,  32.9400,2,   -999.0,9,     2.17,2,     1.47,2,     0.30,2,     0.26,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,  10.3977
  58JH19911105,   GNS,    14,  1,      6,19911106, 62.3670,   5.2000,  165,     30.0,  10.4200,  32.9500,2,   -999.0,9,     2.16,2,     1.47,2,     0.30,2,     0.21,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,  10.4165
  58JH19911105,   GNS,    14,  1,      5,19911106, 62.3670,   5.2000,  165,     50.0,  10.0600,  33.4400,2,   -999.0,9,     2.24,2,     1.82,2,     0.20,2,     0.30,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,  10.0543
  58JH19911105,   GNS,    14,  1,      4,19911106, 62.3670,   5.2000,  165,     75.0,  10.2700,  34.2000,2,   -999.0,9,     2.78,2,     3.48,2,     0.16,2,     0.40,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,  10.2613
  58JH19911105,   GNS,    14,  1,      3,19911106, 62.3670,   5.2000,  165,    100.0,   8.4500,  34.8600,2,   -999.0,9,     5.21,2,     8.00,2,     0.06,2,     0.77,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   8.4396
  58JH19911105,   GNS,    14,  1,      2,19911106, 62.3670,   5.2000,  165,    125.0,   8.2300,  34.9500,2,   -999.0,9,     5.43,2,     9.94,2,     0.06,2,     0.89,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   8.2172
  58JH19911105,   GNS,    14,  1,      1,19911106, 62.3670,   5.2000,  165,    135.0,   8.1700,  34.9900,2,   -999.0,9,     5.47,2,    10.03,2,     0.06,2,     0.86,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   8.1562
