BOTTLE,20081119PRINUNIVRMK
# 5/18/05 Initialized README file  
# Data from Kozyr via CARINA site 5/11/04 
# Ship: Meteor 
# Cruise: 06MT21/5-6 
# EXPOCODE: 06MT19920701 
# DATES: 7/1/1992-7/23/1992 & 7/26 - 8/31/1992 
#    Trondheim - Reykjavik 
#    Reykjavik - Hamburg 
# 88 stations with 12 place Rosette (many only have surface data) 
# Chief Scientist - G.Graf 
# 	          O. Pfannkuche 
# Hydro: Who - ??; Status - final 
# 	Notes: Pressure approximated from depth 
# 	Bottle and cast values fabricated 
# 	Bottom depths from global topography 
# TCO2: Who - Pegler; Status - final; S Plus - up to date 
# 	Notes: Coulometric, Precision? CRM? 
# 	Deep TCO2 values north of Iceland ~15umol/kg lower than TTO for area 
# 	Deep TCO2 values south of Iceland are comparable to GLODAP for area 
# TA: Who - Pegler; Status - final; S Plus - up to date 
# 	Notes: Potentiometric, Precision? 
# 	Deep Alk values north of Iceland ~10umol/kg lower than TTO for area 
# 	Deep Alk values south of Iceland are at least 5-8umol/kg lower than 
# 		 GLODAP for area 
EXPOCODE,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,SALNTY,SALNTY_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA
,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,DEGC
  06MT19920701,   315,  1,      1,2,19920703, 66.6660,   4.9140, 1268,     12.1,   9.0010,  35.1740,2,   2075.7,2,   2334.4,2,     8.99969621
  06MT19920701,   315,  1,      2,2,19920703, 66.6660,   4.9140, 1268,     33.3,   8.3260,  35.1740,2,   2090.4,2,   2331.2,2,     8.32257776
  06MT19920701,   315,  1,      3,2,19920703, 66.6660,   4.9140, 1268,     73.6,   6.7890,  35.1700,2,   2123.0,2,   2318.1,2,     6.78226703
  06MT19920701,   315,  1,      4,2,19920703, 66.6660,   4.9140, 1268,    504.4,   1.9310,  34.9360,2,   2144.9,2,   2298.7,2,     1.90267802
  06MT19920701,   315,  1,      5,2,19920703, 66.6660,   4.9140, 1268,   1004.9,  -0.8990,  34.9080,2,   2150.5,2,   2304.0,2,    -0.93648545
  06MT19920701,   317,  1,      1,2,19920704, 67.6530,   5.7700, 2009,     14.1,   9.0500,  35.1750,2,   2059.6,2,   2337.7,2,     9.04847356
  06MT19920701,   317,  1,      2,2,19920704, 67.6530,   5.7700, 2009,     33.3,   7.6860,  35.1660,2,   2093.3,2,   2324.6,2,     7.68273867
  06MT19920701,   317,  1,      3,2,19920704, 67.6530,   5.7700, 2009,     54.4,   6.6820,  35.1630,2,   2118.1,2,   2317.1,2,     6.67707212
  06MT19920701,   317,  1,      4,2,19920704, 67.6530,   5.7700, 2009,     74.6,   6.4090,  35.1550,2,   2122.9,2,   2314.5,2,     6.40239371
  06MT19920701,   317,  1,      5,2,19920704, 67.6530,   5.7700, 2009,    103.8,   6.2840,  35.1570,2,   2122.8,2,   2316.1,2,     6.27488248
