BOTTLE,20090112PRINUNIVRMKPRINUNIVRMK
# 10/19/07 Initialized README file for WOCE leg  
# Ship: Ymer 
# Cruise: 
# Dates: 8/11-9/19/1980 
# EXPOCODE: 77YM19800811 
# Region: Northern Nordic Seas east and west of Svalbard @~80N 
# Ch. Sci.: unknown 
# 38 stations;  with 12 place Rosette 
# Hydro: Who - ?; Status - final 
# 	Notes:CTDSAL only 
# 	Data from Leif Anderson 1/16/07 
# 	Dates from James Swift 10/16/07 
# 	Bottom depth from global topography 
# 	Bottle and cast numbers fabricated, cast = 1 
# 	See Anderson and Dryssen, 1981; Lubinski et al.,2001 
# Nuts/O2: Who - L. Anderson; Status - final 
# 	Notes: Data from Leif Anderson 1/16/07 
# 	See Anderson et al.1983 
# TCO2: Who - L Anderson; Status - no data  
# 	Notes: measurements by photometric titration, data not included 		due to quality 
# 	See Sorai and Ohsumi, 2005. 
# TA: Who - L. Anderson; Status - no data 
# 	Notes: See Anderson et al.1983 
# H-3/O18: Who - Ostlund; Status - final 
# 	Notes: Data from Charlene Grall 10/29/2007 
# 	Set cast = 2 
# 	Temperature calculated from theta 
# 	O2 and nutrients filled in by interpolation 
# 	See Ostlund and Hut, 1984. 
# References: 
# Anderson, L. and D. Dryssen, Chemical constituents in the Arctic Ocean in the Svalbard area, Oceanolog. Acta, 4, 305-311, 1981. 
# Anderson, L., D. Dryssen, D.P. Jones and M.B. Lowings, Inputs and outputs of salt, freshwater, alkalinty and silica in the Arctic Ocean, Deep-Sea Res., 30, 87-94, 1983. 
# Lubinski, D.J., L. Polyak and S.L. Forman, Freshwater and Atlantic water inflows to the deep northern Barents and Kara seas since ca 13 14Cka: foraminifera and stable isotopes, Quat. Sci. Rev. 20, 1851-1879, 2001. 
# Ostlund, H.G. and G. Hut, Arctic Ocean water mass balance from isotope data, J. Geophys. Res., 89(C4), 6373-6381, 1984. 
# Sorai, M. and T. Ohsumi, Ocean uptake potential for carbon dioxide sequestration, Geochem. J., 39, 29-45, 2005. 
EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TRITUM,TRITER,TRITUM_FLAG_W,DELO18,DELO18_FLAG_W,THETA
,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,TU,TU,,O/OO,,DEGC
  77YM19800811,Arctic,   100,  1,      4,19800811, 78.8670,  27.6670,  213,      5.0,   0.1840,  32.9340,2,    409.5,2,  -999.00,9,  -999.00,9,  -999.00,9, -999.000, -999.000,9,  -999.00,9,   0.1838
  77YM19800811,Arctic,   100,  1,      3,19800811, 78.8670,  27.6670,  213,     10.0,   0.1840,  32.9360,2,    409.5,2,  -999.00,9,  -999.00,9,  -999.00,9, -999.000, -999.000,9,  -999.00,9,   0.1837
  77YM19800811,Arctic,   100,  1,      2,19800811, 78.8670,  27.6670,  213,     20.0,  -0.0850,  33.1020,2,    409.4,2,  -999.00,9,  -999.00,9,  -999.00,9, -999.000, -999.000,9,  -999.00,9,  -0.0856
  77YM19800811,Arctic,   100,  1,      1,19800811, 78.8670,  27.6670,  213,     25.0,  -0.1150,  33.1240,2,    409.4,2,  -999.00,9,  -999.00,9,  -999.00,9, -999.000, -999.000,9,  -999.00,9,  -0.1158
  77YM19800811,Arctic,   101,  1,      6,19800813, 80.2170,  22.2500,  160,      5.0,  -0.4790,  33.3190,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000, -999.000,9,  -999.00,9,  -0.4791
  77YM19800811,Arctic,   101,  1,      5,19800813, 80.2170,  22.2500,  160,     10.0,  -1.0840,  33.4190,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000, -999.000,9,  -999.00,9,  -1.0842
  77YM19800811,Arctic,   101,  1,      4,19800813, 80.2170,  22.2500,  160,     15.0,  -1.3400,  33.7190,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000, -999.000,9,  -999.00,9,  -1.3403
  77YM19800811,Arctic,   101,  1,      3,19800813, 80.2170,  22.2500,  160,     31.0,  -1.4140,  34.1720,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000, -999.000,9,  -999.00,9,  -1.4147
  77YM19800811,Arctic,   101,  1,      2,19800813, 80.2170,  22.2500,  160,     50.0,  -1.4000,  34.3020,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000, -999.000,9,  -999.00,9,  -1.4011
