BOTTLE,20090109PRINUNIVRMKPRINUNIVRMK
# Data rcd from A. Olsen 2/16/06 
# Ship: James Clark Ross 
# Cruise: 74JC9608 
# Dates: 7/20 - 8/22/1996  
# EXPOCODE: 74JC19960720 
# Region: Greenland-Norwegian Sea 
# Chief Scientist: A.Watson (School of Env. Sci., Univ. East Anglia, UK). 
# 41 stations with 24 bottle Rosette 
# Hydro: Who - A.Watson; Status - final 
# Nuts/O2: Who - A.Watson/S.Mortimer/N.Shuttlewood; Status - final 
# 	Nutrients: Analysed on board the ship (Skalar Autoanalyser) 
# 	Oxygen: Analysed on board (Winkler titration).  
# TCO2: Who - T. Johannessen/I.Skjelvan; Status - final 
# 	Notes: Method: SOMMA extraction system (K. Johnson) and coulometrically detection (DOE, 1994). 
# 	CRM used to assure accuracy.  
# TA: Who - T. Johannessen/I.Skjelvan; Status - final 
# 	Method: TA determined by titrating the sample with HCl and measure the pH change using a potentiometric method (Haraldsson et al., 1997).  
# 	CRM used to assure accuracy. 
# fCO2: Who - I.Skjelvan; Status - underway only  
# CFC: Who - A.Olsson/E.Fogelqvist, Göteborg University; Status - final 
# 	Notes: data from Anders Olsson 11/9/2007 
# 	includes cfc113 and ccl4 
# SF6: Who - Mare-José Messias, U. East Anglia; Status - final 
# 	Notes: data from Anders Olsson 11/9/2007 
# References: 
# Haraldsson, C., Anderson, L.G., Hassellov, M., Hulth, S. and Olsson, K. 1997. Rapid, high-precision potentiometric titration of alkalinity in the ocean and sediment pore waters. Deep-Sea Res. I, 44, 2031-2044 
EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA
,,,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG,,DEGC
  74JC19960720,   GNS,     7,  1,     24,2,19960726,  15, 73.6200,  -3.1000, 3473,      0.0,  -0.3390,  30.1210,2,  30.1530,2,    306.5,3,     2.83,2,     5.66,2,     0.35,2,    7.238,   2,    3.677,   2,    0.640,   2, -999.000,   9,     -999,   9,   1854.2,2,   1655.0,3,  -0.3390
  74JC19960720,   GNS,     7,  1,     23,2,19960726,  15, 73.6200,  -3.1000, 3473,     10.4,  -0.9760,  34.0930,2,  34.0210,2,    338.3,3,     4.39,2,     6.54,2,     0.38,2,    7.316,   2,    3.305,   2,    0.663,   2,    9.425,   2,     -999,   9,   2067.0,2,   1944.0,3,  -0.9763
  74JC19960720,   GNS,     7,  1,     22,2,19960726,  15, 73.6200,  -3.1000, 3473,     20.3,  -1.2590,  34.2940,2,  34.3190,2,    325.6,3,     4.88,2,     8.20,2,     0.48,2,    6.623,   2,    3.256,   2,    0.533,   2, -999.000,   9,     -999,   9,   2092.9,2,   2225.0,3,  -1.2595
  74JC19960720,   GNS,     7,  1,     21,2,19960726,  15, 73.6200,  -3.1000, 3473,     30.3,  -1.2990,  34.3840,2,  34.3730,2,    318.3,3,     5.17,2,     9.37,2,     0.54,2,    6.989,   2,    3.201,   2,    0.655,   2,    8.721,   2,     -999,   9,   2101.7,2,   2256.0,2,  -1.2997
  74JC19960720,   GNS,     7,  1,     20,2,19960726,  15, 73.6200,  -3.1000, 3473,     50.2,  -0.7360,  34.6490,2,  34.6490,2,    290.0,3,     5.95,2,    13.95,2,     0.76,2,    6.120,   2,    2.954,   2,    0.503,   2,    8.574,   2,     -999,   9,   2137.0,2,   2268.0,2,  -0.7375
  74JC19960720,   GNS,     7,  1,     19,2,19960726,  15, 73.6200,  -3.1000, 3473,     75.5,   0.2920,  34.8010,2,  34.8040,2,    278.3,3,     6.05,2,    15.12,2,     0.81,2,    5.159,   2,    2.359,   2,    0.408,   2,    6.277,   2,     -999,   9,   2143.2,2,   2273.0,2,   0.2891
  74JC19960720,   GNS,     7,  1,     18,2,19960726,  15, 73.6200,  -3.1000, 3473,    100.4,   0.5855,  34.8730,2,  34.8695,2,    273.5,3,     6.44,2,    15.32,2,     0.82,2,    4.930,   2,    2.360,   2,    0.440,   2,    6.120,   2,     -999,   9,   2145.3,2,   2278.0,2,   0.5813
  74JC19960720,   GNS,     7,  1,     16,2,19960726,  15, 73.6200,  -3.1000, 3473,    125.1,   0.4520,  34.8750,2,  34.8750,2,    274.4,3,     6.24,2,    15.51,2,     0.82,2,    4.854,   2,    2.201,   2,    0.376,   2,    5.992,   2,     -999,   9,   2147.7,2,   2282.0,2,   0.4469
  74JC19960720,   GNS,     7,  1,     15,2,19960726,  15, 73.6200,  -3.1000, 3473,    150.3,   0.4050,  34.8870,2,  34.8840,2,    271.3,3,     6.24,2,    15.41,2,     0.81,2,    4.749,   2,    2.189,   2,    0.396,   2,    6.045,   2,     -999,   9,   2149.0,2,   2279.0,2,   0.3989
