BOTTLE,20081216PRINUNIVRMKPRINUNIVRMK
# Data from I. Skjelvan 7/5/05 
# Ship: Haakon Mosby 
# Cruise: 58AA9918 
# Dates: 10/03 - 10/11/1999 
# EXPOCODE: 58AA19991003 
# Region: South of Svalbard 
# Chief Scientists: Abdirahman Omar and Are Olsen  
# 115 stations with 1-12 place Rosette 
# Hydro: Who - Sonke Maus; Status - not correted 
# 	Notes: Temperature and Salinity are the values from the CTD. 
# 	There are some samples with high salinity and low temperature due to brine release. 
# 	Density calculated with CTD Salinity 
# 	Bottle salt QC'ed against CTD salt 
# 	Cast number set to 1 for all samples 
# 	In original file column labeled "depth" was really pressure (assumed and depth calcualted) 
# Nuts: Who - Inst of Marine Research, Bergen; Status - final 
# 	Note: units converted to umol/kg using CTD salinity and assumed lab temperature of 25C 
# 	No oxygen data 
# 	Anomalous points noted and forwarded to Abdir 
# 	Flags checked and updated by Abdir Omar (12/13/05) 
# 	Nutrient samples were frozen 
# 	Some of the nitrate and phosphate values look strange against pressure, but nothing really stands out as anomalous when plotted against each other.  
# 	Measurement precision appears to be too poor to do much primary QC 
# O2: Who - ; Status - No data in file. 
# TCO2: Who - Abdirahman Omar and Are Olsen; Status - final 
# 	Notes: data for stations 1, 2, and 3 are questionable. 
# 	Anomalous points noted, but no flags changed 
# 	Coulometric titration with SOMMA system 
# 	Estimated precision 5.6umol/kg 
# 	CRM batch 42; CRM runs 5.9 to 49 umol/kg LOWER (mean/std 16.9+/-10.5) than certified value. Average standard deviation of CRM replicates 1.14umol/kg 
# 	Values adjusted to CRM assuming linear drift between CRM runs and correction applied multiplicatively 
# TA: Who - Abdirahman Omar and Are Olsen; Status - final 
# 	Notes: data for stations 1, 2, and 3 are questionable. 
# 	Anomalous points noted, but no flags changed 
# 	Open cell titration 
# 	CRM used, batch 42; CRM analysis gave results that were between 92 umol/kg lower than to 41 umol/kg higher than certified value. 
# 	Standard deviation of CRM duplicates was 2umol/kg.  
# 	Samples adjusted to CRM by multiplication assuming liner drift between CRM runs. 
# 	Estimated precision 5.9umol/kg 
# fCO2: Who - Abdirahman Omar; Status - Not ready yet. 
EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,ID,THETA
,,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,,DEGC
  58AA19991003,   GNS,     1,  1,      1,2,19991003, 78.3667,  16.6650,   81,     80.3,   1.8230,  34.1181,2,  34.2210,2,     1.76,2,     3.03,2,     0.18,2,     0.37,2,   -999.0,9,   2336.0,3,     8098,   1.8190
  58AA19991003,   GNS,     1,  1,      2,2,19991003, 78.3667,  16.6650,   81,     50.5,   2.7109,  33.8864,2,  34.0630,2,     1.37,2,     2.15,2,     0.21,2,     0.33,2,   -999.0,9,   -999.0,9,     8099,   2.7080
  58AA19991003,   GNS,     1,  1,      3,2,19991003, 78.3667,  16.6650,   81,     30.8,   3.0282,  33.4259,2,  33.6820,3,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   2286.6,3,     8100,   3.0264
  58AA19991003,   GNS,     2,  1,      1,2,19991004, 78.5667,  16.4700,  148,    143.8,  -1.7736,  34.5078,2,  34.5090,2,     7.42,2,    12.31,2,     0.03,2,     1.05,2,   2194.9,2,   2327.2,3,     8101,  -1.7766
  58AA19991003,   GNS,     2,  1,      2,2,19991004, 78.5667,  16.4700,  148,    100.3,  -1.7267,  34.4734,2,  34.5130,2,     6.06,2,    11.23,2,     0.02,2,     0.93,2,   -999.0,9,   2317.2,3,     8102,  -1.7288
  58AA19991003,   GNS,     2,  1,      3,2,19991004, 78.5667,  16.4700,  148,     80.6,  -1.5506,  34.4348,2,  34.4530,2,     3.52,2,     9.08,2,     0.01,2,     0.68,2,   2152.7,2,   2320.0,3,     8103,  -1.5524
  58AA19991003,   GNS,     2,  1,      4,2,19991004, 78.5667,  16.4700,  148,     51.3,   0.5399,  34.0851,2,  34.2050,2,     2.15,2,     5.76,2,     0.13,2,     0.49,2,   2094.2,2,   2298.2,3,     8104,   0.5379
  58AA19991003,   GNS,     2,  1,      5,2,19991004, 78.5667,  16.4700,  148,     31.1,   2.2563,  33.6872,2,-999.0000,9,     1.47,2,     2.54,2,     0.21,2,     0.30,2,   2053.5,2,   2251.1,3,     8105,   2.2547
  58AA19991003,   GNS,     2,  1,      6,2,19991004, 78.5667,  16.4700,  148,     11.1,   2.8589,  32.3322,2,-999.0000,9,     1.27,2,     1.27,2,     0.14,2,     0.20,2,   2013.1,2,   2212.6,3,     8106,   2.8583
  58AA19991003,   GNS,     3,  1,      1,2,19991004, 78.5317,  16.1833,  204,    199.5,  -0.2752,  34.4878,2,  32.6380,4,     2.25,2,     2.44,2,     0.05,2,     0.26,2,   2009.8,4,   2181.7,3,     8107,  -0.2820
  58AA19991003,   GNS,     3,  1,      2,2,19991004, 78.5317,  16.1833,  204,    150.8,   0.1565,  34.4622,2,  33.4650,4,     3.52,2,     5.27,2,     0.07,2,     0.45,2,   -999.0,9,   2221.6,3,     8108,   0.1508
  58AA19991003,   GNS,     3,  1,      3,2,19991004, 78.5317,  16.1833,  204,     99.7,   0.8574,  34.4087,2,  34.4250,2,     2.64,2,     6.25,2,     0.11,2,     0.52,2,   2107.0,2,   2280.2,2,     8109,   0.8531
  58AA19991003,   GNS,     3,  1,      4,2,19991004, 78.5317,  16.1833,  204,     70.0,   1.5887,  34.2706,2,-999.0000,9,     2.15,2,     4.88,2,     0.14,2,     0.45,2,   2092.9,2,   2271.5,2,     8110,   1.5853
  58AA19991003,   GNS,     3,  1,      5,2,19991004, 78.5317,  16.1833,  204,     28.2,   2.9281,  33.6770,2,-999.0000,9,     1.27,2,     1.56,2,     0.21,2,     0.27,2,   2038.7,2,   2230.9,2,     8111,   2.9265
  58AA19991003,   GNS,    16,  1,      1,2,19991004, 77.6443,  10.7333,  432,    423.0,   3.5044,  35.0282,2,  35.0330,2,     4.78,2,    10.84,2,     0.01,2,     0.73,2,   2154.5,2,   2299.4,2,     8112,   3.4755
  58AA19991003,   GNS,    16,  1,      2,2,19991004, 77.6443,  10.7333,  432,    423.6,   3.5047,  35.0280,2,-999.0000,9,     5.08,2,    11.52,2,     0.01,2,     0.80,2,   2151.8,2,   2300.4,2,     8113,   3.4758
  58AA19991003,   GNS,    16,  1,      3,2,19991004, 77.6443,  10.7333,  432,    120.6,   6.2911,  35.1223,2,  35.1290,2,     4.69,2,    11.81,2,     0.01,2,     0.85,2,   2144.6,2,   2305.2,2,     8114,   6.2805
  58AA19991003,   GNS,    16,  1,      4,2,19991004, 77.6443,  10.7333,  432,    120.8,   6.2876,  35.1227,2,-999.0000,9,     4.59,2,    11.52,2,     0.01,2,     0.85,2,   2144.1,2,   2303.8,2,     8115,   6.2770
  58AA19991003,   GNS,    16,  1,      5,2,19991004, 77.6443,  10.7333,  432,     42.4,   6.5391,  34.9864,2,-999.0000,9,     2.44,2,     5.27,2,     0.13,2,     0.48,2,   2115.1,2,   2304.9,2,     8117,   6.5353
  58AA19991003,   GNS,    17,  1,      1,2,19991004, 77.6388,  10.7000,  555,    441.5,   3.3600,  35.0167,2,  35.1330,2,     4.69,2,    11.42,2,     0.01,2,     0.74,2,   2148.3,2,   2306.1,2,     8118,   3.3303
  58AA19991003,   GNS,    17,  1,      2,2,19991004, 77.6388,  10.7000,  555,    442.1,   3.3609,  35.0169,2,-999.0000,9,     4.59,2,    10.74,2,     0.01,2,     0.71,2,   2154.6,2,   2300.3,2,     8119,   3.3312
  58AA19991003,   GNS,    17,  1,      3,2,19991004, 77.6388,  10.7000,  555,    120.0,   6.3563,  35.1216,2,  35.1270,2,     4.00,2,    10.06,2,     0.01,2,     0.64,2,   2143.5,2,   2306.3,2,     8120,   6.3457
  58AA19991003,   GNS,    17,  1,      4,2,19991004, 77.6388,  10.7000,  555,    120.3,   6.3574,  35.1221,2,-999.0000,9,     4.10,2,    10.25,2,     0.01,2,     0.66,2,   2144.4,2,   2307.0,2,     8121,   6.3468
  58AA19991003,   GNS,    17,  1,      6,2,19991004, 77.6388,  10.7000,  555,     50.1,   6.5725,  34.9929,2,  34.9970,2,     2.54,2,     5.47,2,     0.12,2,     0.44,2,   2113.7,2,   2304.8,2,     8123,   6.5680
  58AA19991003,   GNS,    22,  1,      1,2,19991005, 76.4100,  16.7083,   35,     30.9,   1.8656,  33.4348,2,  33.4400,2,     0.98,2,     1.17,2,     0.08,2,     0.24,2,   2047.1,2,   2215.0,2,     8124,   1.8641
  58AA19991003,   GNS,    22,  1,      2,2,19991005, 76.4100,  16.7083,   35,     21.3,   1.8583,  33.4262,2,  33.4360,2,     0.98,2,     1.08,2,     0.08,2,     0.34,2,   -999.0,9,   2215.7,2,     8125,   1.8573
  58AA19991003,   GNS,    22,  1,      3,2,19991005, 76.4100,  16.7083,   35,     11.4,   1.8103,  33.3880,2,  33.4090,2,     0.98,2,     1.08,2,     0.08,2,     0.26,2,   2048.6,2,   2211.2,2,     8126,   1.8098
  58AA19991003,   GNS,    23,  1,      1,2,19991005, 76.3500,  16.9300,  100,     93.2,   1.2693,  34.6361,2,  34.6390,2,     2.83,2,     6.45,2,     0.15,2,     0.52,2,   -999.0,9,   2283.2,2,     8127,   1.2650
