BOTTLE,20101119CCHDOSIODM
# Ship: Louis S. St. Laurent 
# Cruise: JOIS 97  Leg IV
# Dates: 09/18 - 10/20/1997 
# EXPOCODE: 18SN19970924 
# Region:Arctic 
# Chief Scientist:James H. Swift
# 16 stations with 36 place Rosette 
# Hydro: Who - James H. Swift; Status - final 
# Nuts/O2: Who - James H. Swift; Status - final 
# TCO2: Who - P.Jones/K.Azetsu-Scott; Status - final 
# TA: Who - Who - P.Jones/K.Azetsu-Scott; Status - final 
# CFC: Who - P.Jones/K.Azetsu-Scott; Status - final 
#       Notes: Includes CFC-113 and CCl4 
# References: 
# McLaughlin, F.A., E.C. Carmack, R.W. Macdonald, H. Melling, J.H. Swift, P.A. Wheeler, B.F. Sherr and E.B. Sherr, The joint roles of Pacific and Atlantic-origin waters in the Canada Basin, 1997-1998, Deep-Sea Res. I, 51(1), 107-128, 2004. 
# Jutterstrm, S. and L.G. Anderson, The saturation of calcite and aragonite in thhe Arctic Ocean, Mar. Chem., 94, 101-110, 2005. 
#code : Justin Fields merge_exchange.rb 
#original files copied from HTML directory: 2010-11-17
#original HYD file: /Users/dave/CCHD10/JOIS4/jois4cut2_hy1.csv  2010-11-17
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,DEG C
18SN19970924, A97, 1, 1, 6, 6, 2, 19970924, 2341, 70.1982, -141.5107, 41,      3.7,  -0.3861,  32.2629, 2,  32.2612, 2,    353.4, 2,   -999.0, 9,    21.25, 2,     8.93, 2,     0.06, 2,     1.41, 2, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  -0.3862
18SN19970924, A97, 1, 1, 5, 5, 2, 19970924, 2341, 70.1982, -141.5107, 41,      4.1,  -0.3864,  32.2629, 2,  32.2625, 2,    344.3, 2,    344.7, 2,    21.25, 2,     8.93, 2,     0.06, 2,     1.44, 2,    6.220, 2,    3.090, 2,    0.340, 2,    8.440, 2,   2153.0, 2,   2243.4, 2,  -0.3866
18SN19970924, A97, 1, 1, 3, 3, 2, 19970924, 2341, 70.1982, -141.5107, 41,     16.0,  -0.4311,  32.2890, 2,  32.2915, 2,    342.8, 2,    343.5, 2,    21.87, 2,     9.27, 2,     0.07, 2,     1.41, 2,    6.220, 2,    3.240, 2,    0.400, 2,    8.930, 2,   2159.3, 2,   2245.2, 2,  -0.4315
18SN19970924, A97, 1, 1, 4, 4, 2, 19970924, 2341, 70.1982, -141.5107, 41,     16.5,  -0.4311,  32.2891, 2,  32.2929, 2,    342.8, 2,   -999.0, 9,    21.88, 2,     9.26, 2,     0.07, 2,     1.44, 2,    6.400, 2,    3.250, 2,    0.340, 2,    8.640, 2,   2159.8, 2,   2233.5, 2,  -0.4316
18SN19970924, A97, 1, 1, 2, 2, 2, 19970924, 2341, 70.1982, -141.5107, 41,     34.4,  -1.2987,  32.6594, 2,  32.6064, 2,    311.7, 2,    309.3, 2,    27.21, 2,    11.69, 2,     0.08, 2,     1.62, 2,    5.510, 2,    2.920, 2,    0.340, 2,    7.690, 2,   2188.6, 2,   2254.5, 2,  -1.2994
18SN19970924, A97, 1, 1, 1, 1, 2, 19970924, 2341, 70.1982, -141.5107, 41,     45.4,  -1.3092,  32.6665, 2,  32.6622, 2,    298.9, 2,    304.8, 2,    28.46, 2,    12.17, 2,     0.08, 2,     1.66, 2,    5.500, 2,    2.755, 2,    0.260, 2,    8.495, 2,   1908.0, 4,   2251.6, 2,  -1.3101
18SN19970924, A97, 2, 1, 7, 7, 2, 19970925, 0124, 70.4173, -141.6467, 102,      5.8,  -0.5486,  31.2139, 2,  31.2207, 2,    368.9, 2,    371.3, 2,     8.97, 2,     2.59, 2,     0.05, 2,     1.00, 2, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  -0.5488
18SN19970924, A97, 2, 1, 8, 8, 2, 19970925, 0124, 70.4173, -141.6467, 102,      5.9,  -0.5647,  31.2273, 2,  31.2178, 2,    369.4, 2,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,    6.720, 2,    3.250, 2,    0.390, 2,    9.300, 2,   2103.4, 2,   2228.6, 2,  -0.5649
18SN19970924, A97, 2, 1, 6, 6, 2, 19970925, 0124, 70.4173, -141.6467, 102,     19.9,  -0.6069,  31.4408, 2,  31.3847, 2,    362.1, 2,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  -0.6074
