BOTTLE,20081218PRINUNIVRMKPRINUNIVRMK
# 4/26/05 Initialized README file  
# Data from Kozyr via CARINA site 5/11/04 
# Revised file from I. Skjelvan 7/12/05 
# Ship: Johan Hjort 
# Cruise: 58JH9405 
# Dates: 5/25 - 6/6/1994 
# EXPOCODE: 58JH19940525 
# Region: Greenland-Norwegian Sea with 75N section 
# Chief Scientist - F. Rey 
# 44 stations with 12 place Rosette 
# Hydro: Who - F. Rey; Status - final 
# 	Notes: 	Salt from CTD 
# 	Original bottle numbers listed as sample 
# Nuts/O2: Who - F. Rey; Status - final 
# 	Notes: Autoanalyzer aboard ship; no nuts on sta 351:354 
# 	Oxygen via Winkler 
# 	Deep phosphate have considerable scatter and lower than TTO by ~0.1umol/kg 
# 	Deep nitrate comparable to TTO 
# 	Silicate data fall between two trends found in TTO data 
# 	Deep AOU ~5umol/kg higher than higher of 2 TTO trends 
# TCO2: Who - T.Johannessen/I.Skjelvan; Status - final 
# 	Notes: CRM used with SOMMA/coulometry 
# 	Precision better than 3umol/kg 
# 	Deep values slightly lower (~10umol/kg) than TTO 
# 	Station 335,337 values flagged 3 from 2nd QC and cruise note indicating CRM problem 
# TA: Who - T.Johannessen/I.Skjelvan; Status - final 
# 	Notes: CRM not used; 
# 	TRIS buffer for calibration;  
# 	Closed cell potentiometric titration 
# 	Some samples measured ashore, some aboard. All stored samples marked questionable 
# 	Precision 9-15 umol/kg 
# 	Deep alk data is ~20umol/kg lower than TTO 
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA
,,,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,DEGC
  58JH19940525,   75N,   311,  1,     65,     12,2,19940527, 67.0000,  10.0000,  411,      5.0,   6.8850,  34.2140,2,    325.4,2,     2.30,2,     0.50,2,     0.13,2,     0.29,2,   -999.0,9,   -999.0,9,   6.8796
  58JH19940525,   75N,   311,  1,     66,     11,2,19940527, 67.0000,  10.0000,  411,     10.0,   6.8990,  34.2450,2,    324.1,2,     2.30,2,     0.70,2,     0.13,2,     0.34,2,   -999.0,9,   -999.0,9,   6.8991
  58JH19940525,   75N,   311,  1,     67,     10,2,19940527, 67.0000,  10.0000,  411,     20.0,   6.9600,  34.8450,2,    313.2,2,     2.00,2,     4.00,2,     0.19,2,     0.51,2,   -999.0,9,   -999.0,9,   6.9582
  58JH19940525,   75N,   311,  1,     68,      9,2,19940527, 67.0000,  10.0000,  411,     30.0,   6.6240,  34.9530,2,    296.8,2,     2.10,2,     6.80,2,     0.27,2,     0.71,2,   -999.0,9,   -999.0,9,   6.6173
  58JH19940525,   75N,   311,  1,     69,      8,2,19940527, 67.0000,  10.0000,  411,     50.0,   6.6000,  35.0360,2,    288.2,2,     3.10,2,    10.00,2,     0.28,2,     0.81,2,   -999.0,9,   -999.0,9,   6.5955
  58JH19940525,   75N,   311,  1,     70,      7,2,19940527, 67.0000,  10.0000,  411,     75.0,   6.8630,  35.1290,2,    286.4,2,     4.80,2,    12.40,2,     0.17,2,     0.93,2,   -999.0,9,   -999.0,9,   6.8531
  58JH19940525,   75N,   311,  1,     71,      6,2,19940527, 67.0000,  10.0000,  411,    100.0,   6.7840,  35.1360,2,    283.2,2,     4.80,2,    12.40,2,     0.14,2,     0.90,2,   -999.0,9,   -999.0,9,   6.7708
  58JH19940525,   75N,   311,  1,     72,      5,2,19940527, 67.0000,  10.0000,  411,    150.0,   6.6580,  35.1250,2,    283.6,2,     4.90,2,    12.30,2,     0.10,2,     0.89,2,   -999.0,9,   -999.0,9,   6.6464
  58JH19940525,   75N,   311,  1,     73,      4,2,19940527, 67.0000,  10.0000,  411,    200.0,   6.6040,  35.1250,2,    285.4,2,     4.90,2,    12.30,2,     0.11,2,     0.91,2,   -999.0,9,   -999.0,9,   6.5818
  58JH19940525,   75N,   311,  1,     74,      3,2,19940527, 67.0000,  10.0000,  411,    250.0,   6.5200,  35.1150,2,    286.8,2,     4.90,2,    12.20,2,     0.09,2,     0.89,2,   -999.0,9,   -999.0,9,   6.4974
  58JH19940525,   75N,   311,  1,     75,      2,2,19940527, 67.0000,  10.0000,  411,    300.0,   6.4660,  35.1200,2,    286.8,2,     5.10,2,    12.50,2,     0.15,2,     0.92,2,   -999.0,9,   -999.0,9,   6.4428
  58JH19940525,   75N,   311,  1,     76,      1,2,19940527, 67.0000,  10.0000,  411,    401.0,   5.7870,  35.0670,2,    288.6,2,     6.00,2,    12.60,2,     0.13,2,     0.92,2,   -999.0,9,   -999.0,9,   5.7555
  58JH19940525,   75N,   312,  1,     77,     77,2,19940527, 67.5000,   9.1667, 1458,      5.0,   7.5000,  34.7700,2,    316.4,2,     1.60,2,     0.80,2,     0.11,2,     0.25,2,   -999.0,9,   -999.0,9,   7.4995
  58JH19940525,   75N,   312,  1,     78,     78,2,19940527, 67.5000,   9.1667, 1458,     10.0,   7.4900,  34.7700,2,    316.4,2,     1.60,2,     0.70,2,     0.09,2,     0.25,2,   -999.0,9,   -999.0,9,   7.4890
  58JH19940525,   75N,   312,  1,     79,     79,2,19940527, 67.5000,   9.1667, 1458,     20.0,   7.4100,  34.8250,2,    315.0,2,     1.40,2,     1.60,2,     0.11,2,     0.29,2,   -999.0,9,   -999.0,9,   7.4081
  58JH19940525,   75N,   312,  1,     80,     80,2,19940527, 67.5000,   9.1667, 1458,     30.0,   7.4100,  35.0140,2,    311.4,2,     2.10,2,     4.40,2,     0.16,2,     0.41,2,   -999.0,9,   -999.0,9,   7.4071
  58JH19940525,   75N,   312,  1,     81,     81,2,19940527, 67.5000,   9.1667, 1458,     50.0,   6.9700,  35.1100,2,    302.7,2,     4.20,2,     7.80,2,     0.16,2,     0.66,2,   -999.0,9,   -999.0,9,   6.9654
  58JH19940525,   75N,   312,  1,     82,     82,2,19940527, 67.5000,   9.1667, 1458,     75.0,   6.8000,  35.1320,2,    284.1,2,     4.80,2,    11.10,2,     0.24,2,     0.84,2,   -999.0,9,   -999.0,9,   6.7931
  58JH19940525,   75N,   312,  1,     83,     83,2,19940527, 67.5000,   9.1667, 1458,    100.0,   6.5300,  35.1150,2,    291.8,2,     4.80,2,    11.60,2,     0.30,2,     0.85,2,   -999.0,9,   -999.0,9,   6.5210
  58JH19940525,   75N,   312,  1,     84,     84,2,19940527, 67.5000,   9.1667, 1458,    150.0,   6.3600,  35.1120,2,    290.4,2,     5.00,2,    12.20,2,     0.21,2,     0.87,2,   -999.0,9,   -999.0,9,   6.3467
  58JH19940525,   75N,   312,  1,     85,     85,2,19940527, 67.5000,   9.1667, 1458,    200.0,   6.1800,  35.1000,2,    290.0,2,     5.00,2,    12.30,2,     0.13,2,     0.89,2,   -999.0,9,   -999.0,9,   6.1625
  58JH19940525,   75N,   312,  1,     86,     86,2,19940527, 67.5000,   9.1667, 1458,    300.0,   5.4500,  35.0400,2,    292.7,2,     5.00,2,    11.60,2,     0.10,2,     0.85,2,   -999.0,9,   -999.0,9,   5.4252
  58JH19940525,   75N,   312,  1,     87,     87,2,19940527, 67.5000,   9.1667, 1458,    400.0,   4.3400,  34.9800,2,    294.6,2,     5.80,2,    13.10,2,     0.05,2,     0.95,2,   -999.0,9,   -999.0,9,   4.3102
  58JH19940525,   75N,   312,  1,     88,     88,2,19940527, 67.5000,   9.1667, 1458,    500.0,   3.4200,  34.9400,2,    296.8,2,     6.40,2,    13.60,2,     0.04,2,     0.97,2,   -999.0,9,   -999.0,9,   3.3860
  58JH19940525,   75N,   313,  1,     89,     12,2,19940527, 68.0000,   8.3333, 2561,      5.0,   7.6150,  35.0320,2,    321.4,2,     0.20,2,     2.90,2,     0.09,2,     0.26,2,   -999.0,9,   -999.0,9,   7.6195
  58JH19940525,   75N,   313,  1,     90,     11,2,19940527, 68.0000,   8.3333, 2561,     10.0,   7.4270,  35.0340,2,    310.0,2,     2.30,2,     6.30,2,     0.13,2,     0.52,2,   -999.0,9,   -999.0,9,   7.4290
  58JH19940525,   75N,   313,  1,     91,     10,2,19940527, 68.0000,   8.3333, 2561,     20.0,   6.8400,  35.1250,2,    301.8,2,     4.10,2,     8.80,2,     0.16,2,     0.72,2,   -999.0,9,   -999.0,9,   6.8382
  58JH19940525,   75N,   313,  1,     92,      9,2,19940527, 68.0000,   8.3333, 2561,     30.0,   6.6770,  35.1250,2,    297.7,2,     4.40,2,    10.10,2,     0.21,2,     0.79,2,   -999.0,9,   -999.0,9,   6.6773
