BOTTLE,20111222CCHDOSIOCBG
#code : Justin Fields merge_exchange.rb 
#original HYD file: /data/repeat/atlantic/ar18/ar18_b/original/2011.12.22_replace_cberys/processing/orig_hy1.csv  2011-12-22
# merged "BOTTLE,20090507PRINUNIVRMK": citation below, pCO2, NUTs/Oxy, DELC13/DELC14
#BOTTLE,20010822WHPSIOKJU
#code : jjward hyd_to_exchange.pl 
#original files copied from HTML directory: 20010822
#original HYD file: ar18_bhy.txt   Thu Apr  5 11:15:59 2001
#original SUM file: ar18_bsu.txt.tmp   Wed Aug 22 11:33:02 2001
#BOTTLE,20090507PRINUNIVRMK
#9/6/06 Original file from CCHDO  
# Ship: J.Hjort 
# Cruise: 58JH0792_1; WOCE line AR18b (at WHPO at 58JH1092_1) 
# Dates:7/12-7/28/1992 
# EXPOCODE  58JH19920712 
# Region: Around Iceland 
# Chief Scientist:J. Blindheim 
# 31 full depth stations;  with 12 place Rosette, 10l bottles 
# Hydro: Who - S. Osterhus; Status - final  
#       Notes: NBIS Mark III (not to WOCE standards) 
#       Accuracy of CTD salt values generally good only to 2 decimals 
#       Bottle salt not collected for all samples;  
#       Autosal; IAPSO batch 120; replicates almost always differed by less than 0.001 
#       CtdSal values replaced with new values interpolated from file sent from J.Blindheim (10/15/08) 
#       CTDSAL calibrated to bottle Salinity with CTDSALcorr= -0.6600 * 1.0189*CTDSAL  
#               based on simple regression using data deeper than 300dB 
# Nuts: Who - F. Rey; Status - final   
#       Notes: Reproducibility better than 1% for NO2,NO3,Si and less than 3% for PO4 
#       Relative to JH9408: 
#               nitrate high by ~1.5umol/kg 
#               phosphate low by ~0.15umol/kg 
#               some silicate low by ~1umol/kg 
# O2: Who - Eva Falck; Status - final 
#       Notes: final oxygen data from A.Olsen 01/31/2008 
# TCO2: Who - J. Olafsson; Status - final  
#       Notes: Data from J.Olafsson 10/20/06 
#       Revised data from J.Olafsson 4/22/09; merged 4/24/09 
# pCO2: Who - J. Olafsson; Status - final  
#       Notes: Data from Olafsson 10/20/06 reported at bottle theta 
# CFC: Who - E. Fogelqvist; Status - unknown  
#       Notes: no data in file 
# C-14: Who - R. Nydal,J. Gislefoss; Status - final 
#       Notes:  Data from Gislefoss et al., 1995 
#       8 profiles at stations 933,934,942,943,948,955,961 
#       AMS at Arizona see Slota et al. 1987 for method; and Trondheim 
# C-13: Who - O.Jansen,H. Jungner; Status - final 
#       Notes: Data from Gislefoss et al., 1995 
#       8 profiles at stations 933,934,942,943,948,955,961 
# H-3/He-3: Who - R. Bayer; Status - unknown   
#       Notes: 122 samples collected no data in file 
# References: 
# .  
# Slota, P.J., A.J.T. Jull, T.W. Linick and L.J. Toolin, Preparation of small samples for C14 accelerator targets by catalytic reduction of CO, Radiocarbon, 29(2), 303-306, 1987. 
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,PCO2TMP,DELC14,DELC14_FLAG_W,C14ERR,DELC13,DELC13_FLAG_W,THETA
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UATM,,DEG C,/MILLE,,/MILLE,/MILLE,,DEG C
58JH1092_1, AR18, 933, 1, 12, 12, 2, 19920715, 0330, 64.0008, -4.9927, 3225,    794.2,  -0.3160,  34.9074, 2,  34.9060, 2,    310.1, 2,     7.81, 2,    14.35, 2,     0.01, 2,     1.08, 2,   2156.2, 2,    335.9, 2,    -0.35,      0.5, 2,      8.8,     1.00, 2,  -0.3479
58JH1092_1, AR18, 933, 1, 11, 11, 2, 19920715, 0330, 64.0008, -4.9927, 3225,    991.1,  -0.6000,  34.9116, 2,  34.9100, 2,    304.0, 2,     8.99, 2,    14.66, 2,     0.01, 2,     1.06, 2,   2160.2, 2,    333.1, 2,    -0.64,    -23.4, 2,      4.1,     1.19, 2,  -0.6393
58JH1092_1, AR18, 933, 1, 10, 10, 2, 19920715, 0330, 64.0008, -4.9927, 3225,   1188.6,  -0.7290,  34.9143, 2,  34.9130, 2,    303.1, 2,     9.76, 2,    14.82, 2,     0.01, 2,     1.09, 2,   2165.1, 2,    328.9, 2,    -0.78,    -31.1, 2,      4.1,     1.27, 2,  -0.7770
58JH1092_1, AR18, 933, 1, 9, 9, 2, 19920715, 0330, 64.0008, -4.9927, 3225,   1386.4,  -0.8130,  34.9144, 2,  34.9130, 2,    313.0, 2,    10.42, 2,    14.82, 2,     0.01, 2,     1.08, 2,   2160.1, 2,    325.3, 2,    -0.87,    -44.3, 2,     11.7,     1.18, 2,  -0.8705
58JH1092_1, AR18, 933, 1, 8, 8, 2, 19920715, 0330, 64.0008, -4.9927, 3225,   1585.6,  -0.8680,  34.9147, 2,  34.9140, 2,    307.2, 2,    10.87, 2,    14.97, 2,     0.01, 2,     1.10, 2,   2158.9, 2,    323.3, 2,    -0.94,    -46.2, 2,      4.2,     1.16, 2,  -0.9359
58JH1092_1, AR18, 933, 1, 7, 7, 2, 19920715, 0330, 64.0008, -4.9927, 3225,   1783.1,  -0.8900,  34.9147, 2,  34.9130, 2,    303.1, 2,    11.25, 2,    15.01, 2,     0.02, 2,     1.12, 2,   2158.3, 2,    321.7, 2,    -0.97,    -57.7, 2,      4.3,     1.14, 2,  -0.9691
58JH1092_1, AR18, 933, 1, 6, 6, 2, 19920715, 0330, 64.0008, -4.9927, 3225,   1981.5,  -0.9200,  34.9147, 2,  34.9130, 2,    303.2, 2,    11.59, 2,    15.15, 2,     0.03, 2,     1.17, 2,   2159.2, 2,    321.4, 2,    -1.01,    -53.0, 2,      6.8,     1.16, 2,  -1.0109
58JH1092_1, AR18, 933, 1, 5, 5, 2, 19920715, 0330, 64.0008, -4.9927, 3225,   2229.9,  -0.9190,  34.9150, 2,  34.9130, 2,    303.4, 2,    11.93, 2,    15.04, 2,     0.02, 2,     1.14, 2,   2157.8, 2,    320.8, 2,    -1.03,    -62.7, 2,     10.7,     1.12, 2,  -1.0262
58JH1092_1, AR18, 933, 1, 4, 4, 2, 19920715, 0330, 64.0008, -4.9927, 3225,   2478.4,  -0.9060,  34.9123, 2,  34.9140, 2,    302.1, 2,    11.97, 2,    15.22, 2,     0.02, 2,     1.11, 2,   2158.2, 2,    321.3, 2,    -1.03,    -60.0, 2,      4.0,     1.16, 2,  -1.0307
58JH1092_1, AR18, 933, 1, 3, 3, 2, 19920715, 0330, 64.0008, -4.9927, 3225,   2727.1,  -0.8900,  34.9119, 2,  34.9130, 2,    302.8, 2,    11.97, 2,    15.11, 2,     0.01, 2,     1.08, 2,   2159.4, 2,    321.1, 2,    -1.03,    -68.5, 2,      3.9,     1.16, 2,  -1.0333
58JH1092_1, AR18, 933, 1, 2, 2, 2, 19920715, 0330, 64.0008, -4.9927, 3225,   2974.9,  -0.8720,  34.9126, 2,  34.9130, 2,    317.6, 4,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,   -999.0, 9,   -999.0, 9,  -999.00,   -999.0, 9,   -999.0,  -999.00, 9,  -1.0349
