BOTTLE,20100524CCHDOSIODBK
#code : Justin Fields merge_exchange.rb 
#original files copied from HTML directory: 2010-05-24
#original HYD file: /Users/danie/CLIVAR/barents_58LA19860719/barents_58LA19860719_hy1.csv  2010-05-24
#Formatting notes:
#this file had only an expocode and no line number, project
#name, or alias, the station track was examined and the cruise id.  barents
#was given, as occupies the Barents Sea.  Expocode matched our in house 
#expocode and was retained in the file.
#The following edits were  made to file header:
#-DBARS to DBAR
#-DEGC to DEG C
#-BEDFORDNO to BIONBR
#-Added name/date stamp
#
#Merged in time (set to 0000) into file using merge_exchange_bot.rb
#
#Ran file through re-ordering tool copy_bottle_data.rb to place
#the parameters in the CCHDO's preferred order.  
#created WOCE-formatted and netcdf files from exchange file.
#original CARINA header:
#BOTTLE,20090508PRINUNIVRMK
# DATE this file initialized 3/12/07 
# Data from L. Anderson 1/16/07 
# Ship: Lance  
# Cruise: Lance 86 
# Dates: 7/19-7/26/1986 
# EXPOCODE 58LA19860719 
# Region:S and E of Svalbard 
# Chief Scientist: Bert Rudels, Norwegian Polar Institute 
# 11  stations;  Apparently only partial listing 
# Hydro: Who - ??; Status - final 
#       Notes: pressure approximated from listed depth 
#       bottle and cast numbers fabricated 
# Nuts/O2: Who - ??; Status - final 
#       Notes  
# TCO2: Who - L. Anderson; Status - final 
#       Notes: Calibration?; method? 
# TA: Who - L. Anderson; Status - final 
#       Notes: Calibration?; method? 
# pH: Who - L. Anderson; Status - final 
#       Notes: reported on total scale at 25C 
#       Converted to SWS@25C 
EXPOCODE,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_SWS,PH_SWS_FLAG_W,PH_TMP,THETA,BIONBR
,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C,DEG C,
58LA19860719, 90, 1, 5, 2, 19860719, 0, 75.0000, 33.5000, 241,     20.2,   4.4400,  34.7850, 2,    370.0, 2,     1.10, 2,     0.10, 2,  -999.00, 9,   -999.0, 9,   -999.0, 9,    7.9443, 2,     25.00,   4.4385, 3511
58LA19860719, 90, 1, 4, 2, 19860719, 0, 75.0000, 33.5000, 241,     50.4,   1.4000,  35.0070, 2,    353.0, 2,     4.30, 2,    11.50, 2,  -999.00, 9,   -999.0, 9,   -999.0, 9,    7.7433, 2,     25.00,   1.3976, 3510
58LA19860719, 90, 1, 3, 2, 19860719, 0, 75.0000, 33.5000, 241,     75.6,   0.8000,  34.9810, 2,    352.0, 2,     4.00, 2,    12.30, 2,  -999.00, 9,   -999.0, 9,   -999.0, 9,    7.7343, 2,     25.00,   0.7967, 3509
58LA19860719, 90, 1, 2, 2, 19860719, 0, 75.0000, 33.5000, 241,    100.8,  -0.5500,  34.9400, 2,    360.0, 2,     5.10, 2,    11.90, 2,  -999.00, 9,   -999.0, 9,   -999.0, 9,    7.7073, 2,     25.00,  -0.5532, 3508
58LA19860719, 90, 1, 1, 2, 19860719, 0, 75.0000, 33.5000, 241,    136.1,  -1.1500,  34.9370, 2,    363.0, 2,     6.00, 2,    12.00, 2,  -999.00, 9,   -999.0, 9,   -999.0, 9,    7.6933, 2,     25.00,  -1.1537, 3507
58LA19860719, 94, 1, 5, 2, 19860719, 0, 75.2000, 32.0000, 327,     38.3,   4.2490,  34.9750, 2,    362.0, 2,     2.70, 2,     1.20, 2,  -999.00, 9,   -999.0, 9,   -999.0, 9,    7.9033, 2,     25.00,   4.2463, 3519
58LA19860719, 94, 1, 4, 2, 19860719, 0, 75.2000, 32.0000, 327,     77.6,   2.7650,  35.0270, 2,    345.0, 2,     5.00, 2,     9.20, 2,  -999.00, 9,   -999.0, 9,   -999.0, 9,    7.7773, 2,     25.00,   2.7604, 3518
58LA19860719, 94, 1, 3, 2, 19860719, 0, 75.2000, 32.0000, 327,    201.6,   1.6450,  35.0180, 2,    354.0, 2,     5.50, 2,    12.00, 2,  -999.00, 9,   -999.0, 9,   -999.0, 9,    7.7393, 2,     25.00,   1.6346, 3516
58LA19860719, 94, 1, 2, 2, 19860719, 0, 75.2000, 32.0000, 327,    297.4,  -0.4150,  34.9560, 2,    362.0, 2,     7.20, 2,    12.10, 2,  -999.00, 9,   -999.0, 9,   -999.0, 9,    7.6943, 2,     25.00,  -0.4254, 3515
