BOTTLE,20081219PRINUNIVRMKPRINUNIVRMK
# File initiated 12/14/06 
# Data from C. Kivimaee 10/06/06 
# Ship: Jan Mayen 
# Cruise: 58JM0505; CABANERA III 
# Dates: 5/20-6/2/2005 
# EXPOCODE: 58JM20050520 
# Region: north and southeast of Svalbard 
# Ch. Sci. P. Wassmann, Norwegian College of Fishery Science 
# 9 stations with 12 place Rosette 
# Hydro: Who - A. Sundfjord; Status - final 
# 	Notes: 
# Nuts/O2: Who - R.G.J. Bellerby; Status - final 
# 	Notes: No oxygen data. Includes ammonium 
# TCO2: Who - R.G.J. Bellerby/C. Kivimäe; Status - final 
# 	Notes:CRM used 
# TA: Who - R.G.J. Bellerby/C. Kivimäe; Status - final 
# 	Notes:CRM used 
EXPOCODE,STNNBR,CASTNO,BTLNBR,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,SALNTY,SALNTY_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,AMMONI,AMMONI_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA
,,,,,,,METERS,DBARS,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,DEGC
  58JM20050520,     1,  1,     12,20050520, 81.0290,  16.2380, 2605,      0.9,  -0.5237,  34.2227,2,     0.52,2,     0.76,2,     0.02,2,     0.11,2,     0.18,2,   2043.9,2,   2257.9,2,  -0.5237
  58JM20050520,     1,  1,     11,20050520, 81.0290,  16.2380, 2605,     11.0,  -0.5332,  34.2276,2,     0.62,2,     0.83,2,     0.02,2,     0.18,2,     0.42,2,   2044.7,2,   2254.9,2,  -0.5335
  58JM20050520,     1,  1,     10,20050520, 81.0290,  16.2380, 2605,     21.0,  -0.5958,  34.2336,2,     0.57,2,     1.04,2,     0.02,2,     0.13,2,     0.19,2,   2050.2,2,   2260.1,2,  -0.5964
  58JM20050520,     1,  1,      9,20050520, 81.0290,  16.2380, 2605,     31.0,  -0.6513,  34.3780,2,     0.44,2,     2.59,2,     0.03,2,     0.22,2,     0.36,2,   2071.6,2,   2265.1,2,  -0.6522
  58JM20050520,     1,  1,      8,20050520, 81.0290,  16.2380, 2605,     45.7,  -0.1545,  34.4573,2,     0.43,2,     3.06,2,     0.02,2,     0.25,2,     0.46,2,   2082.3,2,   2270.8,2,  -0.1560
  58JM20050520,     1,  1,      7,20050520, 81.0290,  16.2380, 2605,     61.9,   0.8473,  34.6209,2,     2.43,2,     8.42,2,     0.03,2,     0.54,2,     0.48,2,   2118.6,2,   2278.6,2,   0.8446
  58JM20050520,     1,  1,      6,20050520, 81.0290,  16.2380, 2605,     88.4,   1.2386,  34.7081,2,     4.37,2,    10.63,2,     0.01,2,     0.64,2,     0.18,2,   2135.3,2,   2280.3,2,   1.2345
  58JM20050520,     1,  1,      5,20050520, 81.0290,  16.2380, 2605,    120.4,   2.2998,  34.8602,2,     3.71,2,    10.80,2,     0.05,2,     0.64,2,     0.24,2,   2140.4,2,   2293.5,2,   2.2931
  58JM20050520,     1,  1,      4,20050520, 81.0290,  16.2380, 2605,    152.0,   2.7290,  34.9437,2,     4.07,2,    11.30,2,     0.05,2,     0.67,2,      0.2,2,   2144.0,2,   2292.0,2,   2.7199
