BOTTLE,20081218PRINUNIVRMKPRINUNIVRMK
# 3/23/06 Initialized README file  
# Data from J. Karstensen 3/21/06 
# Ship: J. Hjort 
# Cruise: 58JH9211 
# Dates: 11/5 - 12/1/1992 
# EXPOCODE: 58JH19921105 
# Region: Norwegian Sea 
# Chief Scientist -J.Blindheim 
# 30 stations with 12 place Rosette 
# Hydro: Who - Blindheim; Status - final 
# 	Notes: See Blindheim and Rey, 2004. 
# 	Cast and bottle number fabricated 
# 	Bottom Depths from topography 
# 	1300 subtracted from station numbers 
# Nuts/O2: Who - F. Rey; Status - final 
# 	Notes: Data from Blindheim 3/27/08 
# 	Includes ammonium 
# CFC: Who - J. Bullister; Status - final 
# 	Notes: CFC on SIO 98 scale 
# 	See Karstensen et al. 2005 
# 	Also includes CFC-113, CCl4, Cl3Et 
# H-3/He-3: Who - P.Schlosser; Status - final 
# 	Notes:  
# References: 
# Blindheim, J. and F. Rey, Water-mass formation and distribution in the Nordic Seas during the 1990s, J. Mar. Sci., 61, 846-863, 2004. 
# Karstensen, J., P. Schlosser, D.W.R. Wallace, J.L. Bullister and J. Blindheim, Watermass transformation in the Greenland Sea during the 1990s, J.Geophys. Res., 110, C07022, doi:10.1029/2004JC002510, 2005. 
EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,AMMONI,AMMONI_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,MCHFRM,MCHFRM_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,THETA
,,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,TU,,NMOL/KG,,PERCNT,,DEGC
  58JH19921105,   GNS,    85,  1,     10,2,19921107, 62.3670,   5.2000,  175,      0.0,  10.2200,  29.9680,2,   -999.0,9,     0.99,2,     1.63,2,     0.20,2,     0.25,2,       -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,  10.2200
  58JH19921105,   GNS,    85,  1,      9,2,19921107, 62.3670,   5.2000,  175,     10.0,  10.2010,  30.7140,2,   -999.0,9,     0.99,2,     1.63,2,     0.20,2,     0.20,2,       -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,  10.1999
  58JH19921105,   GNS,    85,  1,      8,2,19921107, 62.3670,   5.2000,  175,     20.0,  10.2080,  31.5860,2,   -999.0,9,     0.99,2,     1.62,2,     0.21,2,     0.20,2,       -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,  10.2058
  58JH19921105,   GNS,    85,  1,      7,2,19921107, 62.3670,   5.2000,  175,     30.0,  10.2080,  31.8570,2,   -999.0,9,     1.01,2,     1.62,2,     0.20,2,     0.20,2,       -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,  10.2046
  58JH19921105,   GNS,    85,  1,      6,2,19921107, 62.3670,   5.2000,  175,     50.0,  10.1940,  33.2100,2,   -999.0,9,     0.97,2,     1.71,2,     0.22,2,     0.21,2,       -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,  10.1883
  58JH19921105,   GNS,    85,  1,      5,2,19921107, 62.3670,   5.2000,  175,     75.0,  10.1700,  33.3240,2,   -999.0,9,     1.01,2,     1.93,2,     0.20,2,     0.22,2,       -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,  10.1614
  58JH19921105,   GNS,    85,  1,      4,2,19921107, 62.3670,   5.2000,  175,    100.0,  10.2760,  33.8520,2,   -999.0,9,     1.44,2,     2.84,2,     0.16,2,     0.28,2,       -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,  10.2644
  58JH19921105,   GNS,    85,  1,      3,2,19921107, 62.3670,   5.2000,  175,    125.0,   9.4250,  34.9400,2,   -999.0,9,     3.99,2,     9.12,2,     0.02,2,     0.72,2,       -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   9.4111
  58JH19921105,   GNS,    85,  1,      2,2,19921107, 62.3670,   5.2000,  175,    150.0,   8.8520,  35.1150,2,   -999.0,9,     3.99,2,     9.12,2,     0.02,2,     0.65,2,       -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   8.8359
  58JH19921105,   GNS,    85,  1,      1,2,19921107, 62.3670,   5.2000,  175,    165.0,   8.8080,  35.1290,2,   -999.0,9,     4.98,2,    10.88,2,     0.02,2,     0.79,2,       -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   8.7903
  58JH19921105,   GNS,    86,  1,     10,2,19921107, 62.4830,   4.9330,  280,      0.0,   9.8400,  33.8340,2,   -999.0,9,     1.20,2,     2.32,2,     0.17,2,     0.32,2,       -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   9.8400
  58JH19921105,   GNS,    86,  1,      9,2,19921107, 62.4830,   4.9330,  280,     10.0,   9.8470,  33.8460,2,   -999.0,9,     1.17,2,     2.27,2,     0.19,2,     0.24,2,       -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   9.8459
  58JH19921105,   GNS,    86,  1,      8,2,19921107, 62.4830,   4.9330,  280,     20.0,   9.8470,  33.8770,2,   -999.0,9,     1.17,2,     2.32,2,     0.17,2,     0.24,2,       -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   9.8448
  58JH19921105,   GNS,    86,  1,      7,2,19921107, 62.4830,   4.9330,  280,     30.0,   9.7970,  33.9270,2,   -999.0,9,     1.10,2,     2.39,2,     0.17,2,     0.24,2,       -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   9.7936
  58JH19921105,   GNS,    86,  1,      6,2,19921107, 62.4830,   4.9330,  280,     50.0,  10.0330,  34.0600,2,   -999.0,9,     1.17,2,     2.39,2,     0.21,2,     0.24,2,       -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,  10.0273
  58JH19921105,   GNS,    86,  1,      5,2,19921107, 62.4830,   4.9330,  280,     75.0,  10.2650,  34.6330,2,   -999.0,9,     1.17,2,     2.41,2,     0.19,2,     0.25,2,       -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,  10.2562
