BOTTLE,20081218PRINUNIVRMKPRINUNIVRMK
# 3/27/06 Initialized README file  
# Data from J. Karstensen 3/21/06 
# P,T,S data from Blindheim 
# Ship: J. Hjort 
# Cruise: 58JH199611 
# Dates: 10/30-11/9/1996  
# EXPOCODE: 58JH19961030 
# Region: 75N with extra in Greenland-Norwegian Sea 
# Chief Scientist -Blindheim and Rey 
# 47 stations with 12 place Rosette 
# Hydro: Who - Blindheim; Status - final 
# 	Notes: See Blindheim and Rey, 2004. 
# 	Station numbers reduced to <=100 
# Nuts/O2: Who - F. Rey; Status - final  
# 	Notes: Data from Blindheim 3/27/08 
# CFC: Who - J. Bullister; Status - final 
# 	Notes: CFC on SIO 98 scale 
# 	See Karstensen et al. 2005 
# 	Also includes CCl4, CFC-113, Cl3Et 
# H-3/He-3: Who - P.Schlosser; Status - final  
# 	Notes:  
# References: 
# Blindheim, J. and F. Rey, Water-mass formation and distribution in the Nordic Seas during the 1990s, J. Mar. Sci., 61, 846-863, 2004. 
# Karstensen, J., P. Schlosser, D.W.R. Wallace, J.L. Bullister and J. Blindheim, Watermass transformation in the Greenland Sea during the 1990s, J.Geophys. Res., 110, C07022, doi:10.1029/2004JC002510, 2005. 
EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,MCHFRM,MCHFRM_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,THETA
,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,TU,,NMOL/KG,,PERCNT,,DEGC
  58JH19961030,   75N,    49,  1,     12,19961030, 62.3528,   4.6583,  148,     10.2,  10.6736,  32.4597,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,  10.6724
  58JH19961030,   75N,    49,  1,      9,19961030, 62.3528,   4.6583,  148,     10.4,  10.6731,  32.4589,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,  10.6719
  58JH19961030,   75N,    49,  1,     10,19961030, 62.3528,   4.6583,  148,     10.5,  10.6804,  32.4652,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,  10.6792
  58JH19961030,   75N,    49,  1,     11,19961030, 62.3528,   4.6583,  148,     10.6,  10.6800,  32.4650,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,  10.6788
  58JH19961030,   75N,    49,  1,      8,19961030, 62.3528,   4.6583,  148,     10.8,  10.6793,  32.4636,2,    264.6,2,     1.16,2,     1.58,2,     0.40,2,     0.19,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,  10.6780
  58JH19961030,   75N,    49,  1,      7,19961030, 62.3528,   4.6583,  148,     17.8,  10.9274,  32.8689,2,    259.8,2,     1.15,2,     1.62,2,     0.41,2,     0.20,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,  10.9253
  58JH19961030,   75N,    49,  1,      6,19961030, 62.3528,   4.6583,  148,     30.9,  10.7886,  33.1889,2,    261.0,2,     1.19,2,     2.03,2,     0.42,2,     0.22,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,  10.7849
  58JH19961030,   75N,    49,  1,      5,19961030, 62.3528,   4.6583,  148,     51.6,  10.5341,  33.8522,2,    258.7,2,     1.45,2,     3.32,2,     0.31,2,     0.28,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,  10.5280
  58JH19961030,   75N,    49,  1,      4,19961030, 62.3528,   4.6583,  148,     76.0,  10.0343,  34.6229,2,    252.0,2,     1.99,2,     5.71,2,     0.07,2,     0.44,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,  10.0256
  58JH19961030,   75N,    49,  1,      3,19961030, 62.3528,   4.6583,  148,     99.5,   9.0457,  34.8378,2,    248.5,2,     3.25,2,     8.32,2,     0.03,2,     0.60,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   9.0349
  58JH19961030,   75N,    49,  1,      2,19961030, 62.3528,   4.6583,  148,    125.5,   8.2048,  35.0370,2,    250.2,2,     4.46,2,    10.54,2,     0.03,2,     0.72,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   8.1920
  58JH19961030,   75N,    49,  1,      1,19961030, 62.3528,   4.6583,  148,    133.6,   8.1381,  35.0502,2,    249.3,2,     4.54,2,    10.67,2,     0.03,2,     0.73,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   8.1245
  58JH19961030,   75N,    50,  1,      9,19961030, 62.4853,   4.4173,  190,     12.6,  10.6930,  32.8616,2,    261.9,2,     1.11,2,     1.63,2,     0.42,2,     0.19,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,  10.6915
  58JH19961030,   75N,    50,  1,     10,19961030, 62.4853,   4.4173,  190,     12.7,  10.7033,  32.8665,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,  10.7018
