BOTTLE,20081215PRINUNIVRMKPRINUNIVRMK
# Data from I. Skjelvan 7/15/05 
# Ship: Haakon Mosby 
# Cruise: 58AA9409 
# Dates: 8/26 - 9/12/94 
# EXPOCODE: 58AA19940826 
# Region: Greenland-Norwegian Sea mostly 65-70N 
# Chief Scientist - L.Golmen (Norwegian Institute for Water Research) 
# 49 stations;  with 12 place Rosette 
# Hydro: Who - L.Golmen; Status - not corrected 
# 	Notes: pressure (MPa) is correct, depth (m) recalculated. 
# 	Station 0 & 1 anomolous, but probably real 
# 	Density, etc. calculated with bottle salt values 
# Nuts: Who - T. Johannessen; Status - corrected 
# 	Notes: Nutrients: were conserved with chloroform and analysed  
# 		after 3 months, Skalar Autoanalyzer. 
# 	Nitrate values low relative to TTO by ~2.5umol/kg 
# 	Phosphate values high relative to TTO by ~0.2umol/kg 
# 	Silicate values high relative to TTO by 2-5umol/kg 
# O2: Who - Eva Falck; Status - corrected 
# 	Notes: Method: Winkler titration. Precision: 1(mol/kg 
# 	Oxygen values generally comparable to TTO. flags checked and edited by A.Olsen 11/13/07, some values recalculated 
# 	Files updated 11/14/07 
# TCO2: Who -T.Johannessen; Status - corrected 
# 	Notes: Method: SOMMA extraction system (K. Johnson) and coulometrically detection (DOE, 1994).  
# 	CRM used to assure accuracy.  
# 	Analytical precision better than 3 umol/kg 
# 	Data compare favorably with TTO 
# TA: Who -T.Johannessen; Status - corrected 
# 	Notes: Method: Potentiometric titration in a closed cell (DOE, 1994), final results calculated by Gran linearizations.  
# 	Analysis calibrated with TRIS buffer (2-amino-2-hydroximethyl-1,3-propanediol) in 0.5 M NaCl.  
# 	Analytical precision between 9 and 15 umol/kg.  
# 	Ran CRM's but they were not certified at that time. 
# 	Data fall into two groupings. The lower generally agrees with TTO. High group flagged 3 
EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA
,,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,DEGC
  58AA19940826,   GNS,     0,  1,     12,2,19940826, 61.0880,   5.5620, 1350,      9.8,  12.7758,  31.5081,2,  32.9170,0,    282.5,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9,   12.7745232
  58AA19940826,   GNS,     0,  1,     11,2,19940826, 61.0880,   5.5620, 1350,     49.8,   6.8223,  34.4023,2,  34.6320,0,    255.6,2,    293.7,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   2146.7,2,   -999.0,9,   6.81779891
  58AA19940826,   GNS,     0,  1,     10,2,19940826, 61.0880,   5.5620, 1350,    100.0,   7.2173,  34.9014,2,-999.0000,9,    244.7,2,    244.9,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   2152.5,2,   -999.0,9,   7.20784548
  58AA19940826,   GNS,     0,  1,      9,2,19940826, 61.0880,   5.5620, 1350,    150.0,   6.8567,  34.9237,2,-999.0000,9,    262.7,2,    263.6,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   2146.4,2,   -999.0,9,   6.84287444
  58AA19940826,   GNS,     0,  1,      8,2,19940826, 61.0880,   5.5620, 1350,    200.0,   6.6851,  34.9162,2,-999.0000,9,    269.2,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   2145.1,2,   -999.0,9,   6.66686182
  58AA19940826,   GNS,     0,  1,      7,2,19940826, 61.0880,   5.5620, 1350,    249.7,   6.6760,  34.9333,2,-999.0000,9,    271.9,2,    268.4,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   2143.4,2,   -999.0,9,    6.6531547
  58AA19940826,   GNS,     0,  1,      6,2,19940826, 61.0880,   5.5620, 1350,    400.8,   6.7382,  34.9603,2,-999.0000,9,    268.5,2,    269.7,2,     6.61,2,     9.66,2,     0.27,2,     0.63,3,   2144.8,2,   2360.3,3,   6.70090897
  58AA19940826,   GNS,     0,  1,      5,2,19940826, 61.0880,   5.5620, 1350,    601.3,   7.1185,  35.0391,2,-999.0000,9,    253.3,2,   -999.0,9,     8.15,2,    12.46,2,     0.08,2,     0.97,2,   2151.8,2,   2352.1,3,   7.05994814
  58AA19940826,   GNS,     0,  1,      4,2,19940826, 61.0880,   5.5620, 1350,    802.1,   7.1724,  35.0499,2,-999.0000,9,    251.9,2,    251.8,2,     8.47,2,    12.43,2,     0.05,2,     0.98,2,   2153.6,2,   2352.6,3,   7.09289596
