BOTTLE,20081215PRINUNIVRMK
# DATE this file initialized 3/9/07 
# Data from Pierre Clement 3/9/07 
# Ship: Louis S. St. Laurent 
# Cruise: 18SNA097, JOIS97 
# Ddates: 8/3 - 8/18/1997 
# EXPOCODE: 18SN19970803 
# Region: Arctic 
# Chief Scientist: F. McLaughlin, K. Falkner 
# 24 stations with 24 place Rosette 
# Hydro: Who - ?; Status - final 
# 	Notes: bottle number fabricated 
# 	bottom depth estimated by global topography 
# Nuts/O2: Who - ?; Status - final 
# 	Notes:converted to umol/kg with assumed T of 22C 
# TCO2: Who - ; Status - final 
# 	Notes:  
# TA: Who - Who - ; Status - final 
# 	Notes:  
# CFC: Who - ; Status - final 
# 	Notes: Includes CFC-113 and CCl4 
# References: 
# McLaughlin, F.A., E.C. Carmack, R.W. Macdonald, H. Melling, J.H. Swift, P.A. Wheeler, B.F. Sherr and E.B. Sherr, The joint roles of Pacific and Atlantic-origin waters in the Canada Basin, 1997-1998, Deep-Sea Res. I, 51(1), 107-128, 2004. 
# Jutterstrom, S. and L.G. Anderson, The saturation of calcite and aragonite in thhe Arctic Ocean, Mar. Chem., 94, 101-110, 2005. 
EXPOCODE,STNNBR,CASTNO,BTLNBR,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,INDEX,THETA
,,,,,,,METERS,DBARS,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,,DEGC
  18SN19970803,   101,  1,     15,19970803, 61.8236, -65.9987,  324,      8.7,  -0.4510,  32.6650,2,    348.6,2,     8.02,2,     5.48,2,     0.09,2,     0.89,2,    6.560,2,    3.100,2,    0.360,2,    9.290,2,   2084.0,2,   2235.8,2,      175,  -0.451239786
  18SN19970803,   101,  1,     14,19970803, 61.8236, -65.9987,  324,     13.9,  -0.4620,  32.6770,2,    348.2,2,     8.12,2,     5.87,2,     0.11,2,     0.89,2,    6.490,2,    3.170,2,    0.310,3,    9.170,2,   2084.6,2,   2247.7,2,      176,  -0.462382787
  18SN19970803,   101,  1,     13,19970803, 61.8236, -65.9987,  324,     28.5,  -0.4660,  32.6850,2,    347.8,2,     8.22,2,     6.36,2,     0.09,2,     0.90,2,    6.490,2,    3.150,2,    0.330,2,    9.410,2,   2089.8,2,   2239.5,2,      177,  -0.466788264
  18SN19970803,   101,  1,     12,19970803, 61.8236, -65.9987,  324,     49.6,  -0.4720,  32.7010,2,    346.2,2,     8.31,2,     5.77,2,     0.06,2,     0.90,2,    6.500,2,    3.080,2,    0.350,2,    8.940,2,   2090.5,2,   2228.2,2,      178,  -0.473380762
  18SN19970803,   101,  1,     11,19970803, 61.8236, -65.9987,  324,     74.7,  -0.4830,  32.7160,2,    345.2,2,     8.41,2,     5.97,2,     0.09,2,     0.92,2,    6.310,2,    3.010,2,    0.250,2,   10.070,2,   2089.9,2,   2236.9,2,      179,  -0.485092364
  18SN19970803,   101,  1,     10,19970803, 61.8236, -65.9987,  324,     99.2,  -0.4840,  32.7170,2,    346.4,2,     8.51,2,     5.67,2,     0.06,2,     0.91,2,    6.430,2,    3.120,2,    0.260,2,    9.820,2,   2093.7,2,   2251.4,2,      180,  -0.486801063
  18SN19970803,   101,  1,      9,19970803, 61.8236, -65.9987,  324,    120.1,  -0.4730,  32.6980,2,    346.6,2,     8.31,2,     5.48,2,     0.06,2,     0.90,2,    6.530,2,    3.360,3,    0.300,2,    9.010,2,   2088.0,3,   2232.0,2,      181,  -0.476422127
  18SN19970803,   101,  1,      8,19970803, 61.8236, -65.9987,  324,    150.1,  -0.4820,  32.7180,2,    345.8,2,     8.51,2,     5.67,2,     0.07,2,     0.96,2,    6.410,2,    3.120,3,    0.270,2,    9.660,2,   2092.1,3,   2239.7,2,      182,  -0.486313729
  18SN19970803,   101,  1,      7,19970803, 61.8236, -65.9987,  324,    202.9,  -0.4920,  32.7190,2,    345.7,2,     8.51,2,     5.57,2,     0.08,2,     0.92,2,    6.530,3,    3.110,3,    0.300,3,    9.800,3,   2091.5,4,   2232.7,3,      183,  -0.497915553
