BOTTLE,20060718WHPSIOdm
#code : jjward hyd_to_exchange.pl 
#original files copied from HTML directory: 20060718
#original HYD file: anas5hy.txt   Tue Jul 18 10:38:19 2006
#original SUM file: anas5su.txt   Tue Jul 18 08:58:56 2006
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,SALNTY,SALNTY_FLAG_W,THETA,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,ALKALI,ALKALI_FLAG_W,TRITER
,,,,,,,,,,,,DBAR,ITS-68,PSS-78,,DEC C,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,TU,,NMOL/KG,,PERCNT,,UMOL/KG,,UATM,,UMOL/KG,,TU
    316N198107, ANAS5,   141,  2,    201,      1,2,19810723,0650, 58.5717, -11.5450, 1761,     14.0,  12.2930,  35.3140,2, 12.2910,    269.0,2,     0.70,2,     4.20,2,     0.29,2,    4.840,6,   1.7200,2,    -1.85,2,   2068.6,2,    405.0,2,   2328.4,2,   0.090
    316N198107, ANAS5,   141,  2,    202,      2,2,19810723,0650, 58.5717, -11.5450, 1761,     43.0,  12.2440,  35.3140,2, 12.2380,    269.0,2,     0.70,2,     4.30,2,     0.30,2,    4.720,2,   1.7100,2,    -1.91,2,   2067.0,2,    408.6,2,   2324.4,2,   0.100
    316N198107, ANAS5,   141,  2,    203,      3,2,19810723,0650, 58.5717, -11.5450, 1761,     92.0,  10.3990,  35.3730,2, 10.3880,    253.0,2,     3.20,2,    11.20,2,     0.69,2,    4.540,2,-999.0000,9,  -999.00,9,   2110.7,2,    516.5,2,   2324.4,2,   0.090
    316N198107, ANAS5,   141,  2,    204,      4,2,19810723,0650, 58.5717, -11.5450, 1761,    129.0,  10.2300,  35.3710,2, 10.2150,    252.0,2,     3.90,2,    11.90,2,     0.73,2, -999.000,9,-999.0000,9,  -999.00,9,   2116.3,2,    525.2,2,   2327.4,2,-999.000
    316N198107, ANAS5,   141,  2,    205,      5,2,19810723,0650, 58.5717, -11.5450, 1761,    181.0,  10.0000,  35.3550,2,  9.9790,    250.0,2,     4.60,2,    12.60,2,     0.78,2,    4.410,2,   1.7400,2,     0.24,2,   2121.1,2,    547.1,2,   2324.4,2,   0.090
    316N198107, ANAS5,   141,  2,    206,      6,2,19810723,0650, 58.5717, -11.5450, 1761,    231.0,   9.6890,  35.3300,2,  9.6630,    250.0,2,     5.50,2,    13.40,2,     0.83,2,    4.330,6,-999.0000,9,  -999.00,9,   2122.5,2,    559.3,2,   2321.4,2,   0.090
    316N198107, ANAS5,   141,  2,    207,      7,2,19810723,0650, 58.5717, -11.5450, 1761,    282.0,   9.5950,  35.3420,2,  9.5630,    256.0,2,     5.30,2,    13.10,2,     0.81,2,    4.420,2,-999.0000,9,  -999.00,9,   2124.1,2,    556.2,2,   2324.4,2,   0.090
    316N198107, ANAS5,   141,  2,    208,      8,2,19810723,0650, 58.5717, -11.5450, 1761,    342.0,   9.5610,  35.3600,2,  9.5220,    259.0,2,     5.10,2,    13.00,2,     0.81,2,    4.320,2,   1.7400,2,     0.18,2,   2123.4,2,    554.5,2,   2324.4,2,   0.090
    316N198107, ANAS5,   141,  2,    209,      9,2,19810723,0650, 58.5717, -11.5450, 1761,    393.0,   9.4080,  35.3420,2,  9.3630,    260.0,2,     5.40,2,    13.30,2,     0.82,2,    4.330,2,-999.0000,9,  -999.00,9,   2124.6,2,    560.6,2,   2323.4,2,   0.090
    316N198107, ANAS5,   141,  2,    210,     10,2,19810723,0650, 58.5717, -11.5450, 1761,    443.0,   9.2680,  35.3380,2,  9.2180,    260.0,2,     5.40,2,    13.40,2,     0.83,2,    4.380,6,-999.0000,9,  -999.00,9,   2124.3,2,    562.4,2,   2322.4,2,   0.090
    316N198107, ANAS5,   141,  2,    211,     11,2,19810723,0650, 58.5717, -11.5450, 1761,    555.0,   8.8220,  35.2840,2,  8.7610,    267.0,2,     5.20,2,    13.40,2,     0.84,2,    4.450,2,   1.7400,2,    -0.39,2,   2121.7,2,    567.1,2,   2317.4,2,   0.090
    316N198107, ANAS5,   141,  2,    212,     12,2,19810723,0650, 58.5717, -11.5450, 1761,    656.0,   8.7740,  35.3080,2,  8.7020,    265.0,2,     6.10,2,    13.90,2,     0.87,2, -999.000,9,-999.0000,9,  -999.00,9,   2129.8,2,    577.1,2,   2323.4,2,-999.000
    316N198107, ANAS5,   141,  2,    213,     13,2,19810723,0650, 58.5717, -11.5450, 1761,    781.0,   8.5600,  35.2890,2,  8.4740,    264.0,2,     6.70,2,    14.20,2,     0.89,2,    4.200,2,-999.0000,9,  -999.00,9,   2130.5,2,    585.0,2,   2321.4,2,   0.110
    316N198107, ANAS5,   141,  2,    214,     14,2,19810723,0650, 58.5717, -11.5450, 1761,    906.0,   8.2250,  35.2520,2,  8.1270,    266.0,2,     6.70,2,    14.50,2,     0.91,2,    4.040,2,   1.7700,2,     0.48,2,   2131.5,2,    590.9,2,   2320.4,2,   0.110
    316N198107, ANAS5,   141,  2,    215,     15,2,19810723,0650, 58.5717, -11.5450, 1761,   1034.0,   7.6160,  35.2520,2,  7.5080,    238.0,2,     9.00,2,    16.90,2,     1.06,2,    3.630,2,   1.8700,2,     3.43,2,   2147.3,2,    648.8,2,   2320.4,2,   0.100
    316N198107, ANAS5,   141,  2,    216,     16,2,19810723,0650, 58.5717, -11.5450, 1761,   1149.0,   6.8250,  35.1740,2,  6.7110,    227.0,2,    10.60,2,    18.40,2,     1.15,2,    2.970,6,   1.8400,2,     6.52,2,   2162.3,2,    709.5,2,   2320.4,2,   0.100
    316N198107, ANAS5,   141,  2,    217,     17,2,19810723,0650, 58.5717, -11.5450, 1761,   1247.0,   6.0850,  35.1240,2,  5.9680,    242.0,2,    10.30,2,    17.70,2,     1.12,2,    2.880,2,-999.0000,9,  -999.00,9,   2157.7,2,    704.1,2,   2316.4,2,   0.100
    316N198107, ANAS5,   141,  2,    218,     18,2,19810723,0650, 58.5717, -11.5450, 1761,   1354.0,   5.2990,  35.0660,2,  5.1790,    251.0,2,    10.80,2,    17.80,2,     1.13,2,    2.580,2,   1.7700,2,     6.41,2,   2157.9,2,    715.4,2,   2313.4,2,   0.090
    316N198107, ANAS5,   141,  2,    219,     19,2,19810723,0650, 58.5717, -11.5450, 1761,   1456.0,   4.7010,  35.0260,2,  4.5770,    263.0,2,    10.90,2,    17.40,2,     1.10,2,    2.400,2,   1.8100,2,     5.76,2,   2153.4,2,    706.6,2,   2310.4,2,   0.090
    316N198107, ANAS5,   141,  2,    220,     20,2,19810723,0650, 58.5717, -11.5450, 1761,   1561.0,   4.2240,  34.9840,2,  4.0960,    268.0,2,    11.40,2,    17.70,2,     1.12,2,    2.010,2,   1.8600,2,     4.91,2,   2152.7,2,    718.5,2,   2306.4,2,   0.080
    316N198107, ANAS5,   141,  2,    221,     21,2,19810723,0650, 58.5717, -11.5450, 1761,   1621.0,   4.1020,  34.9750,2,  3.9690,    269.0,2,    11.70,2,    17.70,2,     1.11,2,    1.710,2,   1.8100,2,     4.90,2,   -999.0,9,    715.2,2,   -999.0,9,   0.080
    316N198107, ANAS5,   141,  2,    222,     22,2,19810723,0650, 58.5717, -11.5450, 1761,   1702.0,   3.9840,  34.9840,2,  3.8450,    270.0,2,    12.50,2,    17.50,2,     1.13,2,    1.930,2,-999.0000,9,  -999.00,9,   2154.1,2,    709.3,2,   2310.4,2,   0.100
    316N198107, ANAS5,   141,  2,    223,     23,2,19810723,0650, 58.5717, -11.5450, 1761,   1742.0,   4.0290,  35.0130,2,  3.8860,    273.0,2,    12.30,2,    16.80,2,     1.09,2,    2.400,2,-999.0000,9,  -999.00,9,   -999.0,9,   -999.0,9,   2309.4,2,   0.090
    316N198107, ANAS5,   141,  2,    224,     24,2,19810723,0650, 58.5717, -11.5450, 1761,   1775.0,   3.8400,  35.0110,2,  3.6960,    273.0,2,    13.00,2,    16.80,2,     1.08,2,    2.010,6,   1.8100,2,     2.14,2,   -999.0,9,   -999.0,9,   2314.4,2,   0.090
    316N198107, ANAS5,   142,  1,    101,      1,2,19810724,0818, 61.3367,  -8.0117,  824,      3.0,  10.4940,  35.2370,2, 10.4940,    283.0,2,     1.00,2,     6.80,2,     0.47,2,    4.700,2,   1.7600,2,    -1.96,2,   2081.1,2,    452.6,2,   2317.4,2,   0.110
    316N198107, ANAS5,   142,  1,    102,      2,2,19810724,0818, 61.3367,  -8.0117,  824,     10.0,  10.4660,  35.2360,2, 10.4650,    282.0,2,     1.00,2,     6.90,2,     0.47,2,    4.390,2,-999.0000,9,  -999.00,9,   2082.2,2,    453.2,2,   2318.4,2,   0.120
    316N198107, ANAS5,   142,  1,    103,      3,2,19810724,0818, 61.3367,  -8.0117,  824,     26.0,  10.1580,  35.2390,2, 10.1550,    277.0,2,     1.60,2,     8.10,2,     0.56,2,    3.860,2,-999.0000,9,  -999.00,9,   2090.5,2,    471.6,2,   2319.4,2,   0.150
    316N198107, ANAS5,   142,  1,    104,      4,2,19810724,0818, 61.3367,  -8.0117,  824,     61.0,   9.0370,  35.2480,2,  9.0300,    268.0,2,     4.20,2,    12.30,2,     0.78,2,    4.130,2,-999.0000,9,  -999.00,9,   2115.3,2,    551.5,2,   2315.4,2,   0.160
    316N198107, ANAS5,   142,  1,    105,      5,2,19810724,0818, 61.3367,  -8.0117,  824,     91.0,   8.5030,  35.2240,2,  8.4930,    269.0,2,     5.20,2,    13.50,2,     0.85,2,    4.230,2,-999.0000,9,  -999.00,9,   2123.3,2,    571.4,2,   2317.4,2,   0.190
    316N198107, ANAS5,   142,  1,    106,      6,2,19810724,0818, 61.3367,  -8.0117,  824,    121.0,   8.5180,  35.2490,2,  8.5050,    271.0,2,     5.60,2,    13.60,2,     0.86,2,    4.140,2,-999.0000,9,  -999.00,9,   2124.7,2,    576.6,2,   2317.4,2,   0.160
