BOTTLE,20081215PRINUNIVRMK
# 8/17/07 this file initialized 
# Ship: CCGS Pierre Radisson 
# Cruise: NOW98; Northwater Polynya 
# Cruise dates: 8/27-10/10/1998  
# EXPOCODE: 18RD19990827 
# Region:Polynya west of northern Greenland 
# Chief Scientist: L. Fortier, H. Melling 
# 40 stations;  with 24 place Rosette 
# Station code translation table: 
# Change prefix letters as follows 
# D->300 
# S->400 
# E->500 
# N->600 
# e.g. "D32" would become 332 
# Hydro: Who - H. Melling; Status - final 
# 	Notes: CTD files requested from Joe Linguanti 8/17/07 
# Nuts/O2: Who - J.-E Tremblay/K.Cochran; Status - no data  
# 	Notes:  
# TCO2: Who - L. Miller,T.Yager; Status - final  
# 	Notes: Data from Miller 7/9/07 
# 	CRM used; estimated accuracy 4umol/kg 
# TA: Who - L. Miller; Status - final  
# 	Notes: Data from Miller 7/9/07 
# Other: DOC - K. Cochran 
# 	POC;PON - Michel Gosselin 
# References: 
# Reynolds, R. Michael, Mark A. Miller and Mary Jane Bartholomew, 
# Design, Operation, and Calibration of a Shipboard Fast-Rotating  
# Shadowband Radiometer,Jour. Atmos. and Oceanic Tech., 18(2), 200-214, 2001. 
# Bacle J, Carmack E., Ingram R., Water column structure and circulation under the North Water during spring transition: April-July 1998. Deep-Sea Res. II, 49, 4907 - 4925, 2002. 
# Deming J, Fortier L, Fukuchi M., The International North Water Polynya Study (NOW): a brief overview. Deep-Sea Res. II, 49, 4887 - 4892, 2002. 
# Ingram. R., Bacle J., Barber D., Gratton Y., Melling H., An overview of physical processes in the North Water. Deep-Sea Res. II, 49, 4893-4906, 2002. 
# Melling, H.; Gratton, Y.; Ingram, G.,  Ocean circulation within the North Water Polynya of Baffin Bay.  Atmosphere - Ocean, 39(3), pp. 301-325, 2001. 
# Miller L, Yager P, Erickson K, Amiel D, Bacle J, Cochran J, Garneau M, Gosselin M, Hirschberg D, Klein B, LeBlanc B, Miller W., Carbon distributions and fluxes in the North Water, 1998 and 1999. Deep-Sea Res. II, 49: 5151 - 5170, 2002. 
EXPOCODE,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,POC,POC_FLAG_W,PON,PON_FLAG_W,TOC,TOC_FLAG_W,THETA
,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,ug/kg,,ug/kg,,UMOL/L,,DEGC
  18RD19990827,   301,  6,     22,2,19990827, 75.2550, -74.9850,  472,      1.2,   2.6285,  32.4653,2,   2025.6,2,   2221.5,2,       -999,9,        -999,9,      110,2,    2.6284361
  18RD19990827,   301,  6,     20,2,19990827, 75.2550, -74.9850,  472,      5.3,   2.6295,  32.4719,2,   2025.1,2,   2214.0,2,       -999,9,        -999,9,      147,2,    2.6292175
  18RD19990827,   301,  6,     15,2,19990827, 75.2550, -74.9850,  472,      8.0,   2.6255,  32.4781,2,   2025.4,2,   2214.6,2,       -999,9,        -999,9,       95,2,   2.62507359
  18RD19990827,   301,  6,     10,2,19990827, 75.2550, -74.9850,  472,     16.0,   2.1170,  32.5352,2,   2028.5,2,   2216.0,2,       -999,9,        -999,9,       99,2,   2.11621209
  18RD19990827,   301,  6,      4,2,19990827, 75.2550, -74.9850,  472,     33.3,  -0.1950,  32.9835,2,   2069.6,2,   -999.0,9,       -999,9,        -999,9,      115,2, -0.196019548
  18RD19990827,   301,  6,      1,2,19990827, 75.2550, -74.9850,  472,     49.8,  -1.2285,  33.3127,2,   2141.8,2,   -999.0,9,       -999,9,        -999,9,      105,2,    -1.229617
  18RD19990827,   301,  7,     10,2,19990827, 75.2550, -74.9850,  472,    101.1,  -1.1560,  33.5203,2,   2132.2,2,   -999.0,9,       -999,9,        -999,9,      105,2,  -1.15842285
  18RD19990827,   301,  7,      7,2,19990827, 75.2550, -74.9850,  472,    201.7,  -0.0285,  34.0354,2,   2164.4,2,   -999.0,9,       -999,9,        -999,9,       87,2,-0.0356801595
  18RD19990827,   301,  7,      5,2,19990827, 75.2550, -74.9850,  472,    302.7,   0.4635,  34.2289,2,   2166.1,2,   -999.0,9,       -999,9,        -999,9,       87,2,  0.451080136
  18RD19990827,   301,  7,      1,2,19990827, 75.2550, -74.9850,  472,    438.7,  -0.2055,  34.2904,2,   2165.6,2,   -999.0,9,       -999,9,        -999,9,      131,2, -0.221625213
  18RD19990827,   404, 12,     22,2,19990829, 76.2850, -74.2883,  462,      2.6,  -0.2085,  31.2856,2,   1985.5,2,   2156.5,2,      33.95,2,        3.67,2,     -999,9, -0.208570154
