BOTTLE,20081121PRINUNIVRMK
# 11/29/2007 Initialized README file 
# Ship: Meteor 
# Cruise: MET 59/1 
# Dates: 6/26 - 7/21/2003 
# EXPOCODE: 06MT20030626 
# Region: Subpolar North Atlantic; 5 sections perpendicular to eastern Greenland 
# Ch. Sci.: John Mortensen, IfM Hamburg 
# 86 stations;  with 24 place Rosette 
# Hydro: Who - ; Status - final 
# 	Notes: data from R. Steinfeldt 11/23/2007 
# 	bottom depth estimated by global topography 
# 	depth calculated from pressure 
# Nuts/O2: Who - ; Status - not measured; S Plus -  
# 	Notes:  
# CFC: Who - Monika Rhein, University Bremen; Status - final; S Plus - up to date 
# 	Notes: data from Reiner Steinfeldt 11/23/2007 
# 	CFC samples were sealed on board under pure nitrogen and analysed in the 
# 	Bremen lab by gas chromatography. see Bulsiewicz et al. 1998 
# 	CFC-11: SIO-98 scale, accuracy 2.0% 
# 	CFC-12: SIO-98 scale, accuracy 1.5% 
# 	See Kieke et al. 2007 
# Other: SF-6 data from Toste 4/1/08; see Tanhua et al. 2005. 
# References: 
# Bulsiewicz, K., H, Rose, O. Klatt, A. Putzka, and W. Roether (1998), A capillary-column chromatographic system for efficient chlorofluorocarbon measurement in ocean waters, J. Geophys. Res., 103, 15,959-15,970. 
# Kieke, D., et al. Changes in the pool of Labrador Sea Water in the subpolar North Atlantic. Geophys. Res. Lett. 34, L06605, doi: 1029/2006GL028959 (2007). 
# Tanhua, T., Bulsiewicz, K. and Rhein, M., 2005. Spreading of Overflow Water from the Greenland to the Labrador Sea. Geophysical Research Letters, 32,L10605, doi:10.1029/2002GL0227700. 
EXPOCODE,STNNBR,CASTNO,BTLNBR,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,THETA
,,,,,,,METERS,DBARS,ITS-90,PSS-78,,PMOL/KG,,PMOL/KG,,FMOL/KG,,DEGC
  06MT20030626,   325,  1,     22,20030630, 47.2133, -25.8647, 3087,     14.0,  13.9283,  35.6660,2, -999.000,9, -999.000,9,     -999,9, 13.9262838
  06MT20030626,   325,  1,     21,20030630, 47.2133, -25.8647, 3087,     13.3,  13.9250,  35.6661,2, -999.000,9, -999.000,9,     -999,9, 13.9230849
  06MT20030626,   325,  1,     20,20030630, 47.2133, -25.8647, 3087,     13.9,  13.9274,  35.6660,2,    2.595,2,    1.650,2,     0.81,2, 13.9253983
  06MT20030626,   325,  1,     19,20030630, 47.2133, -25.8647, 3087,     53.9,  13.9262,  35.6655,2, -999.000,9, -999.000,9,      0.9,2, 13.9184278
  06MT20030626,   325,  1,     18,20030630, 47.2133, -25.8647, 3087,    103.0,  12.4025,  35.6278,2, -999.000,9, -999.000,9,    0.873,2, 12.3887295
  06MT20030626,   325,  1,     17,20030630, 47.2133, -25.8647, 3087,    204.8,  11.5765,  35.5475,2, -999.000,9, -999.000,9,    1.287,2, 11.5502324
  06MT20030626,   325,  1,     16,20030630, 47.2133, -25.8647, 3087,    305.0,  10.8566,  35.4320,2, -999.000,9, -999.000,9,    1.341,2, 10.8189311
  06MT20030626,   325,  1,     15,20030630, 47.2133, -25.8647, 3087,    405.6,   9.9421,  35.2835,2,    2.502,2,    1.526,2,     -999,9, 9.89453103
  06MT20030626,   325,  1,     14,20030630, 47.2133, -25.8647, 3087,    607.4,   7.5585,  35.1033,2, -999.000,9, -999.000,9,     -999,9, 7.49727928
  06MT20030626,   325,  1,     13,20030630, 47.2133, -25.8647, 3087,    808.3,   6.3659,  35.1267,2,    1.915,2,    1.130,2,     0.72,2, 6.29050386
