BOTTLE,20140120PRINUNIVRMK
# 11/1/11 Initialized README file  
# Data source: PANGEA via Tanhua and Anderson 
# SHIP: Jacob Smirnitsky 
# Cruise: ISSS-08; International Siberian Shelf Study - 2008; EPOCA 
# Region: East Arctic Siberian Shelf 
# EXPOCODE: 90JS20080815 
# DATES: 8/15 - 9/26/2008 
# Chief Scientist: I.Semiletov/O.Gustafsson 
# 99 stations with 12 place Rosette 
# Hydro: Who - G.Bjork; Status -  final 
# 	Notes: 	Sampling included underway measurement of T,S,O2,CDOM 
# Nuts: Who - L.Anderson; Status - final  
# 	Notes: 
# O2: Who - L.Anderson; Status -  final 
# 	Notes: 
# TCO2: Who - L.Anderson; Status - final 
# 	Notes: CRM analysis indicates precision of about 2umol/kg 
# TA: Who - L.Anderson; Status - final 
# 	Notes: CRM analysis indicates precision of about 1.2 umol/kg 
# pH: Who - L.Anderson; Status - final 
# 	Notes: total scale at 15C 
# CFC: Who - L.Anderson; Status - final 
# 	Notes: also includes CFC-113 and CCl4 
# C13: Who - O.Gustafsson; Status - unknown 
# 	Notes: no data in file 
# Other: TOC/POC/DOC O.Gustafsson  
# References: 
# Anderson,L.G., Tanhua, T., Bjork, G., Hjalmarsson, S., Jones, E.P.,  Jutterstrom, S., Rudels, B., Swift, J.H. and Wahlstom, I., 2010. Arctic ocean shelf basin interaction: An active continental shelf CO2 pump and its impact on the degree of calcium carbonate solubility, Deep-Sea Research I,57, pp 869-879. 
# Anderson, L. G.,  Bjork, G., Jutterstrom, S., Pipko, I., Shakhova, N., Semiletov, I.P. and Wahlstom, I., 2011. East Siberian Sea, an arctic region of very high biogeochemical activity, Biogeosciences Discuss., 8, pp 1137-1167. 
# Stemiletov, I. and O. Gustafsson, East Siberian shelf study alleviates scarcity of observations, Eos Trans. AGU, 90,17, doi:10.1029/2009EO170001, 2009. 
# Sanchez-Garcia, L., V. Alling, S. Pugach, J. Vonk, B. van Dongen, C. Humborg, O. Dudarev, I. Semiletov, and O. Gustafsson, Inventories and behavior of particulate organic carbon in the Laptev and East Siberian seas, Global. Biogeochem. Cycles, 25, GB2007, doi:10.1029/2010GB003862, 2011. 
# Alling, V., et al., Nonconserbative behavior of dissolved organic carbon across the Laptev and East Siberian seas, Global Biogeochem. Cycles, 24, GB4033, doi:10.1029/2010GB003834, 2010. 
# Anderson, L.G.,  P.S. Andersson, G.Bjork, E. Jones, S. Jutterstrom, and I. Wahlstrom, Source and formation of the upper halocline of the Arctic Ocean, J.Geophys. Res., 118, 1-12, doi:10.1029/2012JC008291, 2013. 
EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,NH4,NH4_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP
,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C
  90JS20080815,ISSS08,     1,  1,      4,2,20080818,   0, 71.6460,  64.6420,  126,    115.0,  -0.8000,  34.4000,2,-999.0000,9,    299.6,2,     5.70,2,     8.80,2,     0.70,2,     -999,9,    7.460,2,    3.690,2,    0.350,2,    5.530,2,   2264.8,2,   -999.0,9,   7.7100,2,    15.00
  90JS20080815,ISSS08,     1,  1,      3,2,20080818,   0, 71.6460,  64.6420,  126,    115.1,  -0.8000,  34.4000,2,-999.0000,9,    298.4,2,     5.50,2,     8.90,2,     0.65,2,     -999,9,    7.570,2,    3.510,2,    0.360,2,    5.740,2,   2270.9,2,   -999.0,9,   7.7000,2,    15.00
  90JS20080815,ISSS08,     1,  1,      2,2,20080818,   0, 71.6460,  64.6420,  126,    115.2,  -0.8000,  34.4000,2,-999.0000,9,    298.0,2,     5.40,2,     8.70,2,     0.61,2,     -999,9,    7.430,2,    3.820,2,    0.380,2,    5.750,2,   2272.2,2,   -999.0,9,   7.7000,2,    15.00
  90JS20080815,ISSS08,     1,  1,      1,2,20080818,   0, 71.6460,  64.6420,  126,    115.8,  -0.8000,  34.4000,2,-999.0000,9,    298.5,2,     5.30,2,     9.00,2,     0.54,2,     -999,9,    6.590,2,    3.790,2,    0.360,2,    6.070,2,   -999.0,9,   -999.0,9,   7.7100,2,    15.00
  90JS20080815,ISSS08,     2,  1,      5,2,20080819,   0, 73.4050,  72.9950,   35,     24.8,  -1.1000,  31.9000,2,-999.0000,9,    248.9,2,    17.80,2,     4.40,2,     0.36,2,     -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   2362.2,2,   2228.5,2,   7.5400,2,    15.00
  90JS20080815,ISSS08,     2,  1,      4,2,20080819,   0, 73.4050,  72.9950,   35,     19.8,  -1.1000,  31.9000,2,-999.0000,9,    249.2,2,    17.40,2,     4.30,2,     0.11,2,     -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   2262.1,2,   2205.0,2,   7.5200,2,    15.00
  90JS20080815,ISSS08,     2,  1,      3,2,20080819,   0, 73.4050,  72.9950,   35,     15.0,-999.0000,-999.0000,9,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   2270.1,2,   2204.1,2,   7.4600,2,    15.00
  90JS20080815,ISSS08,     2,  1,      2,2,20080819,   0, 73.4050,  72.9950,   35,     10.0,-999.0000,-999.0000,9,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   2081.7,2,   2075.0,2,   7.6300,2,    15.00
  90JS20080815,ISSS08,     2,  1,      1,2,20080819,   0, 73.4050,  72.9950,   35,      4.0,-999.0000,-999.0000,9,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   1378.9,2,   1424.3,2,   7.8300,2,    15.00
