BOTTLE,20081218PRINUNIVRMKPRINUNIVRMK
# Ship and cruise designation: Johan Hjort; 58JH9511, basename jh9511 
# Carbon and Oxygen from I. Skjelvan 7/20/05 
# T,S,P data from J. Blindheim 
# Nuts from F. Rey 
# Tracers from J. Karstensen 
# Ship: Johan Hjort 
# Cruise: 58JH9511 
# Dates: 11/8 - 11/26/1995  
# EXPOCODE: 58JH19951108 
# Region: Greenland-Norwegian Sea with 75N section 
# Chief Scientist: F.Rey? (Mar. Res. Inst., Bergen) 
# 51 stations with 12 place Rosette 
# Hydro: Who - J. Blindheim; Status - final  
# 	Notes: Depth estimated from pressure and latitude 
# 	See Blindheim and Rey, 2004. 
# Nuts/O2: Who - F.Rey; Status - final 
# 	Notes: Nutrients: Analysed on board the ship 
# 	Oxygen analysed on board the ship (Winkler titration).  
# 	Data from Blindheim 3/27/08 
# 	Units correction 4/11/08 
# TCO2: Who - T. Johannessen/I.Skjelvan; Status - final  
# 	Notes: Method: SOMMA extraction system (K. Johnson) and coulometrically detection (DOE, 1994).  
# 	CRM used to assure accuracy.  
# 	Analytical precision better than 3 umol/kg. 
# 	Values fall within envelope of other JH cruises 
# TA: Who - T. Johannessen/I.Skjelvan; Status - final  
# 	Notes: Method: Potentiometric titration in a closed cell (DOE, 1994), final results calculated by Gran linearizations.  
# 		Analysis calibrated with TRIS buffer (2-amino-2-hydroximethyl-1,3-propanediol) in 0.5 M NaCl.  
# 		Analytical precision between 9 and 15 umol/kg.  
# 	Poor quality. All data flagged 3. 
# fCO2: Who - I.Skjelvan; Status - underway only 
# CFC: Who - J.Bullister; Status - final 
# 	Notes:   SIO98 scale 
# 	See Karstensen et al., 2005. 
# References: 
# Blindheim, J. and F. Rey, Water-mass formation and distribution in the Nordic Seas during the 1990s, J. Mar. Sci., 61, 846-863, 2004. 
# Karstensen, J., P. Schlosser, D.W.R. Wallace, J.L. Bullister and J. Blindheim, Water mass transformation in the Greenland Sea during the 1990s, J. Geophys. Res., 110, C07022, doi:10.1029/2004JC002510, 2005. 
EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,MCHFRM,MCHFRM_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,THETA
,,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,TU,,NMOL/KG,,PERCNT,,DEGC
  58JH19951108,   GNS,   294,  1,     12,2,19951112, 74.5010,  18.5060,   60,      3.0,  -1.1770,  33.8660,2,  33.8736,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    7.083,2,    3.564,2, -999.000,9,    8.399,2,   17.673,2,   2093.2,2,   2202.6,3, -999.000,9,-999.0000,9,  -999.00,9,  -1.1771
  58JH19951108,   GNS,   294,  1,      5,2,19951112, 74.5010,  18.5060,   60,      2.7,  -1.1770,  33.8660,2,  33.8711,2,    345.1,2,     2.32,2,     4.49,2,     0.17,2,     0.42,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9,     -999,9,   -999.0,9,   2179.7,3, -999.000,9,-999.0000,9,  -999.00,9,  -1.1771
  58JH19951108,   GNS,   294,  1,      4,2,19951112, 74.5010,  18.5060,   60,     17.7,  -1.1740,  33.8660,2,  33.8711,2,    345.5,2,     2.31,2,     4.48,2,     0.15,2,     0.42,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9,     -999,9,   2102.5,2,   2196.4,3, -999.000,9,-999.0000,9,  -999.00,9,  -1.1744
  58JH19951108,   GNS,   294,  1,      3,2,19951112, 74.5010,  18.5060,   60,     29.8,  -1.1670,  33.8710,2,  33.8761,2,    344.6,2,     2.33,2,     4.48,2,     0.17,2,     0.41,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9,     -999,9,   2101.7,2,   2226.9,3, -999.000,9,-999.0000,9,  -999.00,9,  -1.1677
  58JH19951108,   GNS,   294,  1,      2,2,19951112, 74.5010,  18.5060,   60,     39.3,  -1.1660,  33.8720,2,  33.8770,2,    343.3,2,     2.34,2,     4.49,2,     0.15,2,     0.41,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9,     -999,9,   2098.7,2,   -999.0,9, -999.000,9,-999.0000,9,  -999.00,9,  -1.1669
  58JH19951108,   GNS,   294,  1,      1,2,19951112, 74.5010,  18.5060,   60,     52.1,  -1.1660,  33.8710,2,  33.8760,0,    343.3,2,     2.33,2,     4.48,2,     0.16,2,     0.41,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9,     -999,9,   2097.8,2,   2235.5,3, -999.000,9,-999.0000,9,  -999.00,9,  -1.1673
  58JH19951108,   GNS,   295,  1,     11,2,19951112, 74.4990,  17.5770,  128,      2.9,  -0.2810,  34.2700,2,  34.2752,2,    331.0,2,     3.34,2,     7.13,2,     0.09,2,     0.65,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9,     -999,9,   2116.2,2,   2202.8,3, -999.000,9,-999.0000,9,  -999.00,9,  -0.2811
  58JH19951108,   GNS,   295,  1,     12,2,19951112, 74.4990,  17.5770,  128,      3.1,  -0.2810,  34.2700,2,  34.2752,2,    331.0,2,     3.35,2,     7.16,2,     0.08,2,     0.56,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9,     -999,9,   2120.0,2,   2205.8,3, -999.000,9,-999.0000,9,  -999.00,9,  -0.2811
  58JH19951108,   GNS,   295,  1,      8,2,19951112, 74.4990,  17.5770,  128,      9.0,  -0.2830,  34.2690,2,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,     -999,9,   -999.0,9,   2206.2,3, -999.000,9,-999.0000,9,  -999.00,9,  -0.2833
