BOTTLE,20081219PRINUNIVRMKPRINUNIVRMK
# File initiated 12/14/06 
# Data from C. Kivimaee 10/06/06 
# Ship: Jan Mayen 
# Cruise: 58JM0704; CABANERA II 
# Dates: 7/24-7/31/2004 
# EXPOCODE: 58JM20040724 
# Region: east of Svalbard 
# Ch. Sci. P. Wassmann, Norwegian College of Fishery Science 
# 7 stations with 12 place Rosette 
# Hydro: Who - A. Sundfjord; Status - final 
# 	Notes: 
# Nuts/O2: Who - R.G.J. Bellerby; Status - final 
# 	Notes: No oxygen data. Includes ammonium 
# TCO2: Who - R.G.J. Bellerby/C. Kivimäe; Status - final 
# 	Notes:CRM used 
# TA: Who - R.G.J. Bellerby/C. Kivimäe; Status - final 
# 	Notes:CRM used 
EXPOCODE,STNNBR,CASTNO,BTLNBR,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,SALNTY,SALNTY_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,AMMONI,AMMONI_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA
,,,,,,,METERS,DBARS,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,DEGC
  58JM20040724,     1,  1,     12,20040724, 82.2270,  29.4440, 3748,      1.5,  -1.7960,  33.1800,2,     2.18,2,     5.37,2,     0.08,2,     0.42,2,     0.61,2,   2026.7,2,   2202.6,2,  -1.7960
  58JM20040724,     1,  1,     11,20040724, 82.2270,  29.4440, 3748,      6.4,  -1.8060,  33.1600,2,     2.43,2,     5.53,2,     0.07,2,     0.41,2,     0.34,2,   2029.4,2,   2200.5,2,  -1.8061
  58JM20040724,     1,  1,     10,20040724, 82.2270,  29.4440, 3748,     12.1,  -1.8220,  33.4400,2,     2.43,2,     6.30,2,     0.12,2,     0.46,2,      1.7,2,   2064.6,2,   2237.2,2,  -1.8222
  58JM20040724,     1,  1,      9,20040724, 82.2270,  29.4440, 3748,     22.1,  -1.8300,  33.8700,2,     2.62,2,     6.72,2,     0.09,2,     0.51,2,     0.97,2,   2080.5,2,   2241.5,2,  -1.8304
  58JM20040724,     1,  1,      8,20040724, 82.2270,  29.4440, 3748,     32.1,  -1.8800,  34.0600,2,     2.59,2,     7.18,2,     0.10,2,     0.52,2,     0.45,2,   2092.4,2,   2254.2,2,  -1.8806
  58JM20040724,     1,  1,      7,20040724, 82.2270,  29.4440, 3748,     42.3,  -1.8620,  34.1000,2,     4.80,2,     8.50,2,     0.14,2,     0.61,2,     0.44,2,   2101.6,2,   2253.5,2,  -1.8628
  58JM20040724,     1,  1,      6,20040724, 82.2270,  29.4440, 3748,     51.9,  -1.8490,  34.1400,2,     3.14,2,     8.12,2,     0.17,2,     0.65,2,     0.82,2,   2105.0,2,   2256.4,2,  -1.8500
  58JM20040724,     1,  1,      5,20040724, 82.2270,  29.4440, 3748,     62.3,  -1.8160,  34.2100,2,     3.85,2,     8.90,2,     0.21,2,     0.59,2,     0.66,2,   2108.5,2,   2257.3,2,  -1.8172
  58JM20040724,     1,  1,      4,20040724, 82.2270,  29.4440, 3748,     92.5,  -0.4560,  34.3100,2,     2.90,2,     7.45,3,     0.17,2,     0.63,2,     1.06,2,   2114.7,2,   -999.0,9,  -0.4589
  58JM20040724,     1,  1,      2,20040724, 82.2270,  29.4440, 3748,    152.8,   2.4860,  34.8000,2,     4.13,2,    11.38,2,     0.09,2,     0.73,2,     0.22,2,   2141.0,2,   -999.0,9,   2.4772
  58JM20040724,     1,  1,      1,20040724, 82.2270,  29.4440, 3748,    202.6,   2.7040,  34.8700,2,     4.38,2,    11.78,2,     0.04,2,     0.73,2,     0.09,2,   2144.2,2,   2257.2,3,   2.6919
  58JM20040724,     2,  1,     12,20040726, 79.2330,  28.4480,  301,      1.1,  -0.2530,  30.5400,2,     1.59,2,     0.00,2,     0.05,2,     0.04,2,     0.29,2,   1957.0,2,   2200.8,2,  -0.2530
  58JM20040724,     2,  1,     11,20040726, 79.2330,  28.4480,  301,      6.4,  -1.4740,  32.9700,2,     2.81,2,     2.68,2,     0.11,2,     0.24,2,     0.68,2,   2049.6,2,   2236.1,2,  -1.4741
  58JM20040724,     2,  1,     10,20040726, 79.2330,  28.4480,  301,     11.2,  -1.8670,  33.6400,2,     3.09,2,     6.36,2,     0.13,2,     0.44,2,     0.22,2,   2081.8,2,   2235.6,2,  -1.8672
