BOTTLE,20100615CCHDOSIODM
#Changed Station-53 Cast-1 BTLNBR-8085 SALNTY flag from "0" to "3". SALNTY - CTDSAL = 0.07 at 498.9db.
#PH_SWS_FLAG_W moved to immediately follow PH_SWS.
#Station 1 Cast 1 removed because of missing bottle numbers and temperatures. See Data History notes for original Station 1 data.
#  Cast 1 contains data between 605.4 and 2737.4 dbars and at 3145.7 dbars for SALNTY, OXYGEN, TCARBN, ALKALI and PH_SWS.
#  Cast 2, included in this file, has BTLNBR and CTDTMP from 5.7 to 405.4db and 2802.5 to 3026.3db.
#Changed CTDPRS units from DBARS to DBAR.
#Changed PH_TMP and THETA units from DEGC to DEG C
#Changed PH_TEMP to PH_TMP.
#All TIMEs in original file were already set to "0000" as place holder for missing times.
#BOTTLE,20090817PRINUNIVRMK
# 4/21/05 Initialized README file 
# Data from Kozry 5/11/04 
# Corrected file from Skjelvan 7/5/05 
# Ship: Haakon Mosby 
# Cruise: 58AA9502 
# Cruise dates: 2/17 - 3/18/95 
# EXPOCODE: 58AA19950217 
# Region: Greenland-Norwegian Sea section at 75N 
# Chief Scientist - O.M. Johannessen , I. Skjelvan, L. Anderson 
# 34 stations;  with 12 place Rosette 
# Hydro: Who - O.M. Johannessen; Status - final 
# 	Notes: sta 461 near Bear Island 
# Nuts: Who - T. Johannessen; Status - final 
# 	Notes: Nut. samples preserved with chloroform and run 8mo. later. 
# 	Nitrate values show considerable scatter and are ~3umol/kg low relative to TTO  
# 	Silicate values compare favorably with TTO 
# 	Phosphate values from southern stations (421:483) are offset,flagged 3.  
# 	Other data show scatter, but are otherwise comperable to TTO 
# O2: Who - Eva Falck, University of Bergen; Status - final 
# 	Notes:final oxygen data from A.Olsen 11/23/07 
# 	Oxygen via Winkler titration; precision 1umol/kg 
# 	Ssouthern stations slightly higher than TTO, but probably real. Otherwise comparable. 
# TCO2: Who - L.Anderson/T.Johannessen/I.Skjelvan; Status - final 
# 	Notes: SOMMA/Coulometer 
# 	CRM used 
# 	Precision +/-3umol/kg 
# 	12 values flagged 3/4 
# 	On average deep water values are slightly lower than TTO, but within expected TTO uncertainty 
# TA: Who - L.Anderson/T.Johannessen/I.Skjelvan; Status - final 
# 	Notes: Open cell titration; calibrated with TRIS buffer 
# 	Overall quality marginal 
# 	Alk values are ~20umol/kg lower than TTO. The alk-salt relation  
# 		is not discernably different than for TTO 
# fCO2: Who - I. Skjelvan; Status - underway only 
# pH: Who - Anderson; Status - final 
# 	Notes: Spectrophotometric with m-Creosol purple at 15C, total H scale 
# 	Converted to SWS@25 
# 	Accuracy of +/-0.002; precision of 0.001 
# CFC: Who - A. Olsson/T. Tanhua; Status - final  
# 	Notes: Include CFC-11,12,113 
# C-13: Who - T. Johannessen; Status - not included  
# 	Notes: data too poor to be of value 
#EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_SWS,PH_TMP,PH_SWS_FLAG_W,THETA
#,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,,DEG C,,DEG C
#
EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_SWS,PH_SWS_FLAG_W,PH_TMP,THETA
,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C,DEG C
58AA19950217, 75N, 1, 2, 7633, 2, 19950224, 0000, 74.9817, -9.5530, 3155,      5.7,  -0.1910,  34.9000, 2,  34.8990, 2,    331.2, 2,     6.70, 3,    11.30, 2,     0.07, 2,     0.82, 2,    4.610, 2,    2.240, 2,    0.340, 2,   2144.5, 2,   -999.0, 9,    7.7073, 2,     25.00,  -0.1912
58AA19950217, 75N, 1, 2, 7634, 2, 19950224, 0000, 74.9817, -9.5530, 3155,     12.2,  -0.1940,  34.9010, 2,  34.9080, 2,    326.4, 2,     6.70, 3,    11.50, 2,     0.07, 2,     0.83, 2,    5.020, 2,    2.620, 2,    0.410, 2,   2144.2, 2,   -999.0, 9, -999.0000, 9,   -999.00,  -0.1944
58AA19950217, 75N, 1, 2, 7635, 2, 19950224, 0000, 74.9817, -9.5530, 3155,     21.5,  -0.1830,  34.9000, 2, -999.0000, 9,    325.5, 2,     6.70, 3,    11.50, 2,     0.07, 2,     0.80, 2,    4.620, 2,    2.990, 2,    0.330, 2,   2144.8, 2,   -999.0, 9,    7.7082, 2,     25.00,  -0.1837
58AA19950217, 75N, 1, 2, 7636, 2, 19950224, 0000, 74.9817, -9.5530, 3155,     30.6,  -0.1810,  34.9000, 2,  34.8990, 2,    326.8, 2,     6.70, 3,    11.20, 2,     0.08, 2,     0.88, 2,    5.070, 2,    2.370, 2,    0.350, 2,   2148.0, 2,   -999.0, 9,    7.7015, 2,     25.00,  -0.1821
58AA19950217, 75N, 1, 2, 7637, 2, 19950224, 0000, 74.9817, -9.5530, 3155,     48.7,  -0.1880,  34.9000, 2,  34.8990, 2,    326.4, 2,     6.80, 3,    11.20, 2,     0.07, 2,     0.83, 2, -999.000, 9, -999.000, 9, -999.000, 9,   2147.6, 2,   -999.0, 9,    7.7024, 2,     25.00,  -0.1897
58AA19950217, 75N, 1, 2, 7638, 2, 19950224, 0000, 74.9817, -9.5530, 3155,     75.3,  -0.2080,  34.8990, 2,  34.8970, 2,   -999.0, 9,     6.70, 3,    11.30, 2,     0.07, 2,     0.83, 2,    4.950, 2,    2.400, 2,    0.410, 2,   2145.9, 2,   -999.0, 9,    7.7073, 2,     25.00,  -0.2106
58AA19950217, 75N, 1, 2, 7639, 2, 19950224, 0000, 74.9817, -9.5530, 3155,    108.9,  -0.3300,  34.8980, 2,  34.8960, 2,    328.6, 2,     6.80, 3,    11.40, 2,     0.07, 2,     0.83, 2,    4.600, 2,    2.490, 2,    0.330, 2,   2152.3, 2,   -999.0, 9,    7.7015, 2,     25.00,  -0.3337
58AA19950217, 75N, 1, 2, 7640, 2, 19950224, 0000, 74.9817, -9.5530, 3155,    210.5,  -0.3580,  34.8970, 2,  34.8970, 2,    326.0, 2,     6.80, 3,    11.30, 2,     0.07, 2,     0.83, 2,    4.990, 2,    2.660, 2,    0.370, 2,   2147.6, 2,   2269.0, 2,    7.6977, 2,     25.00,  -0.3653
58AA19950217, 75N, 1, 2, 7641, 2, 19950224, 0000, 74.9817, -9.5530, 3155,    405.4,  -0.5540,  34.8900, 2,  34.8900, 2,    325.5, 2,     7.10, 3,    11.50, 2,     0.07, 2,     0.85, 2, -999.000, 9, -999.000, 9, -999.000, 9,   2148.3, 2,   -999.0, 9,    7.6928, 2,     25.00,  -0.5680
58AA19950217, 75N, 1, 2, 7642, 2, 19950224, 0000, 74.9817, -9.5530, 3155,   2802.5,  -0.9720,  34.9080, 2, -999.0000, 9,    303.8, 2,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,    0.740, 2, -999.000, 9,    0.000, 2,   2150.5, 2,   -999.0, 9,    7.6851, 2,     25.00,  -1.1192
58AA19950217, 75N, 1, 2, 7643, 2, 19950224, 0000, 74.9817, -9.5530, 3155,   2901.3,  -0.9740,  34.9070, 2, -999.0000, 9,    305.1, 2,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,    0.740, 2,    1.080, 2,    0.000, 2,   2146.9, 2,   2265.0, 2, -999.0000, 9,   -999.00,  -1.1288
