BOTTLE,20090908PRINUNIVRMK
# DATE this file initialized 3/9/07 
# Data from Pierre Clement 3/9/07 
# Ship: Louis S. St. Laurent 
# Cruise: 18SNA097, JOIS97 
# Dates: 8/31 - 9/16/1997 
# Chief Scientist: F. McLaughlin, K. Falkner 
# EXPOCODE: 18SN19970831 
# Region:Arctic 
# 26 stations with 24 place Rosette 
# Hydro: Who - F.McLaughlin/K.Falkner; Status - final 
# 	Notes: bottle number fabricated 
# 	bottom depth estimated by global topography 
# Nuts/O2: Who - ; Status - no data 
# TCO2: Who - P.Jones/Azetsu-Scott; Status - final 
# 	Notes:  
# TA: Who - Who - P.Jones/Azetsu-Scott; Status - final 
# 	Notes:  
# CFC: Who - P.Jones/Azetsu-Scott; Status - final; S Plus - up to date 
# 	Notes: Includes CFC-113 and CCl4 
# References: 
# McLaughlin, F.A., E.C. Carmack, R.W. Macdonald, H. Melling, J.H. Swift, P.A. Wheeler, B.F. Sherr and E.B. Sherr, The joint roles of Pacific and Atlantic-origin waters in the Canada Basin, 1997-1998, Deep-Sea Res. I, 51(1), 107-128, 2004. 
# Jutterstrom, S. and L.G. Anderson, The saturation of calcite and aragonite in thhe Arctic Ocean, Mar. Chem., 94, 101-110, 2005. 
EXPOCODE,STNNBR,CASTNO,BTLNBR,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,SALNTY,SALNTY_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,INDEX,THETA
,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,,DEGC
  18SN19970831,     1,  1,     13,19970831,0000, 74.6683, -93.3633,  174,      2.8,  -1.7120,  31.1859,2,    6.100,2,    2.850,2,    0.310,2,   10.410,2,   1975.4,2,   2139.2, 2,      900,  -1.7120
  18SN19970831,     1,  1,     12,19970831,0000, 74.6683, -93.3633,  174,      3.2,  -1.7155,  31.1893,2,    6.700,2,    2.810,2,    0.350,2,   10.710,2,   1977.1,2,   2137.1, 3,      901,  -1.7155
  18SN19970831,     1,  1,     11,19970831,0000, 74.6683, -93.3633,  174,      5.0,  -1.7265,  31.1750,2,    6.130,2,    2.970,2,    0.280,2,   10.490,2,   1975.4,2,   2139.9, 2,      902,  -1.7266
  18SN19970831,     1,  1,     10,19970831,0000, 74.6683, -93.3633,  174,      7.4,  -1.7105,  31.4670,2,    6.225,2,    2.965,3,    0.270,2,   10.100,2,   1990.9,2,   2140.4, 2,      903,  -1.7106
  18SN19970831,     1,  1,      9,19970831,0000, 74.6683, -93.3633,  174,     10.7,  -1.6240,  31.8443,2,    5.920,2,    2.750,3,    0.220,3,   10.240,2,   2034.6,2,   2195.5, 2,      904,  -1.6242
  18SN19970831,     1,  1,      8,19970831,0000, 74.6683, -93.3633,  174,     20.4,  -1.4210,  32.1412,2,    5.860,2,    2.970,2,    0.280,2,   10.150,2,   2058.0,2,   2197.8, 2,      905,  -1.4214
  18SN19970831,     1,  1,      7,19970831,0000, 74.6683, -93.3633,  174,     30.6,  -1.3720,  32.2068,2,    5.890,2,    2.680,2,    0.210,3,   10.370,2,   2064.5,2,   2202.3, 2,      906,  -1.3726
  18SN19970831,     1,  1,      6,19970831,0000, 74.6683, -93.3633,  174,     40.4,  -1.2975,  32.3639,2,    4.950,2,    2.350,2,    0.220,2,   10.740,2,   2090.5,2,   2214.4, 3,      907,  -1.2983
  18SN19970831,     1,  1,      5,19970831,0000, 74.6683, -93.3633,  174,     51.5,  -1.2875,  32.4011,2,    5.160,2,    2.280,2,    0.180,2,   10.230,2,   2094.5,2,   2206.9, 2,      908,  -1.2885
