BOTTLE,20081218PRINUNIVRMKPRINUNIVRMK
# 3/24/06 Initialized README file  
# Data from J. Karstensen 3/21/06 
# T,S,P,maxdepth data from Blindheim 
# Ship: J. Hjort 
# Cruise: 58JH9311 
# Dates: 11/6 - 12/2/1993 
# EXPOCODE: 58JH19931106 
# Region: Greenland-Norwegian Sea 
# Chief Scientist -J. Blindheim and F.Rey 
# 51 stations with 12 place Rosette 
# Hydro: Who - Blindheim; Status - final 
# 	Notes: See Blindheim and Rey, 2004. 
# 	T,S,P,maxdepth data from Blindheim 
# 	9301000 subtracted from listed station numbers 
# Nuts/O2: Who - F. Rey; Status - final  
# 	Notes:data from Blindheim 3/27/08 
# CFC: Who - J. Bullister; Status - final 
# 	Notes: CFC on SIO 98 scale 
# 	See Karstensen et al. 2005 
# 	Also includes CFC-113, Cl3Et 
# H-3/He-3: Who - P.Schlosser; Status - final  
# 	Notes:  
# References: 
# Blindheim, J. and F. Rey, Water-mass formation and distribution in the Nordic Seas during the 1990s, J. Mar. Sci., 61, 846-863, 2004. 
# Karstensen, J., P. Schlosser, D.W.R. Wallace, J.L. Bullister and J. Blindheim, Watermass transformation in the Greenland Sea during the 1990s, J.Geophys. Res., 110, C07022, doi:10.1029/2004JC002510, 2005. 
EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,MCHFRM,MCHFRM_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,THETA
,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,TU,,NMOL/KG,,PERCNT,,DEGC
  58JH19931106,   GNS,    48,  1,      4,19931107, 62.3667,   5.2000,  129,     20.0,   9.1700,  33.0660,2,   -999.0,9,     0.52,2,     1.17,2,     0.30,2,     0.03,2, -999.000,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   9.1679
  58JH19931106,   GNS,    48,  1,      3,19931107, 62.3667,   5.2000,  129,     50.0,   8.9440,  33.3980,2,   -999.0,9,     0.63,2,     1.47,2,     0.25,2,     0.14,2, -999.000,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   8.9388
  58JH19931106,   GNS,    48,  1,      2,19931107, 62.3667,   5.2000,  129,     77.0,   8.6130,  34.8570,2,   -999.0,9,     3.97,2,    10.58,2,     0.03,2,     0.78,2, -999.000,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   8.6049
  58JH19931106,   GNS,    48,  1,      1,19931107, 62.3667,   5.2000,  129,     96.0,   8.2940,  35.0100,2,   -999.0,9,     4.37,2,    11.29,2,     0.03,2,     0.81,2, -999.000,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   8.2841
  58JH19931106,   GNS,    50,  1,      8,19931107, 62.6000,   4.6833,  971,     10.0,   9.0030,  33.9930,2,   -999.0,9,     0.86,2,     2.96,2,     0.22,2,     0.21,2, -999.000,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   9.0019
  58JH19931106,   GNS,    50,  1,      7,19931107, 62.6000,   4.6833,  971,     18.0,   9.1060,  34.2900,2,   -999.0,9,     1.42,2,     5.43,2,     0.17,2,     0.39,2, -999.000,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   9.1041
  58JH19931106,   GNS,    50,  1,      6,19931107, 62.6000,   4.6833,  971,     28.0,   9.1900,  34.7480,2,   -999.0,9,     1.69,2,     7.00,2,     0.10,2,     0.51,2, -999.000,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   9.1870
  58JH19931106,   GNS,    50,  1,      5,19931107, 62.6000,   4.6833,  971,     48.0,   8.9380,  35.1040,2,   -999.0,9,     3.09,2,    11.32,2,     0.02,2,     0.76,2, -999.000,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   8.9328
  58JH19931106,   GNS,    50,  1,      4,19931107, 62.6000,   4.6833,  971,     74.0,   8.4210,  35.1420,2,   -999.0,9,     3.79,2,    11.72,2,     0.02,2,     0.81,2, -999.000,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   8.4133
  58JH19931106,   GNS,    50,  1,      3,19931107, 62.6000,   4.6833,  971,     98.0,   8.0420,  35.1320,2,   -999.0,9,     4.23,2,    12.06,2,     0.02,2,     0.84,2, -999.000,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   8.0321
  58JH19931106,   GNS,    50,  1,      2,19931107, 62.6000,   4.6833,  971,    148.0,   7.7650,  35.1740,2,   -999.0,9,     5.37,2,    13.29,2,     0.02,2,     0.92,2, -999.000,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   7.7503
  58JH19931106,   GNS,    50,  1,      1,19931107, 62.6000,   4.6833,  971,    176.0,   7.5130,  35.1710,2,   -999.0,9,     5.74,2,    13.45,2,     0.02,2,     0.93,2, -999.000,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   7.4958
  58JH19931106,   GNS,    51,  1,      6,19931107, 62.7167,   4.4333, 1150,     11.0,   9.2320,  34.8990,2,   -999.0,9,     1.89,2,     7.83,2,     0.05,2,     0.56,2, -999.000,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   9.2308
  58JH19931106,   GNS,    51,  1,      5,19931107, 62.7167,   4.4333, 1150,     21.0,   9.2290,  34.9670,2,   -999.0,9,     2.04,2,     8.32,2,     0.04,2,     0.60,2, -999.000,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   9.2267
  58JH19931106,   GNS,    51,  1,      4,19931107, 62.7167,   4.4333, 1150,     29.0,   9.0180,  35.0330,2,   -999.0,9,     2.23,2,     8.73,2,     0.15,2,     0.63,2, -999.000,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   9.0149
  58JH19931106,   GNS,    51,  1,      3,19931107, 62.7167,   4.4333, 1150,     51.0,   8.7810,  35.1200,2,   -999.0,9,     2.22,2,     8.52,2,     0.22,2,     0.62,2, -999.000,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   8.7756
