BOTTLE,20081215PRINUNIVRMKPRINUNIVRMK
# 4/21/05 Initialized README file 
# Data from Kozyr 5/11/04; Replaced with data from Skjelvan 7/5/05 
# 	Final CFC data replaced by Tanhua 9/15/06 
# Ship: Haakon Mosby 
# Cruise: 58AA9402_2 
# Dates: 2/24 - 3/17/1994 
# EXPOCODE: 58AA19940224 
# Region: 75N, Greenland-Norwegian Sea 
# Ch.Sci.: T. Johannessen 
# 24 stations;  with 24 place Rosette 
# Hydro: Who - T. Johannessen; Status - not corrected 
# 	Notes: salt values apparently from CTD 
# Nuts/O2: Who - T. Johannessen; Status - corrected 
# 	Notes: Samples preserved with chloroform and analyzed after 1-2 months via Skalar Autoanalyzer.  
# 	Some flags applied by Skjelvan.  
# 	No silicate data.   
# TCO2: Who - Anderson/Johannessen; Status - corrected 
# 	Notes: Scatter of ~10umol/kg 
# 	Deep values bit lower than neighboring TTO values, but within expected uncertainty 
# 	SOMMA/coulometer with precision better than 3umol/kg.  
# 	CRM used 
# 	Revised data from Anderson 8/5/05 merged 
# TA: Who - Anderson/Johannessen; Status - corrected  
# 	Notes: Data quality marginal 
# 	Open cell titration with Gran linearization. Calibrated with Tris buffer in 0.5M NaCl. No CRM.  
# 	Deep values are uniformly lower than neighboring TTO values by ~20umol/kg.  
# 	The shallow water alk values are similarly lower, but also show a somewhat different salinity dependence. 
# 	There are some very strange relatively shallow values  (in P and S space) which have not been flagged,  
# 		but are probably questionable. Precision 9-15umol/kg. 
# 	Revised data from Anderson 8/5/05 merged 
# CFC: Who - K.A. Olsson/T. Tanhua; Status - final 
# 	Notes: Includes CFC-11,12,CCl4 
# 	CFC-113 measured, but data poor quality, discarded by PI 
# 	CFC/CCl4 corrected & flagged by T.Tanhua 9/15/06. Data quality questionable. 
# 	Best estimate of precision from repeat analysis of water sample; 
# 		"CFC-11  3.8%; CFC-12 5.3%, CCl4 4.7%" 
# 	Best estimate of overall accuracy: 
# 		CFC-11 9.3%; CFC-12 9.8%; CCl4 12.2% 
# 	 See Anderson et al., 2000. 
# References: 
# Anderson, L.G., Chierici, M., Fogelqvist, E. and Johannessen, T., Flux of anthropogenic carbon into the deep Greenland Sea, J. Geophys. Res., 105(C6), 14339-14345, 2000. 
EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CCL4,CCL4_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA
,,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,DEGC
  58AA19940224,   GNS,     1,  1,      1,2,19940226, 74.5000,  16.0000,  709,      2.5,   4.7710,  35.0620,2,  35.0920,2,   -999.0,9,  -999.00,9,  -999.00,9,     0.16,2,     0.79,2, -999.000,9, -999.000,9, -999.000,9,   2137.2,2,   2315.5,3,    4.77081
  58AA19940224,   GNS,     1,  1,     12,2,19940226, 74.5000,  16.0000,  709,      8.5,   4.7730,  35.0630,2,  35.0930,2,   -999.0,9,  -999.00,9,  -999.00,9,     0.14,2,     1.03,2, -999.000,9, -999.000,9, -999.000,9,   2137.6,2,   2306.9,2,    4.77236
  58AA19940224,   GNS,     1,  1,     11,2,19940226, 74.5000,  16.0000,  709,     28.5,   4.5310,  35.0510,2,  35.0830,2,   -999.0,9,  -999.00,9,  -999.00,9,     0.22,2,     1.01,2, -999.000,9, -999.000,9, -999.000,9,   2136.2,2,   2300.0,2,    4.52891
  58AA19940224,   GNS,     1,  1,     10,2,19940226, 74.5000,  16.0000,  709,     48.5,   4.4730,  35.0460,2,  35.0770,2,   -999.0,9,  -999.00,9,    10.90,2,     0.12,2,     0.84,2, -999.000,9, -999.000,9, -999.000,9,   2133.8,2,   2303.3,2,    4.46946
  58AA19940224,   GNS,     1,  1,      9,2,19940226, 74.5000,  16.0000,  709,     98.5,   4.3030,  35.0380,2,  35.0700,2,   -999.0,9,  -999.00,9,    11.10,2,     0.20,2,     0.83,2, -999.000,9, -999.000,9, -999.000,9,   2136.7,2,   2299.9,2,     4.2959
  58AA19940224,   GNS,     1,  1,      8,2,19940226, 74.5000,  16.0000,  709,    147.5,   4.1550,  35.0230,2,  35.0570,2,   -999.0,9,  -999.00,9,    11.00,2,     0.09,2,     0.81,2, -999.000,9, -999.000,9, -999.000,9,   2139.7,2,   2300.8,2,    4.14449
  58AA19940224,   GNS,     1,  1,      7,2,19940226, 74.5000,  16.0000,  709,    198.5,   3.9750,  35.0130,2,  35.0490,2,   -999.0,9,  -999.00,9,    11.10,2,     0.09,2,     0.84,2, -999.000,9, -999.000,9, -999.000,9,   2139.8,2,   2297.4,2,    3.96106
  58AA19940224,   GNS,     1,  1,      6,2,19940226, 74.5000,  16.0000,  709,    299.5,   3.3590,  35.0010,2,  35.0340,2,   -999.0,9,  -999.00,9,    11.40,2,     0.09,2,     0.85,2, -999.000,9, -999.000,9, -999.000,9,   2142.8,2,   2295.5,2,    3.33921
  58AA19940224,   GNS,     1,  1,      5,2,19940226, 74.5000,  16.0000,  709,    499.5,   0.9530,  34.9270,2,  34.9600,2,   -999.0,9,  -999.00,9,    12.90,2,     0.09,2,     0.97,2, -999.000,9, -999.000,9, -999.000,9,   2156.1,2,   2291.3,2,   0.928967
