BOTTLE,20081215PRINUNIVRMKPRINUNIVRMK
# 4/21/05 Initialized README file 
# Data from Kozyr 5/11/04; Replaced with data from Skjelvan 7/5/05 
# Ship: Haakon Mosby 
# Cruise: 58AA9402_1 
# Dates: 2/3 - 2/23/1994 
# EXPOCODE: 58AA19940203 
# Region:Nordic Seas ~78N, 2W-2E 
# Chief Scientist: Johannessen 
# 16 stations;  with 12 place Rosette 
# Hydro: Who - O.M. Johannessen; Status - not corrected 
# 	Notes: CTD salt values used for calculations 
# 	7/15/05 added bottle salt values and real bottle numbers (except for records 71:75 where bottle # fabricated) 
# 	Significant difference between CTD and bottle salts 
# Nuts/O2: Who - T. Johannessen; Status - corrected 
# 	Notes: Samples preserved with chloroform and analyzed after 1-2 months via Skalar Autoanalyzer. 
# 	Some flags applied by Skjelvan. No silicate data.   
# TCO2: Who - Anderson/Johannessen/Skjelvan; Status - corrected 
# 	Notes: Scatter of ~10umol/kg 
# 	Deep values bit lower than neighboring TTO values, but within expected uncertainty 
# 	SOMMA/coulometer with precision better than 3umol/kg. CRM used 
# TA: Who - Anderson/Johannessen/Skjelvan; Status - corrected 
# 	Notes: Data quality marginal 
# 	Closed cell titration with Gran linearization. Calibrated with Tris buffer in 0.5M NaCl. No CRM.  
# 	Deep values are uniformly lower than neighboring TTO values by ~20umol/kg.  
# 	The shallow water alk values are similarly lower, but also show a somewhat different salinity dependence. 
# 	There are some very strange relatively shallow values  (in P and S space) which have not been flagged,  but are probably questionable.  
# 	Precision 9-15umol/kg. 
# 	L. Anderson may have more (and better(?) Alk data) for this cruise. 
# CFC: Who - K.A. Olsson; Status - no data 
# 	Notes:   
EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA
,,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,DEGC
  58AA19940203,   GNS,    21,  1,     12,2,19940209, 78.5000,   3.0000, 2494,    603.0,   0.6730,  34.8470,2,  34.9100,2,    312.1,2,  -999.00,9,    11.50,2,     0.10,2,     1.00,2,   2149.2,2,   -999.0,9, 0.644919356
  58AA19940203,   GNS,    21,  1,     11,2,19940209, 78.5000,   3.0000, 2494,    704.0,  -0.0750,  34.8210,2,  34.8850,2,    305.5,2,  -999.00,9,    12.00,2,     0.10,2,     1.00,2,   2155.1,2,   -999.0,9,-0.104033563
  58AA19940203,   GNS,    21,  1,     10,2,19940209, 78.5000,   3.0000, 2494,    804.0,  -0.3430,  34.8240,2,  34.8860,2,    305.1,2,  -999.00,9,    12.10,2,     0.10,2,     1.00,2,   2159.1,2,   -999.0,9,-0.375100847
  58AA19940203,   GNS,    21,  1,      9,2,19940209, 78.5000,   3.0000, 2494,    905.0,  -0.4910,  34.8290,2,  34.8920,2,    302.1,2,  -999.00,9,    12.20,2,     0.10,2,     1.00,2,   2159.8,2,   -999.0,9,-0.526859496
  58AA19940203,   GNS,    21,  1,      8,2,19940209, 78.5000,   3.0000, 2494,   1006.0,  -0.6330,  34.8290,2,  34.8940,2,    306.8,2,  -999.00,9,    12.30,2,     0.10,2,     1.00,2,   2157.4,2,   -999.0,9,-0.672601325
  58AA19940203,   GNS,    21,  1,      7,2,19940209, 78.5000,   3.0000, 2494,   1207.0,  -0.7220,  34.8380,2,  34.9090,2,    304.2,2,  -999.00,9,    12.40,2,     0.10,2,     1.10,2,   2157.5,2,   -999.0,9,-0.770841614
  58AA19940203,   GNS,    21,  1,      6,2,19940209, 78.5000,   3.0000, 2494,   1407.0,  -0.8110,  34.8430,2,  34.9060,2,    302.5,2,  -999.00,9,    12.90,2,     0.10,2,     1.10,2,   2158.7,2,   -999.0,9,-0.869453154
  58AA19940203,   GNS,    21,  1,      5,2,19940209, 78.5000,   3.0000, 2494,   1610.0,  -0.8890,  34.8420,2,  34.9050,2,    307.7,2,  -999.00,9,    13.00,2,     0.10,2,     1.10,2,   2161.7,2,   -999.0,9,-0.957785232
  58AA19940203,   GNS,    21,  1,      4,2,19940209, 78.5000,   3.0000, 2494,   1812.0,  -0.8960,  34.8450,2,  34.9100,2,    301.6,2,  -999.00,9,    13.10,2,     0.10,2,     1.10,2,   2160.3,2,   -999.0,9, -0.97656756
  58AA19940203,   GNS,    21,  1,      3,2,19940209, 78.5000,   3.0000, 2494,   2014.0,  -0.9220,  34.8470,2,  34.9080,2,    301.2,2,  -999.00,9,    13.20,2,     0.10,2,     1.10,2,   2162.6,2,   -999.0,9, -1.01471494
  58AA19940203,   GNS,    21,  1,      2,2,19940209, 78.5000,   3.0000, 2494,   2217.0,  -0.9230,  34.8490,2,  34.9110,2,    303.4,2,  -999.00,9,    13.10,2,     0.10,2,     1.10,2,   2161.0,2,   -999.0,9, -1.02897201
  58AA19940203,   GNS,    21,  1,      1,2,19940209, 78.5000,   3.0000, 2494,   2421.0,  -0.9910,  34.8500,2,  34.9030,2,    306.0,2,  -999.00,9,    13.00,2,     0.10,2,     1.10,2,   2161.4,2,   -999.0,9, -1.10970836
  58AA19940203,   GNS,    22,  2,      2,2,19940209, 78.5000,   3.0000, 2494,    100.0,   1.9460,  34.9220,2,  34.9870,2,    312.9,2,  -999.00,9,    10.90,2,     0.10,2,     0.90,2,   2141.3,2,   -999.0,9,  1.94071512
  58AA19940203,   GNS,    22,  2,      3,2,19940209, 78.5000,   3.0000, 2494,    200.0,   1.7940,  34.9200,2,  34.9880,2,    313.4,2,  -999.00,9,    11.00,2,     0.10,2,     0.90,2,   2144.8,2,   -999.0,9,  1.78351132
  58AA19940203,   GNS,    31,  1,      9,2,19940212, 78.0000,  -0.7583, 3083,      0.0,   0.8390,  34.9190,2,  34.8850,2,    325.9,2,  -999.00,9,    11.10,2,     0.10,2,     1.30,3,   2145.6,2,   -999.0,9,       0.839
  58AA19940203,   GNS,    31,  1,      8,2,19940212, 78.0000,  -0.7583, 3083,     20.0,   0.8390,  34.9180,2,  34.9650,2,   -999.0,9,  -999.00,9,    10.80,2,     0.10,2,     0.90,2,   2149.7,2,   2251.5,3, 0.838141314
