BOTTLE,20091103PRINUNIVRMK
# 3/14/08 this file initialized 
# Ship: Meteor 
# Cruise: MET50_3; SFB460; VEINS; Repeat of MT39/5(1997) and MT45/4(1999) 
# Dates:6/20-7/15/2001 
# EXPOCODE: 06MT20010620 
# Region: St. John's to Reykjavik; Stations east of southern Greenland, 6 sections 
# WOCE line AR25 
# Chief Scientist:J. Holfort; IfM-Hamburg, Hamburg, Germany 
# 77 stations with 24 place Rosette 
# Hydro: Who - J.Holfort; Status - final 
# 	Notes: 	Seabird CTD 
# 	CTD files from Holfort 4/4/08. Data interpolated to bottle 
# 		positions of CFC samples. 
# 	Depth estimated from pressure and location 
# 	bottom depth estimated from global topography 
# 	See Holfort and Albrecht, 2007. 
# Nuts/O2: Who - ; Status - final  
# 	Notes: no nutrient data in file, CTDOXY only 
# CFC: Who - M.Rhein; Status - final 
# 	Notes: data from R.Steinfeldt 12/18/06 
# 	CFC-11: SIO-93 scale, accuracy 1.5% 
# 	CFC-12: SIO-93 scale, accuracy 1.5% 
# 	See Kieke et al, 2006. 
# 	CFC converted to SIO-98 scale 11/03/09, R. Key 
# Other: Alkenones (A.Krich, no data in file) 
# References: 
# Holfort, et al., Meteor-Berichte 02-2, North Atlantic 2001 Part 3, Cruise No. 50, Leg 3, Inst. Meereskunde deer Univ. Hamburg, 20pp, 2002. 
# Holfort, J. and T. Albrecht, Atmospheric forcing of salinity in the overflow of Denmark Strait, Ocean Sci., 3, 411-416, 2007. 
# Kieke, D., M. Rhein, L. Stramma, W. M. Smethie, D. A. LeBel, and W. Zenk, 2006. Changes in the CFC Inventories and Formation Rates of Upper Labrador Sea Water, 1997-2001, J. Phys. Oceanogr, 36, 64-86. 
EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,THETA
,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,PMOL/KG,,PMOL/KG,,DEG C
  06MT20010620,  AR25,   162,  1,     24,2,20010625,0000, 58.7965, -30.8310, 1355,     10.3,-999.0000,-999.0000,9,   -999.0,9,    3.584,2,    1.949,2,-999.0000
  06MT20010620,  AR25,   162,  1,     22,2,20010625,0000, 58.7965, -30.8310, 1355,     50.3,  10.0737,  35.1201,2,    308.3,2,    3.666,2,    2.014,2,  10.0679
  06MT20010620,  AR25,   162,  1,     21,2,20010625,0000, 58.7965, -30.8310, 1355,    100.0,   8.5905,  35.1265,2,    287.2,2,    3.673,2,    1.989,2,   8.5800
  06MT20010620,  AR25,   162,  1,     18,2,20010625,0000, 58.7965, -30.8310, 1355,    200.7,   7.7554,  35.0875,2,    269.4,2,    3.379,2,    1.836,2,   7.7354
  06MT20010620,  AR25,   162,  1,     16,2,20010625,0000, 58.7965, -30.8310, 1355,    299.9,   7.4642,  35.1043,2,    284.1,2,    3.642,2,    1.953,2,   7.4348
  06MT20010620,  AR25,   162,  1,     15,2,20010625,0000, 58.7965, -30.8310, 1355,    400.0,   7.3028,  35.1273,2,    286.8,2,    3.709,2,    1.986,2,   7.2638
  06MT20010620,  AR25,   162,  1,     13,2,20010625,0000, 58.7965, -30.8310, 1355,    500.1,   7.1373,  35.1175,2,    281.9,2,    3.351,2,    1.792,2,   7.0888
  06MT20010620,  AR25,   162,  1,     12,2,20010625,0000, 58.7965, -30.8310, 1355,    601.1,   6.8436,  35.0924,2,    270.5,2,    3.265,2,    1.688,2,   6.7863
  06MT20010620,  AR25,   162,  1,     10,2,20010625,0000, 58.7965, -30.8310, 1355,    700.4,   5.9948,  35.0102,2,    275.0,2,    3.417,2,    1.741,2,   5.9321
  06MT20010620,  AR25,   162,  1,      9,2,20010625,0000, 58.7965, -30.8310, 1355,    799.9,   5.6338,  35.0119,2,    270.2,2,    3.128,2,    1.592,2,   5.5638
  06MT20010620,  AR25,   162,  1,      7,2,20010625,0000, 58.7965, -30.8310, 1355,    900.6,   5.2887,  35.0363,2,    263.1,2,    2.825,2,    1.373,2,   5.2116
  06MT20010620,  AR25,   162,  1,      5,2,20010625,0000, 58.7965, -30.8310, 1355,   1051.3,   4.3559,  34.9932,2,    281.2,2,    2.931,2,    1.445,2,   4.2723
  06MT20010620,  AR25,   162,  1,      2,2,20010625,0000, 58.7965, -30.8310, 1355,   1236.0,   3.9516,  34.9804,2,    288.2,2,    2.965,2,    1.461,2,   3.8554
  06MT20010620,  AR25,   162,  1,      1,2,20010625,0000, 58.7965, -30.8310, 1355,   1237.1,-999.0000,-999.0000,9,   -999.0,9,    2.859,4,    1.391,4,-999.0000
  06MT20010620,  AR25,   163,  1,     24,2,20010625,0000, 58.8670, -31.5000, 1695,      9.7,  10.4769,  35.0306,2,    315.1,2,    3.729,2,    2.038,2,  10.4758
  06MT20010620,  AR25,   163,  1,     18,2,20010625,0000, 58.8670, -31.5000, 1695,    299.1,   7.1936,  35.0471,2,    291.9,2,    3.786,2,    2.071,2,   7.1650
  06MT20010620,  AR25,   163,  1,     15,2,20010625,0000, 58.8670, -31.5000, 1695,    499.8,   6.6008,  35.0199,2,    286.1,2,    3.738,2,    2.017,2,   6.5545
  06MT20010620,  AR25,   163,  1,     11,2,20010625,0000, 58.8670, -31.5000, 1695,    798.9,   5.5309,  34.9969,2,    261.8,2,    2.858,2,    1.498,2,   5.4616
  06MT20010620,  AR25,   163,  1,      9,2,20010625,0000, 58.8670, -31.5000, 1695,    929.9,   5.0591,  35.0156,2,    266.0,2,    2.739,2,    1.409,2,   4.9809
  06MT20010620,  AR25,   163,  1,      8,2,20010625,0000, 58.8670, -31.5000, 1695,   1000.3,   4.7463,  35.0060,2,    272.5,2,    2.758,2,    1.415,2,   4.6640
  06MT20010620,  AR25,   163,  1,      7,2,20010625,0000, 58.8670, -31.5000, 1695,   1099.5,   4.3780,  34.9846,2,    279.2,2,    2.813,2,    1.433,2,   4.2900
  06MT20010620,  AR25,   163,  1,      6,2,20010625,0000, 58.8670, -31.5000, 1695,   1199.7,   4.0286,  34.9644,2,    285.2,2,    2.790,2,    1.422,2,   3.9349
  06MT20010620,  AR25,   163,  1,      5,2,20010625,0000, 58.8670, -31.5000, 1695,   1299.2,   3.9103,  34.9658,2,    287.8,2,    2.845,2,    1.443,2,   3.8089
  06MT20010620,  AR25,   163,  1,      3,2,20010625,0000, 58.8670, -31.5000, 1695,   1455.0,   3.8768,  34.9626,2,    288.8,2,    2.836,2,    1.442,2,   3.7620
  06MT20010620,  AR25,   163,  1,      2,2,20010625,0000, 58.8670, -31.5000, 1695,   1504.3,   3.8578,  34.9605,2,    289.0,2,    2.848,2,    1.462,2,   3.7388
  06MT20010620,  AR25,   164,  1,     24,2,20010625,0000, 58.9363, -32.1697, 1913,     10.8,-999.0000,-999.0000,9,   -999.0,9,    3.798,2,    2.048,2,-999.0000
  06MT20010620,  AR25,   164,  1,     21,2,20010625,0000, 58.9363, -32.1697, 1913,    150.1,   7.5129,  35.0301,2,    288.9,2,    3.802,2,    2.058,2,   7.4983
  06MT20010620,  AR25,   164,  1,     19,2,20010625,0000, 58.9363, -32.1697, 1913,    400.1,   6.7343,  35.0226,2,    285.4,2,    3.708,2,    1.989,2,   6.6971
  06MT20010620,  AR25,   164,  1,     17,2,20010625,0000, 58.9363, -32.1697, 1913,    600.3,   5.6558,  34.9469,2,    280.9,2,    2.971,2,    1.681,2,   5.6041
  06MT20010620,  AR25,   164,  1,     15,2,20010625,0000, 58.9363, -32.1697, 1913,    799.3,   5.1093,  35.0027,2,    261.3,2,    1.050,4,    0.534,4,   5.0425
  06MT20010620,  AR25,   164,  1,     13,2,20010625,0000, 58.9363, -32.1697, 1913,   1000.5,   4.2644,  34.9487,2,    281.3,2,    3.013,2,    1.516,2,   4.1860
  06MT20010620,  AR25,   164,  1,     11,2,20010625,0000, 58.9363, -32.1697, 1913,   1200.4,   3.8161,  34.9551,2,    289.1,2,    2.892,2,    1.443,2,   3.7242
  06MT20010620,  AR25,   164,  1,      8,2,20010625,0000, 58.9363, -32.1697, 1913,   1400.3,   3.7643,  34.9582,2,    290.1,2,    2.880,2,    1.440,2,   3.6556
  06MT20010620,  AR25,   164,  1,      7,2,20010625,0000, 58.9363, -32.1697, 1913,   1499.7,   3.7604,  34.9612,2,    290.3,2,    2.906,2,    1.461,2,   3.6430
  06MT20010620,  AR25,   164,  1,      6,2,20010625,0000, 58.9363, -32.1697, 1913,   1551.8,   3.7629,  34.9615,2,    290.6,2,    2.922,2,    1.462,2,   3.6407
  06MT20010620,  AR25,   164,  1,      3,2,20010625,0000, 58.9363, -32.1697, 1913,   1720.0,   3.7797,  34.9617,2,    290.6,2,    2.933,2,    1.494,2,   3.6419
  06MT20010620,  AR25,   164,  1,      2,2,20010625,0000, 58.9363, -32.1697, 1913,   1770.2,   3.7759,  34.9618,2,    290.7,2,    2.900,2,    1.504,2,   3.6336
  06MT20010620,  AR25,   165,  1,     23,2,20010626,0000, 59.0047, -32.8257, 2374,     13.0,   9.8011,  34.8433,2,    309.1,2,   -0.003,4,    2.056,2,   9.7996
  06MT20010620,  AR25,   165,  1,     21,2,20010626,0000, 59.0047, -32.8257, 2374,    100.5,   6.7872,  34.9265,2,    292.2,2,    3.907,2,    2.094,2,   6.7780
  06MT20010620,  AR25,   165,  1,     20,2,20010626,0000, 59.0047, -32.8257, 2374,    250.6,   6.2816,  34.9712,2,    287.4,2,    3.733,2,    2.021,2,   6.2594
  06MT20010620,  AR25,   165,  1,     17,2,20010626,0000, 59.0047, -32.8257, 2374,    500.1,   4.8767,  34.9063,2,    292.9,2,    3.856,2,    2.065,2,   4.8370
  06MT20010620,  AR25,   165,  1,     15,2,20010626,0000, 59.0047, -32.8257, 2374,    650.6,   4.5271,  34.9344,2,    277.3,2,    3.227,3,    1.636,3,   4.4764
  06MT20010620,  AR25,   165,  1,     13,2,20010626,0000, 59.0047, -32.8257, 2374,    801.1,   4.0137,  34.9097,2,    288.7,2,    3.459,2,    1.788,2,   3.9536
  06MT20010620,  AR25,   165,  1,     12,2,20010626,0000, 59.0047, -32.8257, 2374,    999.8,   3.6622,  34.8859,2,    297.5,2,    3.459,2,    1.759,2,   3.5885
  06MT20010620,  AR25,   165,  1,     10,2,20010626,0000, 59.0047, -32.8257, 2374,   1201.4,   3.5877,  34.9056,2,    291.9,2,    3.178,2,    1.556,2,   3.4980
  06MT20010620,  AR25,   165,  1,      9,2,20010626,0000, 59.0047, -32.8257, 2374,   1400.9,   3.4574,  34.9109,2,    295.1,2,    2.961,2,    1.457,2,   3.3520
  06MT20010620,  AR25,   165,  1,      7,2,20010626,0000, 59.0047, -32.8257, 2374,   1600.5,   3.3868,  34.9219,2,    296.0,2,    2.919,2,    1.437,2,   3.2648
  06MT20010620,  AR25,   165,  1,      6,2,20010626,0000, 59.0047, -32.8257, 2374,   1749.9,   3.3608,  34.9325,2,    295.2,2,    2.733,2,    1.336,2,   3.2258
  06MT20010620,  AR25,   165,  1,      4,2,20010626,0000, 59.0047, -32.8257, 2374,   2077.4,   3.3149,  34.9366,2,    294.9,2,    2.737,2,    1.334,2,   3.1504
  06MT20010620,  AR25,   165,  1,      3,2,20010626,0000, 59.0047, -32.8257, 2374,   2077.7,   3.3147,  34.9366,2,    294.9,2,    2.764,2,    1.336,2,   3.1501
  06MT20010620,  AR25,   165,  1,      1,2,20010626,0000, 59.0047, -32.8257, 2374,   2126.1,   3.3026,  34.9360,2,    294.8,2,    2.750,2,    1.340,2,   3.1337
  06MT20010620,  AR25,   166,  1,     24,2,20010626,0000, 59.0673, -33.5010, 2856,      9.4,   9.7133,  34.8561,2,    311.6,2,    3.818,2,    2.111,2,   9.7122
  06MT20010620,  AR25,   166,  1,     20,2,20010626,0000, 59.0673, -33.5010, 2856,    399.9,   4.1767,  34.9176,2,    286.3,2,    3.445,2,    1.783,2,   4.1474
  06MT20010620,  AR25,   166,  1,     18,2,20010626,0000, 59.0673, -33.5010, 2856,    706.8,   3.6119,  34.8851,2,    296.4,2,    3.587,2,    1.815,2,   3.5617
  06MT20010620,  AR25,   166,  1,     16,2,20010626,0000, 59.0673, -33.5010, 2856,   1000.5,   3.5628,  34.9143,2,    291.8,2,    3.046,2,    1.504,2,   3.4898
  06MT20010620,  AR25,   166,  1,     13,2,20010626,0000, 59.0673, -33.5010, 2856,   1341.1,   3.2983,  34.9031,2,    298.5,2,    3.121,2,    1.547,2,   3.1997
  06MT20010620,  AR25,   166,  1,     11,2,20010626,0000, 59.0673, -33.5010, 2856,   1500.0,   3.3547,  34.9237,2,    296.0,2,    2.950,2,    1.465,2,   3.2419
  06MT20010620,  AR25,   166,  1,     10,2,20010626,0000, 59.0673, -33.5010, 2856,   1701.2,   3.2382,  34.9174,2,    297.0,2,    2.744,2,    1.351,2,   3.1093
