BOTTLE,20081219PRINUNIVRMKPRINUNIVRMK
# File initiated 12/13/06 
# Data from C. Kivimaee 10/06/06 
# Ship: Jan Mayen 
# Cruise: 58JM0703; CABANERA I 
# Dates: 7/10-7/18/2003 
# EXPOCODE: 58JM20030710 
# Region: south of eastern Svalbard 
# Ch. Sci. P. Wassmann, Norwegian College of Fishery Science 
# 4 stations with 12 place Rosette 
# Hydro: Who - A. Sundfjord; Status - final 
# 	Notes:Shallow bottles show variation of +/-0.25 between casts at same station, but consistent for deeper waters 
# Nuts/O2: Who - R.G.J. Bellerby; Status - final 
# 	Notes: No oxygen data. Includes ammonium 
# 	NO3:Bottles show variation of +/-2 between casts at same station/depth 
# 	Si:Bottles show variation of +/-0.5 between casts at same station/depth 
# 	PO4:Bottles show variation of +/-0.15 between casts at same station/depth 
# 	NH4:Bottles show variation of +/-0.5 between casts at same station/depth 
# TCO2: Who - R.G.J. Bellerby/C. Kivimäe; Status - final 
# 	Notes:CRM used 
# 	Bottles show variation of +/-25 between casts at same station/depth 
# TA: Who - R.G.J. Bellerby/C. Kivimäe; Status - final 
# 	Notes:CRM used 
# 	Bottles show variation of +/-10 between casts at same station/depth 
EXPOCODE,STNNBR,CASTNO,BTLNBR,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,SALNTY,SALNTY_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,AMMONI,AMMONI_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA
,,,,,,,METERS,DBARS,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,DEGC
  58JM20030710,     1,  4,     12,20030710, 75.3860,  30.1180,  360,      1.1,  -1.0321,  32.2991,2,     0.17,2,     0.01,2,     0.00,2,     0.00,2,     0.15,2,   1909.6,2,   2133.6,2,  -1.0321
  58JM20030710,     1, 11,      6,20030710, 75.3860,  30.1180,  360,      1.1,  -1.1236,  32.6517,2,     0.24,2,     0.00,2,     0.00,2,     0.12,2,     0.13,2,   1934.4,2,   -999.0,9,  -1.1236
  58JM20030710,     1,  2,      6,20030710, 75.3860,  30.1180,  360,      1.2,  -0.9230,  32.6224,2,     0.21,2,     0.08,2,     0.00,2,     0.04,2,     0.39,2,   1919.3,2,   2167.8,2,  -0.9230
  58JM20030710,     1,  6,      6,20030710, 75.3860,  30.1180,  360,      1.4,  -1.0152,  32.3471,2,     0.19,2,    -0.01,2,     0.00,2,     0.00,2,     0.16,2,   1909.9,2,   -999.0,9,  -1.0152
  58JM20030710,     1,  1,     12,20030710, 75.3860,  30.1180,  360,      1.5,  -1.0452,  32.4536,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   1914.9,2,   2149.9,2,  -1.0452
  58JM20030710,     1,  9,     12,20030710, 75.3860,  30.1180,  360,      2.5,  -1.1004,  32.4248,2,     0.18,2,    -0.01,2,     0.00,2,     0.00,2,     0.09,2,   1915.7,2,   2150.8,2,  -1.1005
  58JM20030710,     1, 14,     11,20030710, 75.3860,  30.1180,  360,      3.2,  -1.1469,  32.5836,2,     0.22,2,     0.00,2,     0.00,2,     0.01,2,     0.19,2,   1926.6,2,   2163.8,2,  -1.1470
  58JM20030710,     1,  6,      5,20030710, 75.3860,  30.1180,  360,      3.8,  -1.0277,  32.3328,2,     0.16,2,    -0.01,2,     0.00,2,     0.04,2,     0.12,2,   -999.0,9,   -999.0,9,  -1.0278
  58JM20030710,     1,  2,      5,20030710, 75.3860,  30.1180,  360,      4.0,  -0.9272,  32.6072,2,     0.12,2,     0.02,2,     0.00,2,     0.04,2,     0.09,2,   1920.2,2,   2170.1,2,  -0.9273
  58JM20030710,     1,  4,     11,20030710, 75.3860,  30.1180,  360,      4.1,  -1.0433,  32.3067,2,     0.19,2,     0.41,2,     0.00,2,     0.02,2,     0.19,2,   1943.3,2,   2163.5,2,  -1.0434
  58JM20030710,     1,  9,     11,20030710, 75.3860,  30.1180,  360,      4.3,  -1.1332,  32.3782,2,     0.46,2,     0.01,2,     0.00,2,     0.00,2,     0.12,2,   1939.4,2,   2169.3,2,  -1.1333
  58JM20030710,     1,  1,     11,20030710, 75.3860,  30.1180,  360,      4.7,  -1.0554,  32.4401,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   1933.1,2,   2171.0,2,  -1.0555
  58JM20030710,     1, 11,      5,20030710, 75.3860,  30.1180,  360,      4.8,  -1.1623,  32.6483,2,     0.21,2,    -0.01,2,     0.00,2,     0.01,2,     0.16,2,   1938.1,2,   -999.0,9,  -1.1624
  58JM20030710,     1, 14,     10,20030710, 75.3860,  30.1180,  360,      8.1,  -1.1299,  32.7544,2,     0.23,2,     0.00,2,     0.00,2,     0.02,2,     0.12,2,   1951.7,2,   2193.8,2,  -1.1301
  58JM20030710,     1,  9,     10,20030710, 75.3860,  30.1180,  360,      8.6,  -1.0665,  32.6532,2,     0.19,2,     0.02,2,     0.00,2,     0.02,2,     0.09,2,   1986.1,2,   2211.8,2,  -1.0667
  58JM20030710,     1,  2,      4,20030710, 75.3860,  30.1180,  360,      9.2,  -0.9573,  32.5074,2,     0.27,2,     1.02,2,     0.01,2,     0.13,2,     0.39,2,   1981.4,2,   2216.7,2,  -0.9575
  58JM20030710,     1,  4,     10,20030710, 75.3860,  30.1180,  360,      9.3,  -0.9549,  32.4269,2,     0.27,2,     1.13,2,     0.01,2,     0.11,2,     0.44,2,   2010.9,2,   2229.6,2,  -0.9551
  58JM20030710,     1,  6,      4,20030710, 75.3860,  30.1180,  360,      9.3,  -0.9623,  32.6186,2,     0.25,2,     0.00,2,     0.00,2,     0.00,2,     0.17,2,   1943.6,2,   -999.0,9,  -0.9625
  58JM20030710,     1, 11,      4,20030710, 75.3860,  30.1180,  360,      9.6,  -1.1617,  32.7548,2,     0.18,2,    -0.01,2,     0.00,2,     0.05,2,     0.17,2,   1946.1,2,   -999.0,9,  -1.1619
  58JM20030710,     1,  1,     10,20030710, 75.3860,  30.1180,  360,      9.8,  -1.0354,  32.6078,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   1995.6,2,   2234.5,2,  -1.0356
