BOTTLE,20081217PRINUNIVRMKPRINUNIVRMK
# Data from A. Olsen 12/16/05 
# Revised file with CFC rcd from Are 12/29/05 
# Ship: G.O. Sars 
# Cruise: 58GS200309 
# DATES 9/22 - 10/13/2003 
# EXPOCODE: 58GS20030922 
# Region: Greenland-Norwegian Sea including 75N section 
# Chief Scientist Truls Johannessen 
# 80 stations with 24 place Rosette 
# Hydro: Who - T. Johannessen; Status - final 
# 	Notes: Salinity only recorded to 3 decimal places 
# 	Salt flagged by Key 
# Nuts/O2: Who A. Jon Olafsson; Status - final 
# 	Notes: Flags by Key 
# 	0-60m nuts filtered 
# 	Nutrients: QUASIMEME calibration program (LRM batch V) 
# 	Nitrate is nitrate+nitrite 
# 	Nutrient precision to WOCE standards or better 
# 	Deep water phosphate differ from 2002 Knorr cruise by 0.2umol/kg 
# TCO2: Who - Are Olsen & T. Johannessen; Status - final 
# 	Notes: Flags by Key 12/20/05 
# 	CRM used. 1 sigma precision from replicates 0.4umol/kg 
# 	See Olsen et al. 2006. 
# TA: Who - Are Olsen & T. Johannessen Status - final 
# 	Notes: Flags by Key 12/20/05 
# 	CRM used 
# CFC: Who A. Olsson & E. Jeansson; Status - final 
# 	Notes: standard calibration techniques 
# 	CFC-12 precision 2.7% 
# 	CFC-11 precision 1.0%  
# C-13: Who - A. Olsen & U. Ninnemann.; Status - final. 
# 	Notes: Flags by Key 12/20/05 
# 	Precision estimate of 0.5o/oo 
# 	See Olsen et al. 2006. 
# .References: 
# Olsen, A., A.M. Omar, R.G.J. Bellerby, T. Johannessen, U. Ninnemann, K.R. Brown, K.A. Olsson, J. Olafsson, G. Nondal, C. Kivimäe, S. Kringstad, C. Neill and S. Olafsdottir, Magnitude and origin of the anthropogenic CO2 increase and 13C Suess effect in the Nordic Seas since 1981, Global Biogeochem. Cycles, 20(3), GB3027, doi:10.1029/2005GB02669, 2006. 
EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,DELC13,DELC13_FLAG_W,THETA
,,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,O/OO,,DEGC
  58GS20030922,WedSea,   140,  1,      2,2,20030922, 70.5063,  20.0052,  157,    130.0,   8.2536,  34.5010,2,    271.0,2,     2.88,2,     7.02,2,     0.49,2,    4.640,2,    2.530,2,   2111.3,2,   2294.2,2,  -999.00,9,   8.2403
  58GS20030922,WedSea,   140,  1,      3,2,20030922, 70.5063,  20.0052,  157,    101.0,   8.4854,  34.4020,2,    271.8,2,     2.66,2,     6.42,2,     0.45,2,    4.520,2,    2.630,2,   2107.4,2,   2291.3,2,  -999.00,9,   8.4750
  58GS20030922,WedSea,   140,  1,      4,2,20030922, 70.5063,  20.0052,  157,     77.0,   8.8874,  34.3630,2,    272.7,2,     2.18,2,     4.61,2,     0.31,2,    4.340,2,    2.290,2,   2093.6,2,   2292.6,2,  -999.00,9,   8.8792
  58GS20030922,WedSea,   140,  1,      5,2,20030922, 70.5063,  20.0052,  157,     51.0,   9.7333,  34.2940,2,    269.9,2,     1.96,2,     3.74,2,     0.27,2,    4.360,2,    2.270,2,   2082.6,2,   2281.5,2,  -999.00,9,   9.7276
  58GS20030922,WedSea,   140,  1,      6,2,20030922, 70.5063,  20.0052,  157,     29.0,   9.7877,  33.9600,2,    272.7,2,     1.60,2,     2.14,2,     0.20,2,    4.190,2,    2.270,2,   2065.9,2,   2270.4,2,  -999.00,9,   9.7845
  58GS20030922,WedSea,   140,  1,      7,2,20030922, 70.5063,  20.0052,  157,     20.0,   9.9597,  33.8920,2,    273.5,2,     1.45,2,     1.69,2,     0.17,2,    4.170,2,    2.420,2,   2059.8,2,   2271.0,2,  -999.00,9,   9.9574
  58GS20030922,WedSea,   140,  1,      8,2,20030922, 70.5063,  20.0052,  157,     11.0,   9.9722,  33.8900,2,    272.9,2,     1.41,2,     1.60,2,     0.16,2,    4.000,2,    2.320,2,   2059.9,2,   2270.0,2,  -999.00,9,   9.9710
  58GS20030922,WedSea,   140,  1,      9,2,20030922, 70.5063,  20.0052,  157,      4.0,   9.9868,  33.8870,2,    272.6,2,     1.41,2,     1.60,2,     0.15,2,    4.090,2,    2.320,2,   2058.9,2,   2227.0,2,  -999.00,9,   9.9863
  58GS20030922,WedSea,   141,  1,      2,2,20030922, 71.0005,  19.9035,  185,    168.0,   6.9390,  35.1060,2,    271.7,2,     4.60,2,    11.33,2,     0.70,2,    4.420,2,    2.630,2,   2142.2,2,   -999.0,9,  -999.00,9,   6.9233
  58GS20030922,WedSea,   141,  1,      3,2,20030922, 71.0005,  19.9035,  185,    148.0,   6.9991,  35.1100,2,    272.1,2,     4.38,2,    11.33,2,     0.70,2,    4.500,2,    2.720,2,   2139.0,2,   2309.7,2,  -999.00,9,   6.9853
  58GS20030922,WedSea,   141,  1,      4,2,20030922, 71.0005,  19.9035,  185,    100.0,   7.5260,  35.0510,2,    273.7,2,     3.57,2,     9.89,2,     0.59,2,    4.520,2, -999.000,9,   2133.5,2,   2311.9,2,  -999.00,9,   7.5163
  58GS20030922,WedSea,   141,  1,      5,2,20030922, 71.0005,  19.9035,  185,     75.0,   7.6594,  34.9430,2,    273.5,2,     3.28,2,     9.07,2,     0.54,2,    4.400,2,    2.470,2,   2128.3,2,   2308.4,2,  -999.00,9,   7.6521
  58GS20030922,WedSea,   141,  1,      6,2,20030922, 71.0005,  19.9035,  185,     49.0,   8.4808,  34.5500,2,    274.6,2,     2.33,2,     6.16,2,     0.35,2,    4.170,2,    2.360,2,   2103.7,2,   2295.4,2,  -999.00,9,   8.4757
  58GS20030922,WedSea,   141,  1,      7,2,20030922, 71.0005,  19.9035,  185,     32.0,   8.9494,  34.2110,2,    284.1,2,     0.71,2,     1.32,2,     0.11,2,    4.000,2,    2.180,2,   2066.7,2,   2286.0,2,  -999.00,9,   8.9460
  58GS20030922,WedSea,   141,  1,      8,2,20030922, 71.0005,  19.9035,  185,     18.0,   8.9479,  34.2110,2,    283.7,2,     0.68,2,     1.23,2,     0.09,2,    3.860,2,    2.270,2,   2066.9,2,   -999.0,9,  -999.00,9,   8.9460
  58GS20030922,WedSea,   141,  1,      9,2,20030922, 71.0005,  19.9035,  185,     10.0,   8.9419,  34.2100,2,    283.1,2,     0.42,2,     1.23,2,     0.07,2,    3.580,2,    2.050,2,   2066.0,2,   2271.3,2,  -999.00,9,   8.9408
  58GS20030922,WedSea,   141,  1,     10,2,20030922, 71.0005,  19.9035,  185,      5.0,   8.9378,  34.2100,2,    283.0,2,     0.35,2,     1.23,2,     0.07,2,    3.840,2,    2.280,2,   2065.7,2,   -999.0,9,  -999.00,9,   8.9373
  58GS20030922,WedSea,   142,  1,      2,2,20030922, 71.4962,  19.7928,  236,    222.0,   6.5369,  35.1730,2,    277.2,2,     4.67,2,    12.12,2,     0.76,2,    4.470,2,    2.660,2,   2143.0,2,   2313.5,2,  -999.00,9,   6.5168
  58GS20030922,WedSea,   142,  1,      3,2,20030922, 71.4962,  19.7928,  236,    199.0,   6.5543,  35.1730,2,    277.2,2,     4.60,2,    12.12,2,     0.76,2,    4.530,2,    2.590,2,   2144.5,2,   -999.0,9,  -999.00,9,   6.5363
  58GS20030922,WedSea,   142,  1,      4,2,20030922, 71.4962,  19.7928,  236,    139.0,   6.9396,  35.1490,2,    275.7,2,     4.23,2,    11.68,2,     0.74,2,    4.450,2,    2.400,2,   2140.2,2,   -999.0,9,  -999.00,9,   6.9267
  58GS20030922,WedSea,   142,  1,      5,2,20030922, 71.4962,  19.7928,  236,     98.0,   7.4183,  35.1600,2,    274.3,2,     3.71,2,    10.89,2,     0.68,2,    4.210,2,    2.340,2,   -999.0,9,   2311.4,2,  -999.00,9,   7.4088
  58GS20030922,WedSea,   142,  1,      6,2,20030922, 71.4962,  19.7928,  236,     75.0,   7.6908,  35.1340,2,    273.2,2,     3.42,2,    10.19,2,     0.63,2,    3.960,2,    2.270,2,   2137.1,2,   2314.6,2,  -999.00,9,   7.6834
  58GS20030922,WedSea,   142,  1,      7,2,20030922, 71.4962,  19.7928,  236,     49.0,   8.4253,  34.9880,2,    273.0,2,     2.62,2,     8.21,2,     0.50,2,    4.090,2,    2.340,2,   2135.4,2,   2313.6,2,  -999.00,9,   8.4202
  58GS20030922,WedSea,   142,  1,      8,2,20030922, 71.4962,  19.7928,  236,     31.0,   9.3828,  34.5800,2,    274.2,2,     0.27,2,     1.14,2,     0.10,2,    3.730,2,    2.150,2,   2073.5,2,   2305.2,2,  -999.00,9,   9.3794
  58GS20030922,WedSea,   142,  1,      9,2,20030922, 71.4962,  19.7928,  236,     23.0,   9.3998,  34.5630,2,    274.1,2,     0.20,2,     0.72,2,     0.08,2,    3.470,2,    1.950,2,   2070.5,2,   -999.0,9,  -999.00,9,   9.3973
  58GS20030922,WedSea,   142,  1,     10,2,20030922, 71.4962,  19.7928,  236,     13.0,   9.4033,  34.5590,2,    274.1,2,     0.20,2,     0.68,2,     0.07,2, -999.000,9, -999.000,9,   2067.0,2,   2300.0,2,  -999.00,9,   9.4019
