BOTTLE,20090112PRINUNIVRMKPRINUNIVRMK
# 10/19/07 Initialized README file 
# Data from L.Anderson 1/16/07
# Ship: Oden 
# Cruise: AO-01 Leg 2; transit 
# Dates: 7/17-7/26/2001 
# EXPOCODE: 77DN20010717 
# Region: Arctic ~zonal section on ~88N North of Russia 
# Ch. Sci.:Swedish Polar Res. Secretariate 
# 30 stations  with 12? place Rosette (CTD data at CCHDO) 
# Station called "Mak-1" renamed to #30 
# Hydro: Who - G.Bjork; Status - final 
# 	Notes: See TimmermanS et al., 2005; Bjork et al. 2002. 
# Nuts/O2: Who - ; Status - not measured 
# TA: Who - L.Anderson; Status - final 
# 	Notes:  
# References: 
# Bjork, G., J. Söderkvist, P. Winsor, A. Nikolopoulos and M. Steele, Return of the cold halocline layer to the Amundsen Basin of the Arctic Ocean: Implications for the sea ice mass balance, Geophys. Res. Lett., 29(11), 1513,doi:10.1029/2001GL014157, 2002. 
# Timmermans, M.-L., P. Winsor and J.A. Whitehead, Deep-water flow over the Lomonosov Ridge in the Arctic Ocean, J.Phys.Ocean., 35, 1489-1493, 2005. 
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,SALNTY,SALNTY_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA
,,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,UMOL/KG,,DEGC
  77DN20010717,Arctic,     1,  1, 234101,      9,20010717, 81.2861,  26.3936, 1985,    450.5,   1.4551,  34.9038,2,   2297.4,2,   1.4318
  77DN20010717,Arctic,     1,  1, 234102,      8,20010717, 81.2861,  26.3936, 1985,    400.3,   1.9096,  34.9522,2,   2303.5,2,   1.8875
  77DN20010717,Arctic,     1,  1, 234103,      7,20010717, 81.2861,  26.3936, 1985,    350.7,   2.1175,  34.9551,2,   2303.4,2,   2.0977
  77DN20010717,Arctic,     1,  1, 234104,      6,20010717, 81.2861,  26.3936, 1985,    300.3,   2.2237,  34.9486,2,   2305.1,2,   2.2066
  77DN20010717,Arctic,     1,  1, 234105,      5,20010717, 81.2861,  26.3936, 1985,    250.5,   2.3341,  34.9404,2,   2303.3,2,   2.3197
  77DN20010717,Arctic,     1,  1, 234106,      4,20010717, 81.2861,  26.3936, 1985,    200.6,   2.4602,  34.9384,2,   2302.6,2,   2.4486
  77DN20010717,Arctic,     1,  1, 234107,      3,20010717, 81.2861,  26.3936, 1985,    174.7,   2.5223,  34.9343,2,   2305.6,2,   2.5121
  77DN20010717,Arctic,     1,  1, 234109,      2,20010717, 81.2861,  26.3936, 1985,    124.9,   2.6716,  34.9313,2,   2306.6,2,   2.6642
  77DN20010717,Arctic,     1,  1, 234110,      1,20010717, 81.2861,  26.3936, 1985,    100.4,   2.5189,  34.8892,2,   2302.7,2,   2.5131
  77DN20010717,Arctic,     2,  1, 234117,     18,20010717, 81.4536,  26.6097, 2092,    500.8,   1.5599,  34.9540,2,   2302.4,2,   1.5333
  77DN20010717,Arctic,     2,  1, 234118,     17,20010717, 81.4536,  26.6097, 2092,    399.9,   1.8682,  34.9526,2,   2303.3,2,   1.8463
  77DN20010717,Arctic,     2,  1, 234119,     16,20010717, 81.4536,  26.6097, 2092,    300.2,   2.2657,  34.9575,2,   2305.7,2,   2.2485
  77DN20010717,Arctic,     2,  1, 234120,     15,20010717, 81.4536,  26.6097, 2092,    250.1,   2.2593,  34.9390,2,   2301.6,2,   2.2451
  77DN20010717,Arctic,     2,  1, 234121,     14,20010717, 81.4536,  26.6097, 2092,    200.2,   2.5016,  34.9421,2,   2302.8,2,   2.4899
  77DN20010717,Arctic,     2,  1, 234122,     13,20010717, 81.4536,  26.6097, 2092,    174.8,   2.5598,  34.9337,2,   2300.8,2,   2.5496
  77DN20010717,Arctic,     2,  1, 234123,     12,20010717, 81.4536,  26.6097, 2092,    150.0,   2.6694,  34.9335,2,   2302.2,2,   2.6605
  77DN20010717,Arctic,     2,  1, 234124,     11,20010717, 81.4536,  26.6097, 2092,    125.4,   2.6738,  34.9156,2,   2301.5,2,   2.6664
  77DN20010717,Arctic,     2,  1, 234125,     10,20010717, 81.4536,  26.6097, 2092,    101.6,   2.6034,  34.8851,2,   2301.4,2,   2.5975
  77DN20010717,Arctic,     2,  1, 234126,      9,20010717, 81.4536,  26.6097, 2092,     80.4,   2.3428,  34.8188,2,   2298.0,2,   2.3383
  77DN20010717,Arctic,     2,  1, 234127,      8,20010717, 81.4536,  26.6097, 2092,     70.5,   1.7072,  34.7115,2,   2294.5,2,   1.7037
  77DN20010717,Arctic,     2,  1, 234128,      7,20010717, 81.4536,  26.6097, 2092,     59.6,   1.1874,  34.6028,2,   2287.1,2,   1.1847
  77DN20010717,Arctic,     2,  1, 234129,      6,20010717, 81.4536,  26.6097, 2092,     51.0,   1.1353,  34.5484,2,   2286.3,2,   1.1330
  77DN20010717,Arctic,     2,  1, 234130,      5,20010717, 81.4536,  26.6097, 2092,     41.5,   1.2653,  34.4683,2,   2280.9,2,   1.2634
  77DN20010717,Arctic,     2,  1, 234131,      4,20010717, 81.4536,  26.6097, 2092,     30.8,   0.6054,  34.2426,2,   2268.6,2,   0.6042
  77DN20010717,Arctic,     2,  1, 234132,      3,20010717, 81.4536,  26.6097, 2092,     20.7,  -0.7223,  33.7118,2,   2235.5,2,  -0.7229
  77DN20010717,Arctic,     2,  1, 234133,      2,20010717, 81.4536,  26.6097, 2092,     10.7,  -0.9727,  32.4243,2,   2151.5,2,  -0.9729
  77DN20010717,Arctic,     2,  1, 234134,      1,20010717, 81.4536,  26.6097, 2092,      4.6,  -0.9724,  32.2062,2,   2138.9,2,  -0.9725
  77DN20010717,Arctic,     3,  1, 234141,     18,20010717, 81.5392,  26.6753, 3315,    499.7,   1.4555,  34.9341,2,   2299.5,2,   1.4294
  77DN20010717,Arctic,     3,  1, 234142,     17,20010717, 81.5392,  26.6753, 3315,    400.9,   1.8938,  34.9577,2,   2303.0,2,   1.8717
  77DN20010717,Arctic,     3,  1, 234143,     16,20010717, 81.5392,  26.6753, 3315,    300.0,   2.1898,  34.9601,2,   2303.2,2,   2.1728
  77DN20010717,Arctic,     3,  1, 234144,     15,20010717, 81.5392,  26.6753, 3315,    249.9,   2.0907,  34.9266,2,   2301.4,2,   2.0769
  77DN20010717,Arctic,     3,  1, 234145,     14,20010717, 81.5392,  26.6753, 3315,    201.0,   2.2088,  34.9158,2,   2303.6,2,   2.1976
  77DN20010717,Arctic,     3,  1, 234146,     13,20010717, 81.5392,  26.6753, 3315,    175.1,   2.4575,  34.9270,2,   2302.9,2,   2.4474
  77DN20010717,Arctic,     3,  1, 234147,     12,20010717, 81.5392,  26.6753, 3315,    150.5,   2.5611,  34.9268,2,   2303.3,2,   2.5523
  77DN20010717,Arctic,     3,  1, 234148,     11,20010717, 81.5392,  26.6753, 3315,    124.6,   2.2552,  34.8762,2,   2300.4,2,   2.2483
  77DN20010717,Arctic,     3,  1, 234149,     10,20010717, 81.5392,  26.6753, 3315,    100.6,   1.4310,  34.7469,2,   2290.7,2,   1.4261
  77DN20010717,Arctic,     3,  1, 234150,      9,20010717, 81.5392,  26.6753, 3315,     80.3,   1.5851,  34.7305,2,   2295.6,2,   1.5811
  77DN20010717,Arctic,     3,  1, 234151,      8,20010717, 81.5392,  26.6753, 3315,     70.9,   1.4207,  34.6865,2,   2291.1,2,   1.4173
  77DN20010717,Arctic,     3,  1, 234152,      7,20010717, 81.5392,  26.6753, 3315,     60.2,   0.9554,  34.6166,2,   2295.1,2,   0.9528
  77DN20010717,Arctic,     3,  1, 234153,      6,20010717, 81.5392,  26.6753, 3315,     51.0,  -0.4053,  34.4467,2,   2276.0,2,  -0.4069
  77DN20010717,Arctic,     3,  1, 234154,      5,20010717, 81.5392,  26.6753, 3315,     39.9,  -0.8892,  34.3015,2,   2274.1,2,  -0.8903
  77DN20010717,Arctic,     3,  1, 234155,      4,20010717, 81.5392,  26.6753, 3315,     30.5,  -1.1521,  34.1536,2,   2264.1,2,  -1.1528
  77DN20010717,Arctic,     3,  1, 234156,      3,20010717, 81.5392,  26.6753, 3315,     20.7,  -1.2933,  33.9506,2,   2256.6,2,  -1.2938
  77DN20010717,Arctic,     3,  1, 234157,      2,20010717, 81.5392,  26.6753, 3315,      9.8,  -0.9811,  33.6034,2,   2221.6,2,  -0.9813
  77DN20010717,Arctic,     3,  1, 234158,      1,20010717, 81.5392,  26.6753, 3315,      2.3,  -0.9139,  32.3301,2,   2146.1,2,  -0.9140
  77DN20010717,Arctic,     4,  1, 234165,     17,20010717, 81.6106,  26.9800, 3315,    500.6,   1.3955,  34.9370,2,   2303.9,2,   1.3696
  77DN20010717,Arctic,     4,  1, 234166,     16,20010717, 81.6106,  26.9800, 3315,    400.4,   1.8344,  34.9508,2,   2306.4,2,   1.8126
  77DN20010717,Arctic,     4,  1, 234167,     15,20010717, 81.6106,  26.9800, 3315,    300.6,   1.9891,  34.9396,2,   2304.7,2,   1.9726
  77DN20010717,Arctic,     4,  1, 234168,     14,20010717, 81.6106,  26.9800, 3315,    250.3,   2.0498,  34.9286,2,   2305.3,2,   2.0360
  77DN20010717,Arctic,     4,  1, 234169,     13,20010717, 81.6106,  26.9800, 3315,    175.3,   2.2423,  34.9209,2,   2304.0,2,   2.2325
  77DN20010717,Arctic,     4,  1, 234170,     12,20010717, 81.6106,  26.9800, 3315,    150.8,   2.2930,  34.9099,2,   2303.6,2,   2.2845
  77DN20010717,Arctic,     4,  1, 234171,     11,20010717, 81.6106,  26.9800, 3315,    125.1,   2.1381,  34.8686,2,   2293.5,2,   2.1313
  77DN20010717,Arctic,     4,  1, 234172,     10,20010717, 81.6106,  26.9800, 3315,    100.5,   1.9666,  34.8288,2,   2303.9,2,   1.9613
  77DN20010717,Arctic,     4,  1, 234173,      9,20010717, 81.6106,  26.9800, 3315,     80.0,   1.5430,  34.7362,2,   2293.6,2,   1.5391
  77DN20010717,Arctic,     4,  1, 234174,      8,20010717, 81.6106,  26.9800, 3315,     59.8,   0.7462,  34.5902,2,   2285.2,2,   0.7437
  77DN20010717,Arctic,     4,  1, 234175,      7,20010717, 81.6106,  26.9800, 3315,     50.4,   0.1412,  34.4530,2,   2281.3,2,   0.1394
  77DN20010717,Arctic,     4,  1, 234176,      6,20010717, 81.6106,  26.9800, 3315,     40.6,  -1.2800,  34.2381,2,   2268.4,2,  -1.2810
  77DN20010717,Arctic,     4,  1, 234177,      5,20010717, 81.6106,  26.9800, 3315,     30.4,  -1.5704,  34.0582,2,   2253.0,2,  -1.5710
  77DN20010717,Arctic,     4,  1, 234178,      4,20010717, 81.6106,  26.9800, 3315,     20.2,  -1.4928,  33.9565,2,   2244.2,2,  -1.4932
  77DN20010717,Arctic,     4,  1, 234179,      3,20010717, 81.6106,  26.9800, 3315,     10.8,  -1.3407,  33.6289,2,   2227.4,2,  -1.3409
  77DN20010717,Arctic,     4,  1, 234180,      2,20010717, 81.6106,  26.9800, 3315,      5.3,  -1.3708,  32.8864,2,   2177.6,2,  -1.3709
  77DN20010717,Arctic,     4,  1, 234181,      1,20010717, 81.6106,  26.9800, 3315,      5.3,  -1.3801,  32.8680,2,   2176.8,2,  -1.3802
  77DN20010717,Arctic,     5,  1, 234189,     18,20010717, 81.6697,  26.9089, 3315,    500.3,   1.4885,  34.9421,2,   2299.4,2,   1.4622
  77DN20010717,Arctic,     5,  1, 234190,     17,20010717, 81.6697,  26.9089, 3315,    400.8,   1.7453,  34.9429,2,   2301.6,2,   1.7237
  77DN20010717,Arctic,     5,  1, 234191,     16,20010717, 81.6697,  26.9089, 3315,    300.7,   1.9790,  34.9378,2,   2300.2,2,   1.9625
  77DN20010717,Arctic,     5,  1, 234192,     15,20010717, 81.6697,  26.9089, 3315,    250.3,   2.0925,  34.9300,2,   2305.1,2,   2.0787
  77DN20010717,Arctic,     5,  1, 234193,     14,20010717, 81.6697,  26.9089, 3315,    200.2,   2.1460,  34.9187,2,   2306.0,2,   2.1349
