BOTTLE,20150522PRINUNIVRMK
# Data source: S.Lauvset 3/18/14 
# SHIP: G. O. Sars 
# Region: Greenland Sea and Norwegian Sea 
# EXPOCODE: 58GS20130717 
# DATES: July 17-July 30 2013 
# Chief Scientist: Siv K. Lauvset 
# 83 stations with 12 place Rosette. 46 with chemistry sampling; the remaining CTD profiling only.; 
# Note that the ship gives a new cruise number to every CTD cast even when they are at the same position 
# This cruise was financed by the E.U. funded CarboChange program 
# Hydro: Who - ; Status -  
#       Notes: CTD_Salt problematic 
#       CTDSAL; Who Siv K. Lauvset ; Status: final 
#       Notes: Very few bottle samples for salinity.  The ctdsalinity looks to be a bit high, but this is a very dynamic reg
# Oxygen: Who: Mirjam Glessmer; Status: Only CTD data 
#       Notes: Instrument failure.  The CTD values for oxygen seems to be 10% low when compared to historical data  
#               (even accounting for the observed oxygen trend in the region).  This bias is depth independent 
# Nutrients: Who Linda Fonnes (IMR); Status: final 
#       Notes: Sampled onboard, poisoned with chloroform, refrigerated, analysed on land.
#       PO4 seems to be high by 10% compared to historical cruises.  
# TCO2: Who Siv K. Lauvset ; Status: final 
#       Notes: We used the ctdsal when analysing TCO2 onboard and have not corrected the measurements for the -0.002 correct
#               applied to the ctdsal after the cruise 
# TA: Who: Siv K. Lauvset ; Status: final 
#       Notes: See TCO2 
# CFC: Who: Emil Jeansson ; Status: no data 
#       Notes: Instrument failure 
# C14: Who R.Key&A.McNichol; Status: final 
#       Notes: Sampled onbard,  poisoned with HgCl2
# C13: Who Dominic Clement, Marie Eide, Benjamin Pfeil, Jerry Tjiputra (water sampling), Are Olsen; Status: final
#       Notes: Sampled onboard, poisoned with HgCl2, analysed on land
# Other:  
EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,DELC13,DELC13_FLAG_W
,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,/MILLE,,/MILLE,/MILLE,
  58GS20130717,   75N,280,1,1,2,20130720,641,75,-12,1680,1670,-0.742,34.918,2,275.5,2,11.98,2,14.61,2,0.02,2,1.08,2,2163.7,2,2300.2,2,-999,9,-999,1.08,2
  58GS20130717,   75N,280,1,2,2,20130720,641,75,-12,1680,1670,-0.742,34.918,2,275,2,11.99,2,14.66,2,0.04,2,1.13,2,2165.3,2,2299.4,2,-999,9,-999,1.08,2
  58GS20130717,   75N,280,1,3,2,20130720,641,75,-12,1680,1498,-0.628,34.918,2,278.5,2,10.92,2,14.27,2,0.03,2,1.04,2,2166,2,2303.3,2,-999,9,-999,1.01,2
  58GS20130717,   75N,280,1,4,2,20130720,641,75,-12,1680,998,-0.361,34.918,2,296.8,2,7.52,2,13.06,2,0.04,2,0.98,2,2169.9,2,2313.3,3,-999,9,-999,0.86,2
  58GS20130717,   75N,280,1,5,2,20130720,641,75,-12,1680,798,-0.03,34.938,2,300.5,2,6.72,2,12.59,2,0.02,2,0.94,2,2169,2,2299.6,2,-999,9,-999,0.83,2
  58GS20130717,   75N,280,1,6,2,20130720,641,75,-12,1680,498,0.244,-999,9,-999,9,6.79,2,12.54,2,0.04,2,0.93,2,-999,9,-999,9,-999,9,-999,-999,2
  58GS20130717,   75N,280,1,7,2,20130720,641,75,-12,1680,298,0.905,34.963,2,292.4,2,6.15,2,11.84,2,0.14,2,0.9,2,2158.8,2,2302.4,2,-999,9,-999,0.73,2
  58GS20130717,   75N,280,1,8,2,20130720,641,75,-12,1680,98,1.278,-999,9,-999,9,4.85,2,6.56,2,0.12,2,0.71,2,-999,9,-999,9,-999,9,-999,-999,2
  58GS20130717,   75N,280,1,9,2,20130720,641,75,-12,1680,48,0.447,34.264,2,337,2,4.44,2,4.82,2,0.08,2,0.61,2,2125.8,2,2289.6,2,-999,9,-999,1.13,2
  58GS20130717,   75N,280,1,10,2,20130720,641,75,-12,1680,28,0.377,33.714,2,389.8,2,4.11,2,2.96,2,0.06,2,0.5,2,2101.6,2,2275.4,2,-999,9,-999,1.28,2
