BOTTLE,20180917PRINUNIVRMK
# processed by CCHDO on 2020-12-09, no changes
# README intialized 6/11/13, Are Olsen 
# Helmer Hansen cruise, IMR, to Arctic  2012 
# EXPOCODE: 58HJ20120807 
# DATES 7/8 - 17/8 2012 
# Longyearbyen - Arctic Ocean - north of Svalbard 
# 39 stations with 12 place rosette 
# Note that original staion 605b has been renamed to 606  
# Chief Scientist Øystein Skagseth, Institute of Marine Research, Bergen, Norway. 
# Hydro: Who - Øystein Skagseth; IMR, Bergen, Norway; Status -final 
# 	SEABIRD 911. Upcast data corrected towards bottle salinity values, measured at a PORTASAL 
# 	Station 606 and 607 salinity sensor was not preforming well  
# Nuts: Who - Linda Fonnes Lunde, Institute of Marine Research, Bergen, Norway; Status -final  
# 	Autoanalyser  
# 	QUASIMEME calibration program. 
# O2: Who - Marianne Petersen, Institute of Marine Research, Bergen, Norway; Status -final 
# 	Winkler titration of bottle samples with visual end point detection.  
# 	Converted to umol/kg by using factor 44.66 and density from theta and in situ salinity.	 
# TCO2: Who -  Are Olsen, Univ. Bergen, Norway; Status -final  
# 	Samples preserved with HgCl2 and measured in the lab December 2012 over three days using a VINDTA CT system with colometric end point detection. 
# 	CRM batch 116 & 113. The values were corrected using one correction factor for each day,  
#         based on the average value of CRM analyzed at the start and end of each cell.  
# 	The correction corresponded to 5-8 umol/kg.  
# 	Precision evaluated from the two CRMs analysed each day, better than 2 umol/kg 
# TA: Who - Are Olsen, Univ. Bergen, Norway; Status -final  
# 	Analysed on water left over from CT analyses using Gran titration on a VINDTA system, this took 4 days of December 2012. 
# 	The titrations were carried out before final salinity data were ready and salinity == 35 was assumed.  
# 	The TA, reported here, was recalculated from the titration data when final salinty values became available.	 
# 	CRM batch 116 & 113 used. Corrections corresponded to around 20 umol/kg. 
# 	Precision evaluated from the two CRMS measured each day, better that 2 umol/kg. 
# delta18O: Who - G. G. Hatch Stable Isotope Laboratory, Univ Ottowa, Canada: Status - final 
# 	The analysis are performed on an Isotope Ratio Mass Spectrometer (irms) Delta Plus XP (Thermo, Germany) interfaced with a GasBench II. 
# 	Reference: equilibration method  from Thermo Finnigan Application Flash report 30 and 32.   
# 	See also chapter 5 of operating manual of GasBench II Revison A 111 8342 from Thermo Finnigan. 		 
EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,CHLORA,CHLORA_FLAG_W,PPHYTN,PPHYTN_FLAG_W,DELO18,DELO18_FLAG_W
,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UG/KG,,UG/KG,,/MILLE,
  58HJ20120807,Arctic,   580,  1,      1,2,20120808,0940, 80.9193,  29.9967,  141,    142.5,   0.1132,  34.5815,2,    325.0,2,     4.42,2,     9.28,2,     0.16,2,     0.79,2,   -999.0,5,   2285.4,2,  -999.00,9,  -999.00,9,     0.64,2
  58HJ20120807,Arctic,   580,  1,      2,2,20120808,0940, 80.9193,  29.9967,  141,    126.8,   0.1092,  34.5811,2,    324.6,2,     4.39,2,     9.29,2,     0.15,2,     0.80,2,   2156.5,2,   2296.6,2,  -999.00,9,  -999.00,9,     0.02,2
  58HJ20120807,Arctic,   580,  1,      3,2,20120808,0940, 80.9193,  29.9967,  141,     98.3,   0.0054,  34.5576,2,    324.6,2,     4.11,2,     9.21,2,     0.16,2,     0.78,2,   2154.5,2,   2297.6,2,     0.02,2,     0.07,2,    -0.11,2
  58HJ20120807,Arctic,   580,  1,      4,2,20120808,0940, 80.9193,  29.9967,  141,     73.9,  -0.1420,  34.5042,2,    325.5,2,     3.78,2,     8.90,2,     0.17,2,     0.76,2,   2149.4,2,   2289.0,2,     0.04,2,     0.12,2,    -0.19,2
  58HJ20120807,Arctic,   580,  1,      5,2,20120808,0940, 80.9193,  29.9967,  141,     48.3,  -0.1981,  34.3559,2,    347.7,2,     1.53,2,     5.83,2,     0.14,2,     0.60,2,   2126.8,2,   2285.2,2,     0.13,2,     0.15,2,    -0.11,2
  58HJ20120807,Arctic,   580,  1,      6,2,20120808,0940, 80.9193,  29.9967,  141,     28.5,   1.3259,  34.1223,2,    368.6,2,     0.58,2,     1.62,2,     0.06,2,     0.29,2,   2074.5,2,   2264.1,2,     0.63,2,     0.18,2,    -0.11,2
  58HJ20120807,Arctic,   580,  1,      7,2,20120808,0940, 80.9193,  29.9967,  141,     18.8,   1.9103,  33.8515,2,    366.6,2,     0.45,2,     0.28,2,     0.03,2,     0.17,2,   2050.7,2,   2263.2,2,     0.38,2,     0.13,2,    -0.13,2
  58HJ20120807,Arctic,   580,  1,      8,2,20120808,0940, 80.9193,  29.9967,  141,     10.4,   2.1352,  33.8239,2,    350.1,2,     0.34,2,     0.13,2,     0.01,2,     0.14,2,   2045.3,2,   2250.8,2,     0.50,2,     0.26,2,     0.08,2
  58HJ20120807,Arctic,   580,  1,      9,2,20120808,0940, 80.9193,  29.9967,  141,      3.9,   2.1549,  33.8236,2,    348.8,2,     0.34,2,     0.10,2,     0.01,2,     0.13,2,   2045.9,2,   2261.2,2,     0.25,2,     0.16,2,    -0.01,2
