BOTTLE,20180419PRINUNIVRMK
# processed by CCHDO on 2021-02-19, no changes
# 03/19/2018 Initialized README file  
# Data source: J.Jackson 8/29/17  
# SHIP: R/V Knorr 
# Cruise:  
# Region: Davis Strait 
# EXPOCODE:316N20100804 
# DATES: 20100804 - 2010XXYY 
# Chief Scientist: Craig Lee 
# 114 stations with 24 place Rosette 
# CTD: Who - B. Petrie; Status - final 
# 	Includes: CTDSAL, CTDOXY 
# 	Temperature data are IPTS-68  
# 	CTDSAL are pSS-78   
# 	CTDOXY are noisy. Difficult to know if real or instrumental 
# 		see, or example Sta 21:30 
# SALNTY: Who - ; Status -  
# 	Notes: 	no data in file 
# Nutrients: Who - K.Azetsu-Scott; Status - final   
#  	Includes: ammonium 
# 	Data are noisy. QC difficult 
# OXYGEN: Who - ; Status - 
# 	Notes: no data in file 
# TCARBN: Who - K.Azetsu-Scott; Status - final 
# 	Notes: 	Data are noisy. QC difficult 
# ALKALI: Who - K.Azetsu-Scott; Status - final 
# 	Notes: Data are noisy. QC difficult 
# O-18: Who - K.Azetsu-Scott; Status - final 
# 	Notes:  
# These data should be cited as: 
# References that have used data from this cruise: 
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,NH4,NH4_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,DELO18,DELO18_FLAG_W,BTL_DATE,BTL_TIME
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,/MILLE,,,
  316N20100804, Davis,     1,  1, 361251,      1,2,20100908,0704, 67.3170, -53.9520,   29,     27.0,   5.6384,  31.6436,2,    294.4,2,     3.29,2,     2.16,2,     0.27,2,     0.49,2,     1.99,2,   1985.2,2,   2091.8,2,    -2.38,2, 20100908,      704
  316N20100804, Davis,     1,  1, 361252,      2,2,20100908,0704, 67.3170, -53.9520,   29,     20.9,   5.6291,  31.6420,2,    294.8,2,     3.12,2,     2.08,2,     0.25,2,     0.44,2,     1.88,2,   2002.2,2,   2087.0,2,    -1.93,2, 20100908,      704
  316N20100804, Davis,     1,  1, 361253,      3,2,20100908,0704, 67.3170, -53.9520,   29,      3.0,   5.5772,  31.6341,2,    295.6,2,     3.26,2,     2.13,2,     0.26,2,     0.46,2,     1.92,2,   2024.6,2,   2091.6,2,    -1.76,2, 20100908,      704
  316N20100804, Davis,     2,  1, 361254,      1,2,20100908,0826, 67.2610, -54.4840,   53,     50.3,   6.5999,  31.8843,2,    277.9,2,     2.94,2,     1.60,2,     0.21,2,     0.43,2,     2.27,2,   1991.9,2,   2111.7,2,    -1.46,2, 20100908,      826
  316N20100804, Davis,     2,  1, 361256,      3,2,20100908,0826, 67.2610, -54.4840,   53,     20.2,   6.5182,  31.5309,2,    289.6,2,     2.32,2,     1.29,2,     0.20,2,     0.34,2,     1.56,2,   1970.9,2,   2082.0,2,    -2.12,2, 20100908,      826
  316N20100804, Davis,     2,  1, 361257,      4,2,20100908,0826, 67.2610, -54.4840,   53,     10.4,   6.3303,  31.4334,2,    294.2,2,     2.43,2,     1.30,2,     0.20,2,     0.33,2,     1.32,2,   -999.0,9,   -999.0,9,  -999.00,9, 20100908,      826
  316N20100804, Davis,     2,  1, 361258,      5,2,20100908,0826, 67.2610, -54.4840,   53,      2.4,   6.3263,  31.4315,2,    293.6,2,     2.36,2,     1.29,2,     0.19,2,     0.32,2,     1.26,2,   1957.1,2,   2127.6,2,    -1.72,2, 20100908,      826
  316N20100804, Davis,     3,  1, 361259,      1,2,20100908,1024, 67.2310, -54.8630,   59,     54.6,   5.8416,  32.5151,2,    284.4,2,     2.44,2,     1.84,2,     0.21,2,     0.42,2,     1.73,2,   2040.6,2,   2152.1,2,    -0.94,2, 20100908,     1024
  316N20100804, Davis,     3,  1, 361260,      2,2,20100908,1024, 67.2310, -54.8630,   59,     31.0,   6.4523,  32.1259,2,    280.4,2,     2.46,2,     1.70,2,     0.19,2,     0.40,2,     1.78,2,   -999.0,9,   -999.0,9,  -999.00,9, 20100908,     1024
