BOTTLE,20181001PRINUNIVRMK
# processed by CCHDO on 2021-02-24, no changes
# 04/20/2018 Initialized README file   
# Data source: J.Jackson 8/29/17   
# SHIP: R/V Knorr  
# Cruise:   
# Region: Davis Strait  
# EXPOCODE:316N20130914  
# DATES: 20130914 - 201309YY  
# Chief Scientist: Craig Lee  
# 82 stations with 24 place Rosette  
# CTD: Who - B. Petrie; Status - final  
# 	Includes: CTDSAL, CTDOXY  
# 	Temperature data are IPTS-68   
# 	CTDSAL are pSS-78    
# Nutrients: Who - K.Azetsu-Scott; Status - final    
#  	Notes: includes ammonium  
# OXYGEN: Who - K.Azetsu-Scott; Status - final  
# 	Notes:  includes some very strange results (relative to CTDOXY) 
# TCARBN: Who - K.Azetsu-Scott; Status - final  
# 	Notes: 	  
# ALKALI: Who - K.Azetsu-Scott; Status - final  
# 	Notes:   
# O-18: Who - K.Azetsu-Scott; Status - final  
# 	Notes:   
# These data should be cited as:  
# References that have used data from this cruise:  
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,NH4,NH4_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,DELO18,DELO18_FLAG_W,BTL_DATE,BTL_TIME
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,/MILLE,,,
  316N20130914, Davis,     1,  1, 391501,      1,2,20130915,0737, 67.3172, -53.9487,   35,     25.1,   4.5497,  32.7332,2,    280.9,2,   -999.0,9,     1.55,2,     1.22,2,     0.08,2,     0.42,2,     1.36,2,   2028.6,2,   2178.3,2,    -1.09,2, 20130915,      737
  316N20130914, Davis,     1,  1, 391502,      2,2,20130915,0737, 67.3172, -53.9487,   35,     19.9,   4.5501,  32.7227,2,    281.0,2,   -999.0,9,     1.68,2,     1.30,2,     0.08,2,     0.42,2,     1.48,2,   2030.6,2,   2176.5,2,    -1.08,2, 20130915,      737
  316N20130914, Davis,     1,  1, 391503,      3,2,20130915,0737, 67.3172, -53.9487,   35,      9.8,   4.5392,  32.6802,2,    281.3,2,    309.0,2,     1.68,2,     1.34,2,     0.09,2,     0.45,2,     1.54,2,   2029.4,2,   2178.3,2,    -1.05,2, 20130915,      737
  316N20130914, Davis,     1,  1, 391504,      4,2,20130915,0737, 67.3172, -53.9487,   35,      4.9,   4.5345,  32.6685,2,    281.3,2,    309.0,2,     1.51,2,     1.06,2,     0.08,2,     0.40,2,     1.35,2,   2026.4,2,   2173.3,2,    -1.10,2, 20130915,      737
  316N20130914, Davis,     1,  1, 391505,      5,2,20130915,0737, 67.3172, -53.9487,   35,      3.0,   4.5183,  32.6505,2,    281.3,2,    309.7,2,     1.57,2,     1.12,2,     0.09,2,     0.39,2,     1.38,2,   2024.0,2,   2171.1,2,    -1.11,2, 20130915,      737
  316N20130914, Davis,     2,  1, 391506,      1,2,20130915,0915, 67.2637, -54.4835,   67,     56.8,   4.6464,  33.0374,2,    275.1,2,    303.1,2,     1.70,2,     1.00,2,     0.07,2,     0.42,2,     1.65,2,   2046.0,2,   2207.9,2,    -0.89,2, 20130915,      915
  316N20130914, Davis,     2,  1, 391507,      2,2,20130915,0915, 67.2637, -54.4835,   67,     30.9,   4.6292,  33.0206,2,    277.3,2,    305.1,2,     1.62,2,     1.03,2,     0.07,2,     0.40,2,     1.48,2,   2047.2,2,   2194.5,2,    -0.88,2, 20130915,      915
  316N20130914, Davis,     2,  1, 391508,      3,2,20130915,0915, 67.2637, -54.4835,   67,     20.7,   4.5855,  33.0032,2,    279.8,2,    307.4,2,     1.48,2,     1.31,2,     0.07,2,     0.37,2,     1.35,2,   2043.1,2,   2199.6,2,    -0.89,2, 20130915,      915
  316N20130914, Davis,     2,  1, 391509,      4,2,20130915,0915, 67.2637, -54.4835,   67,     10.7,   4.5110,  32.9781,2,    282.6,2,    311.6,2,     1.44,2,     1.47,2,     0.09,2,     0.39,2,     1.58,2,   2038.8,2,   2200.6,2,    -0.95,2, 20130915,      915
  316N20130914, Davis,     2,  1, 391510,      5,2,20130915,0915, 67.2637, -54.4835,   67,      5.9,   4.5078,  32.9761,2,    283.0,2,    312.3,2,     1.46,2,     0.84,2,     0.07,2,     0.39,2,     1.07,2,   2042.0,2,   2193.9,2,    -0.89,2, 20130915,      915
  316N20130914, Davis,     2,  1, 391511,      6,2,20130915,0915, 67.2637, -54.4835,   67,      2.8,   4.5022,  32.9772,2,    283.2,2,    310.9,2,     1.34,2,     0.73,2,     0.08,2,     0.38,2,     1.08,2,   2040.5,2,   2196.2,2,    -0.89,2, 20130915,      915
  316N20130914, Davis,     3,  1, 391512,      1,2,20130916,0215, 67.2292, -54.8657,   61,     51.4,   4.7351,  33.0734,2,    282.6,2,    303.6,2,     1.55,2,     1.29,2,     0.08,2,     0.37,2,     1.23,2,   2045.8,2,   2196.5,2,    -0.88,2, 20130916,      215
  316N20130914, Davis,     3,  1, 391513,      2,2,20130916,0215, 67.2292, -54.8657,   61,     31.1,   4.7293,  33.0702,2,    283.4,2,    306.1,2,     1.42,2,     1.14,2,     0.07,2,     0.35,2,     1.12,2,   2047.3,2,   2196.9,2,    -0.84,2, 20130916,      215
  316N20130914, Davis,     3,  1, 391514,      3,2,20130916,0215, 67.2292, -54.8657,   61,     21.3,   4.6602,  33.0367,2,    285.5,2,    308.2,2,     1.29,2,     2.82,2,     0.06,2,     0.35,2,      1.1,2,   2045.5,2,   2193.7,2,    -0.82,2, 20130916,      215
  316N20130914, Davis,     3,  1, 391515,      4,2,20130916,0215, 67.2292, -54.8657,   61,     11.4,   4.5849,  33.0008,2,    286.1,2,    309.8,2,     1.47,2,     1.17,2,     0.07,2,     0.37,2,     1.05,2,   2042.8,2,   2194.9,2,    -0.87,2, 20130916,      215
  316N20130914, Davis,     3,  1, 391516,      5,2,20130916,0215, 67.2292, -54.8657,   61,      6.2,   4.5802,  32.9988,2,    286.1,2,    308.9,2,     1.48,2,     1.96,2,     0.07,2,     0.35,2,     1.17,2,   2040.3,2,   2199.5,2,    -0.87,2, 20130916,      215
  316N20130914, Davis,     3,  1, 391517,      6,2,20130916,0215, 67.2292, -54.8657,   61,      2.4,   4.5780,  32.9985,2,    286.0,2,    308.9,2,     1.14,2,     0.62,2,     0.07,2,     0.33,2,     1.27,2,   2042.0,2,   2200.0,2,    -0.92,2, 20130916,      215
  316N20130914, Davis,     4,  1, 391518,      1,2,20130916,0346, 67.1937, -55.3183,   81,     71.4,   4.4007,  33.1551,2,    281.0,2,    304.2,2,     2.05,2,     2.31,2,     0.13,2,     0.42,2,     1.82,2,   2056.7,2,   2216.0,2,    -0.73,2, 20130916,      346
  316N20130914, Davis,     4,  1, 391519,      2,2,20130916,0346, 67.1937, -55.3183,   81,     51.3,   4.4296,  33.1195,2,    283.4,2,    306.1,2,     1.92,2,     2.79,2,     0.13,2,     0.40,2,     1.66,2,   2052.3,2,   2215.5,2,    -0.75,2, 20130916,      346
  316N20130914, Davis,     4,  1, 391520,      3,2,20130916,0346, 67.1937, -55.3183,   81,     31.3,   4.4761,  33.0524,2,    287.1,2,    310.3,2,     1.37,2,     1.45,2,     0.11,2,     0.36,2,      1.1,2,   2043.7,2,   2201.6,2,  -999.00,9, 20130916,      346
  316N20130914, Davis,     4,  1, 391521,      4,2,20130916,0346, 67.1937, -55.3183,   81,     21.5,   4.4896,  33.0271,2,    289.0,2,    313.0,2,     1.47,2,     1.58,2,     0.10,2,     0.49,2,     0.99,2,   2040.3,2,   2198.9,2,    -0.84,2, 20130916,      346
  316N20130914, Davis,     4,  1, 391522,      5,2,20130916,0346, 67.1937, -55.3183,   81,     11.3,   4.4805,  33.0230,2,    289.1,2,    312.5,2,     1.29,2,     1.54,2,     0.10,2,     0.35,2,     0.99,2,   2042.2,2,   2191.9,2,    -0.84,2, 20130916,      346
  316N20130914, Davis,     4,  1, 391523,      6,2,20130916,0346, 67.1937, -55.3183,   81,      6.4,   4.4804,  33.0233,2,    288.8,2,    312.6,2,     1.46,2,     1.87,2,     0.10,2,     0.35,2,     1.12,2,   2037.1,2,   2200.7,2,    -0.84,2, 20130916,      346
  316N20130914, Davis,     4,  1, 391524,      7,2,20130916,0346, 67.1937, -55.3183,   81,      2.7,   4.4805,  33.0231,2,    289.0,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9,  -999.00,9, 20130916,      346
  316N20130914, Davis,     5,  1, 391525,      1,2,20130916,0521, 67.1608, -55.8220,  123,    113.1,   3.3200,  33.4845,2,    280.4,2,   -999.0,9,     3.37,2,     3.94,2,     0.35,2,     0.63,2,     1.64,2,   2087.9,2,   2236.4,2,    -0.51,2, 20130916,      521
  316N20130914, Davis,     5,  1, 391526,      2,2,20130916,0521, 67.1608, -55.8220,  123,     51.7,   3.9891,  33.1892,2,    286.8,2,   -999.0,9,     2.50,2,     2.84,2,     0.15,2,     0.50,2,     2.52,2,   2055.3,2,   2213.5,2,    -0.62,2, 20130916,      521
  316N20130914, Davis,     5,  1, 391527,      3,2,20130916,0521, 67.1608, -55.8220,  123,     31.7,   4.1024,  33.0940,2,    290.2,2,   -999.0,9,     2.06,2,     1.34,2,     0.11,2,     0.42,2,     1.93,2,   2045.6,2,   2212.2,2,    -0.71,2, 20130916,      521
