BOTTLE,20181001PRINUNIVRMK
# processed by CCHDO on 2021-04-05, no processing
# 09/20/2018 Initialized README file   
# Data source: J.Jackson 8/29/17   
# SHIP: R/V Knorr  
# Cruise:   
# Region: Davis Strait  
# EXPOCODE:316N20150906  
# DATES: 20150906 - 201509XX  
# Chief Scientist: Craig Lee  
# 57 stations with 24 place Rosette  
# CTD: Who - B. Petrie; Status - final  
# 	Includes: CTDSAL, CTDOXY  
# 	Temperature data are IPTS-68   
# 	CTDSAL are pSS-78    
# TCARBN: Who - K.Azetsu-Scott; Status - final  
# 	Notes: 	  
# ALKALI: Who - K.Azetsu-Scott; Status - final  
# 	Notes:   
# CFC: Who - K.Azetsu-Scott; Status - final  
# 	Notes: includes 12 and SF6 
# These data should be cited as:  
# References that have used data from this cruise:  
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,BTL_DATE,BTL_TIME
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG,,,
  316N20150906, Davis,     1,  1, 412501,      1,2,20150908,1627, 68.8533, -52.7415,  673,    663.0,   3.6526,  34.4607,2,    254.8,2, -999.000,9,     -999,9,   2170.0,2,   2275.7,2, 20150908,     1627
  316N20150906, Davis,     1,  1, 412502,      2,2,20150908,1627, 68.8533, -52.7415,  673,    405.0,   3.4945,  34.4155,2,    254.7,2, -999.000,9,     -999,9,   2164.2,2,   2275.3,2, 20150908,     1627
  316N20150906, Davis,     1,  1, 412503,      3,2,20150908,1627, 68.8533, -52.7415,  673,    202.6,   2.2516,  34.0595,2,    263.6,2, -999.000,9,     -999,9,   2157.6,2,   2254.4,2, 20150908,     1627
  316N20150906, Davis,     1,  1, 412504,      4,2,20150908,1627, 68.8533, -52.7415,  673,    101.6,   1.8528,  33.7011,2,    306.4,2, -999.000,9,     -999,9,   2111.4,2,   2245.5,2, 20150908,     1627
  316N20150906, Davis,     1,  1, 412505,      5,2,20150908,1627, 68.8533, -52.7415,  673,     51.5,   3.3400,  33.5603,2,    310.5,2, -999.000,9,     -999,9,   2089.2,2,   2241.1,2, 20150908,     1627
  316N20150906, Davis,     1,  1, 412506,      6,2,20150908,1627, 68.8533, -52.7415,  673,     26.3,   4.1182,  33.4447,2,    311.5,2, -999.000,9,     -999,9,   2074.0,2,   2226.5,2, 20150908,     1627
  316N20150906, Davis,     1,  1, 412507,      7,2,20150908,1627, 68.8533, -52.7415,  673,      2.2,   4.6989,  33.3199,2,    313.0,2, -999.000,9,     -999,9,   2064.3,2,   2240.9,2, 20150908,     1627
  316N20150906, Davis,     2,  1, 412508,      1,2,20150908,1832, 68.9773, -52.8250,  256,    254.2,   2.8988,  34.2480,2,    250.2,2, -999.000,9,     -999,9,   2168.0,2,   2264.4,2, 20150908,     1832
  316N20150906, Davis,     2,  1, 412509,      2,2,20150908,1832, 68.9773, -52.8250,  256,    101.7,   1.1773,  33.7055,2,    282.2,2, -999.000,9,     -999,9,   2131.6,2,   2239.7,2, 20150908,     1832
  316N20150906, Davis,     2,  1, 412510,      3,2,20150908,1832, 68.9773, -52.8250,  256,     81.9,   1.1616,  33.6480,2,    291.8,2, -999.000,9,     -999,9,   -999.0,9,   -999.0,9, 20150908,     1832
  316N20150906, Davis,     2,  1, 412511,      4,2,20150908,1832, 68.9773, -52.8250,  256,     61.9,   1.3032,  33.5829,2,    304.0,2, -999.000,9,     -999,9,   -999.0,9,   -999.0,9, 20150908,     1832
  316N20150906, Davis,     2,  1, 412512,      5,2,20150908,1832, 68.9773, -52.8250,  256,     51.5,   1.5192,  33.5334,2,    312.7,2, -999.000,9,     -999,9,   2100.7,2,   2235.8,2, 20150908,     1832
  316N20150906, Davis,     2,  1, 412513,      6,2,20150908,1832, 68.9773, -52.8250,  256,     41.8,   1.8561,  33.4829,2,    324.1,2, -999.000,9,     -999,9,   -999.0,9,   -999.0,9, 20150908,     1832
  316N20150906, Davis,     2,  1, 412514,      7,2,20150908,1832, 68.9773, -52.8250,  256,     31.9,   3.0088,  33.2917,2,    338.7,2, -999.000,9,     -999,9,   -999.0,9,   -999.0,9, 20150908,     1832
