BOTTLE,20180220PRINUNIVRMK
# # processed by CCHDO on 2021-05-04, no changes
# # 2/20/18 Initialized README file   
# # Data source: J.Jackson 8/29/17  
# # Cruise: KN
# # Region: Davis Strait   
# # EXPOCODE: 316N20061001  
# # DATES:20061001 - 2006XXYY  
# # Chief Scientist: Craig Lee  
# # 73 stations with 24 place Rosette  
# # CTD: Who - B. Petrie; Status - final  
# # 	Includes: CTDSAL only 
# #	Temperature data are IPTS-68 
# #	CTDSAL are pSS-78  
# # SALNTY: Who - ; Status -   
# # 	Notes: 	no data in file  
# # Nutrients: Who - K.Azetsu-Scott; Status - final  
# # 	Includes: ammonium  
# # OXYGEN: Who - ; Status -  
# # 	Notes: no data in file  
# # TCARBN: Who - K.Azetsu-Scott; Status - final  
# # 	Notes:   
# # ALKALI: Who - K.Azetsu-Scott; Status - final  
# # 	Notes:   
# # O18: Who - K.Azetsu-Scott; Status - final  
# # 	Notes:  
# # These data should be cited as:  
# # References that have used data from this cruise:  
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,NH4,NH4_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,DELO18,DELO18_FLAG_W,BTL_DATE,BTL_TIME
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,/MILLE,,,
  316N20061001, Davis,     3,  1, 302505,      1,2,20061002,0120, 66.2517, -55.9950,  163,    150.6,   2.3330,  34.0063,2,     5.05,2,     9.50,2,     0.06,2,     0.73,2,     0.34,2,   -999.0,9,   -999.0,9,  -999.00,9, 20061002,      120
  316N20061001, Davis,     3,  1, 302506,      2,2,20061002,0120, 66.2517, -55.9950,  163,    102.1,   2.2979,  33.7817,2,     4.02,2,     7.42,2,     0.17,2,     0.66,2,     1.61,2,   -999.0,9,   -999.0,9,  -999.00,9, 20061002,      120
  316N20061001, Davis,     3,  1, 302507,      3,2,20061002,0120, 66.2517, -55.9950,  163,     52.3,   3.3244,  33.1338,2,     1.79,2,     2.61,2,     0.17,2,     0.40,2,     1.89,2,   -999.0,9,   -999.0,9,  -999.00,9, 20061002,      120
  316N20061001, Davis,     3,  1, 302508,      4,2,20061002,0120, 66.2517, -55.9950,  163,     22.3,   3.6887,  32.7675,2,     1.06,2,     1.08,2,     0.09,2,     0.27,2,     1.23,2,   -999.0,9,   -999.0,9,  -999.00,9, 20061002,      120
  316N20061001, Davis,     3,  1, 302509,      5,2,20061002,0120, 66.2517, -55.9950,  163,      3.1,   3.6918,  32.7639,2,     1.12,2,     1.19,2,     0.10,2,     0.26,2,     1.25,2,   -999.0,9,   -999.0,9,  -999.00,9, 20061002,      120
  316N20061001, Davis,     5,  1, 302510,      1,2,20061002,0120, 66.2513, -56.6552,  593,    581.7,   4.5648,  34.9014,2,     8.31,2,    14.71,2,     0.03,2,     0.97,2,     0.09,2,   -999.0,9,   -999.0,9,  -999.00,9, 20061002,      533
  316N20061001, Davis,     5,  1, 302511,      2,2,20061002,0120, 66.2513, -56.6552,  593,    501.4,   4.5979,  34.8771,2,     7.56,2,    14.46,2,     0.03,2,     0.97,2,     0.15,2,   -999.0,9,   -999.0,9,  -999.00,9, 20061002,      533
  316N20061001, Davis,     5,  1, 302512,      3,2,20061002,0120, 66.2513, -56.6552,  593,    402.0,   4.5684,  34.8545,2,     7.41,2,    14.51,2,     0.02,2,     0.96,2,     0.04,2,   -999.0,9,   -999.0,9,  -999.00,9, 20061002,      533
  316N20061001, Davis,     5,  1, 302513,      4,2,20061002,0120, 66.2513, -56.6552,  593,    202.3,   3.6656,  34.5770,2,     6.54,2,    13.45,2,     0.03,2,     0.89,2,     0.14,2,   -999.0,9,   -999.0,9,  -999.00,9, 20061002,      533
