BOTTLE,20170831PRINUNIVRMK
# Processed by CCHDO on 2021-05-12, no changes
# 10/30/2017 Initialized README file  
# Data source: J. Jackson on 20170829  
# BOTTLE,20170803DFOBIOBP 
# SHIP: Hudson 
# Cruise:  
# Region: Davis Strait 
# EXPOCODE: 18HU20050904 
# DATES: 20050904 
# Chief Scientist: Brian Petrie 
# 63 stations with 24(?) place Rosette 
# CTD: Who - Craig Lee; Status - final 
# 	Includes: CTDSAL, CTDOXY 
# SALNTY: Who - ; Status -  
# 	Notes: 	only enough for calibration 
# 	No data in file 
# Nutrients: Who - ; Status - 
# 	Includes: nitrate, silicate, phopshpate 
# OXYGEN: Who - ?; Status - 
# 	Notes: only enough for calibration? 
# 	no data in file 
# TCARBN: Who - K.Azetsu-Scott; Status - final 
# 	Notes:  
# ALKALI: Who - K.Azetsu-Scott; Status - final 
# 	Notes:  
# O18: Who - ; Status - final 
# 	Notes:  
# These data should be cited as: 
# References that have used data from this cruise: 
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,DELO18,DELO18_FLAG_W,BTL_DATE,BTL_TIME
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,/MILLE,,,
  18HU20050904, Davis,     4,  1, 286601,      1,2,20050905,2147, 67.3025, -54.0347,   36,     30.1,   5.1445,  32.6772,2,    228.6,2,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9,  -999.00,9, 20050905,     2147
  18HU20050904, Davis,     4,  1, 286602,      2,2,20050905,2147, 67.3025, -54.0347,   36,     10.7,   5.1228,  32.6528,2,    228.5,2,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9,  -999.00,9, 20050905,     2149
  18HU20050904, Davis,     4,  1, 286603,      3,2,20050905,2147, 67.3025, -54.0347,   36,      2.3,   5.1212,  32.6514,2,    228.6,2,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9,  -999.00,9, 20050905,     2150
  18HU20050904, Davis,     5,  1, 286604,      1,2,20050905,2312, 67.2633, -54.4793,   58,     52.5,   5.0347,  32.8260,2,    219.5,2,     3.93,2,     2.72,2,     0.67,2,   2049.4,2,   2204.2,2,    -0.90,2, 20050905,     2312
  18HU20050904, Davis,     5,  1, 286605,      2,2,20050905,2312, 67.2633, -54.4793,   58,     35.9,   5.1536,  32.6133,2,    228.3,2,     3.23,2,     2.82,2,     0.60,2,   -999.0,9,   -999.0,9,    -1.06,2, 20050905,     2314
  18HU20050904, Davis,     5,  1, 286606,      3,2,20050905,2312, 67.2633, -54.4793,   58,     20.1,   5.1771,  32.5980,2,    229.1,2,     2.69,2,     2.12,2,     0.53,2,   2026.1,2,   2189.3,2,  -999.00,9, 20050905,     2315
  18HU20050904, Davis,     5,  1, 286607,      4,2,20050905,2312, 67.2633, -54.4793,   58,     10.0,   5.1864,  32.5747,2,    230.3,2,     3.02,2,     2.45,2,     0.59,2,   -999.0,9,   -999.0,9,    -1.06,2, 20050905,     2316
  18HU20050904, Davis,     5,  1, 286608,      5,2,20050905,2312, 67.2633, -54.4793,   58,      2.7,   5.1919,  32.5387,2,    231.4,2,     2.88,2,     2.31,2,     0.56,2,   2028.1,2,   2164.1,2,    -1.05,2, 20050905,     2317
  18HU20050904, Davis,     6,  1, 286609,      1,2,20050906,0014, 67.2300, -54.8610,   58,     52.3,   5.0499,  32.9694,2,    214.6,2,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9,  -999.00,9, 20050906,       14
