BOTTLE,20180313PRINUNIVRMK
# Processed by CCHDO on 2021-05-17, no changes
# 03/12/2018 Initialized README file  
# Data source: J.Jackson 8/29/17  
# SHIP: R/V Knorr 
# Cruise:  
# Region: Davis Strait 
# EXPOCODE:316N20080901 
# DATES: 20080901 -  
# Chief Scientist: Craig Lee 
# 97 stations with 24 place Rosette 
# CTD: Who - B. Petrie; Status - final 
# 	Includes: CTDSAL, CTDOXY 
# 	Temperature data are IPTS-68  
# 	CTDSAL are pSS-78   
# SALNTY: Who - ; Status -  
# 	Notes: 	no data in file 
# Nutrients: Who - K.Azetsu-Scott; Status - final   
#  	Includes: ammonium 
# 	Nitrate and phosphate data very noisy 
# OXYGEN: Who - ; Status - 
# 	Notes: no data in file 
# TCARBN: Who - K.Azetsu-Scott; Status - final 
# 	Notes:  
# ALKALI: Who - K.Azetsu-Scott; Status - final 
# 	Notes:  
# O-18: Who - K.Azetsu-Scott; Status - final 
# 	Notes:  
# These data should be cited as: 
# References that have used data from this cruise: 
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,NH4,NH4_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,DELO18,DELO18_FLAG_W,BTL_DATE,BTL_TIME
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,/MILLE,,,
  316N20080901, Davis,     1,  1, 334001,      1,2,20080903,0215, 67.3085, -54.0160,   34,     31.3,   4.5833,  32.5737,2,   -999.0,9,     1.89,2,     1.60,2,     0.11,2,     0.36,2,     1.36,2,   -999.0,9,   -999.0,   9,  -999.00,9, 20080903,      215
  316N20080901, Davis,     1,  1, 334002,      2,2,20080903,0215, 67.3085, -54.0160,   34,     13.2,   4.6045,  32.5044,2,   -999.0,9,     2.05,2,     1.59,2,     0.11,2,     0.43,2,     1.27,2,   -999.0,9,   -999.0,   9,  -999.00,9, 20080903,      215
  316N20080901, Davis,     1,  1, 334003,      3,2,20080903,0215, 67.3085, -54.0160,   34,      2.4,   4.6636,  32.2493,2,   -999.0,9,     2.03,2,     1.49,2,     0.11,2,     0.35,2,     1.19,2,   -999.0,9,   -999.0,   9,  -999.00,9, 20080903,      215
  316N20080901, Davis,     2,  1, 334004,      1,2,20080903,0400, 67.2620, -54.4785,   55,     50.7,   4.7779,  32.7752,2,   -999.0,9,     1.67,2,     0.98,2,     0.11,2,     0.35,2,     1.35,2,   1992.9,2,   2176.3,   2,    -1.03,2, 20080903,      400
  316N20080901, Davis,     2,  1, 334005,      2,2,20080903,0400, 67.2620, -54.4785,   55,     32.4,   4.8147,  32.7300,2,   -999.0,9,     1.48,2,     0.90,2,     0.11,2,     0.33,2,     1.37,2,   -999.0,9,   -999.0,   9,    -1.04,2, 20080903,      400
  316N20080901, Davis,     2,  1, 334006,      3,2,20080903,0400, 67.2620, -54.4785,   55,     22.2,   4.9176,  32.6921,2,   -999.0,9,     1.28,2,     0.80,2,     0.10,2,     0.30,2,     1.16,2,   1973.7,2,   2165.8,   2,    -1.09,2, 20080903,      400
  316N20080901, Davis,     2,  1, 334007,      4,2,20080903,0400, 67.2620, -54.4785,   55,     12.4,   4.9759,  32.6707,2,   -999.0,9,     1.08,2,     0.59,2,     0.09,2,     0.27,2,     1.08,2,   -999.0,9,   -999.0,   9,    -1.07,2, 20080903,      400
  316N20080901, Davis,     2,  1, 334008,      5,2,20080903,0400, 67.2620, -54.4785,   55,      2.6,   4.9848,  32.6562,2,   -999.0,9,     1.13,2,     0.55,2,     0.09,2,     0.26,2,     0.93,2,   1992.2,2,   2130.3,   2,    -1.08,2, 20080903,      400
  316N20080901, Davis,     4,  1, 334009,      1,2,20080903,0656, 67.2620, -54.4785,   71,     68.2,   3.5595,  33.0431,2,   -999.0,9,     2.32,2,     2.71,2,     0.16,2,     0.48,2,     1.79,2,   2038.3,2,   2147.9,   2,    -0.83,2, 20080903,      656
