BOTTLE,20180319PRINUNIVRMK
# Processed by CCHDO on 2021-05-17, no changes
# 03/09/2018 Initialized README file  
# Data source: J.Jackson 8/29/17  
# SHIP: R/V Knorr 
# Cruise:  
# Region: Davis Strait 
# EXPOCODE:316N20091006 
# DATES: 20091006 - 2009XXYY 
# Chief Scientist: Craig Lee 
# 99 stations with 24 place Rosette 
# CTD: Who - B. Petrie; Status - final 
# 	Includes: CTDSAL, CTDOXY 
# 	Temperature data are IPTS-68  
# 	CTDSAL are pSS-78   
# SALNTY: Who - ; Status -  
# 	Notes: 	no data in file 
# Nutrients: Who - K.Azetsu-Scott; Status - final   
#  	Includes: ammonium 
# 	Data are noisy. QC difficult 
# OXYGEN: Who - ; Status - 
# 	Notes: no data in file 
# TCARBN: Who - K.Azetsu-Scott; Status - final 
# 	Notes: 	Data are noisy. QC difficult 
# ALKALI: Who - K.Azetsu-Scott; Status - final 
# 	Notes: Data are noisy. QC difficult 
# O-18: Who - K.Azetsu-Scott; Status - final 
# 	Notes:  
# These data should be cited as: 
# References that have used data from this cruise: 
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,NH4,NH4_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,DELO18,DELO18_FLAG_W,BTL_DATE,BTL_TIME
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,/MILLE,,,
  316N20091006, Davis,     1,  1, 358751,      1,2,20091007,0543, 67.0692, -56.6897,  390,    382.9,   4.4641,  34.8070,2,     6.70,2,    11.82,3,     0.10,2,     0.93,2,     0.05,2,   2193.4,2,   2276.3,2,     0.16,2, 20091007,      543
  316N20091006, Davis,     1,  1, 358752,      2,2,20091007,0543, 67.0692, -56.6897,  390,    303.0,   4.2641,  34.7199,2,     7.84,2,    14.89,2,     0.10,2,     0.99,2,     0.09,2,   2164.2,2,   2286.8,2,  -999.00,9, 20091007,      543
  316N20091006, Davis,     1,  1, 358753,      3,2,20091007,0543, 67.0692, -56.6897,  390,    203.2,   3.7388,  34.3874,2,     5.28,2,    10.36,2,     0.09,2,     0.83,2,     0.13,2,   2154.9,2,   2289.7,2,    -0.07,2, 20091007,      543
  316N20091006, Davis,     1,  1, 358754,      4,2,20091007,0543, 67.0692, -56.6897,  390,    103.5,  -1.3459,  33.6198,2,    10.20,2,    10.03,2,     0.10,2,     0.96,2,     0.08,2,   2170.0,2,   2226.5,2,    -1.01,2, 20091007,      543
  316N20091006, Davis,     1,  1, 358755,      5,2,20091007,0543, 67.0692, -56.6897,  390,     53.8,   2.7415,  33.4500,2,     3.36,2,     4.87,2,     0.37,2,     0.61,2,     2.47,2,   2083.1,2,   2230.5,2,    -0.56,2, 20091007,      543
  316N20091006, Davis,     1,  1, 358756,      6,2,20091007,0543, 67.0692, -56.6897,  390,     33.9,   3.0074,  33.0679,2,     1.83,2,     1.02,2,     0.16,2,     0.34,2,     0.73,2,   -999.0,9,   -999.0,9,  -999.00,9, 20091007,      543
  316N20091006, Davis,     1,  1, 358757,      7,2,20091007,0543, 67.0692, -56.6897,  390,     24.0,   3.0056,  33.0672,2,     1.61,2,     0.83,2,     0.15,2,     0.34,2,     0.66,2,   2061.2,2,   2216.6,2,    -0.80,2, 20091007,      543
  316N20091006, Davis,     1,  1, 358758,      8,2,20091007,0543, 67.0692, -56.6897,  390,     14.2,   2.9691,  33.0590,2,     2.07,2,     0.97,2,     0.16,2,     0.37,2,     0.98,2,   -999.0,9,   -999.0,9,  -999.00,9, 20091007,      543
  316N20091006, Davis,     1,  1, 358759,      9,2,20091007,0543, 67.0692, -56.6897,  390,      3.5,   2.9179,  33.0388,2,     1.82,2,     0.98,2,     0.16,2,     0.34,2,     0.84,2,   2069.7,2,   2187.9,2,    -0.82,2, 20091007,      543
