BOTTLE,20180312PRINUNIVRMK
# processed by CCHDO on 2021-05-27, no changes
# 03/09/2018 Initialized README file  
# Data source: J.Jackson 8/29/17  
# SHIP: R/V Knorr 
# Cruise:  
# Region: Davis Strait 
# EXPOCODE:316N20071003 
# DATES: 20071003 -  
# Chief Scientist: Craig Lee 
# 70 stations with 24 place Rosette 
# CTD: Who - B. Petrie; Status - final 
# 	Includes: CTDSAL, CTDOXY 
# 	Temperature data are IPTS-68  
# 	CTDSAL are pSS-78   
# SALNTY: Who - ; Status -  
# 	Notes: 	no data in file 
# Nutrients: Who - K.Azetsu-Scott; Status - final   
#  	Includes: ammonium 
# OXYGEN: Who - ; Status - 
# 	Notes: no data in file 
# TCARBN: Who - K.Azetsu-Scott; Status - final 
# 	Notes:  
# ALKALI: Who - K.Azetsu-Scott; Status - final 
# 	Notes:  
# O-18: Who - K.Azetsu-Scott; Status - final 
# 	Notes:  
# C14/C13: Who - ; Status - 
# 	Notes:  
# These data should be cited as: 
# References that have used data from this cruise: 
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,NH4,NH4_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,DELO18,DELO18_FLAG_W,BTL_DATE,BTL_TIME
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,/MILLE,,,
  316N20071003, Davis,     2,  1, 315501,      1,2,20071005,0242, 66.7602, -60.0702,  682,    602.9,   1.4299,  34.4542,2,    25.45,2,    17.87,2,     0.07,2,     1.41,2,     0.37,2,   2193.4,2,   2282.9,2,  -999.00,9, 20071005,      242
  316N20071003, Davis,     2,  1, 315502,      2,2,20071005,0242, 66.7602, -60.0702,  682,    502.8,   1.4427,  34.4157,2,    23.43,2,    17.53,2,     0.07,2,     1.28,2,      0.3,2,   -999.0,9,   -999.0,9,  -999.00,9, 20071005,      242
  316N20071003, Davis,     2,  1, 315503,      3,2,20071005,0242, 66.7602, -60.0702,  682,    402.2,   1.1778,  34.3187,2,    22.18,2,    17.07,2,     0.07,2,     1.28,2,     0.38,2,   2186.6,2,   2275.0,2,    -0.19,2, 20071005,      242
  316N20071003, Davis,     2,  1, 315504,      4,2,20071005,0242, 66.7602, -60.0702,  682,    302.2,   0.7296,  34.1265,2,    19.79,2,    16.26,2,     0.07,2,     1.26,2,     0.35,2,   -999.0,9,   -999.0,9,    -0.42,2, 20071005,      242
  316N20071003, Davis,     2,  1, 315505,      5,2,20071005,0242, 66.7602, -60.0702,  682,    203.2,  -1.0495,  33.6834,2,    13.43,2,    12.27,2,     0.07,2,     1.11,2,     0.25,2,   2159.2,2,   2257.5,2,    -0.92,2, 20071005,      242
  316N20071003, Davis,     2,  1, 315506,      6,2,20071005,0242, 66.7602, -60.0702,  682,    102.3,  -1.6637,  33.3674,2,    13.35,2,    10.08,2,     0.07,2,     1.09,2,     0.37,2,   2145.6,2,   2246.6,2,    -1.28,2, 20071005,      242
  316N20071003, Davis,     2,  1, 315507,      7,2,20071005,0242, 66.7602, -60.0702,  682,     52.8,  -1.5960,  33.1365,2,    12.80,2,     8.51,2,     0.16,2,     1.11,2,     0.34,2,   2142.2,2,   2248.9,2,     0.00,2, 20071005,      242
  316N20071003, Davis,     2,  1, 315508,      8,2,20071005,0242, 66.7602, -60.0702,  682,     32.4,  -0.8231,  32.8054,2,     4.23,2,     0.46,2,     0.07,2,     0.63,2,     0.42,2,   2066.4,2,   2255.8,2,  -999.00,9, 20071005,      242
  316N20071003, Davis,     2,  1, 315509,      9,2,20071005,0242, 66.7602, -60.0702,  682,     22.8,   1.1476,  31.4650,2,     3.80,2,     0.35,2,     0.06,2,     0.59,2,     0.35,2,   2003.2,2,   2159.2,2,    -1.80,2, 20071005,      242
