BOTTLE,20140508CCHSIOGR
#CTDPRS units changed from 'DBARS' to 'DBAR'
#Changed chief scientists
#BOTTLE,20081204PRINUNIVRMKPRINUNIVRMK
# 9/17/07 Initialized README file  
# Data from CCHDO 7/27/07 
# Ship: Polar Star 
# Cruise: 32PZAWS02I 
# Cruise dates: 7/15-8/13/2002 
# EXPOCODE: 32PZ20020715 
# Region: Dutch Harbor to Barrow AK; 4 short sections north of Alaska  
# Chief Scientist: Thomas J. Weingartner and Robert S. Pickart
# 63 stations with 24 place Rosette 
# Hydro: Who - J. Swift; Status - final 
# 	Notes:Seabird 911 CTD	 
# Nuts: Who - J. Swift; Status - final 
# 	Notes:No oxygen data 
# References: 
# Swift, J. and L. Codispoti, AWS02-I (Polar Star) Data Documentation 
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W
,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,
  32PZ20020715,Arctic,     3,  1,    106,      6,2,20020719, 70.7005,-168.9023,   33,      1.0,   4.7250,  31.1061,2,  31.1175,2,     3.82,2,     0.00,2,     0.00,2,     0.24,2
  32PZ20020715,Arctic,     3,  1,    105,      5,2,20020719, 70.7005,-168.9023,   33,      9.8,   4.4777,  31.1296,2,  31.1865,2,     3.72,2,     0.00,2,     0.00,2,     0.31,2
  32PZ20020715,Arctic,     3,  1,    104,      4,2,20020719, 70.7005,-168.9023,   33,     14.7,   4.2641,  31.1449,2,  31.3663,2,  -999.00,5,  -999.00,5,  -999.00,5,  -999.00,5
  32PZ20020715,Arctic,     3,  1,    103,      3,2,20020719, 70.7005,-168.9023,   33,     19.5,   0.7564,  31.8547,2,  32.0343,2,     2.22,2,     0.02,2,     0.00,2,     0.37,2
  32PZ20020715,Arctic,     3,  1,    102,      2,2,20020719, 70.7005,-168.9023,   33,     24.8,  -0.0693,  32.3052,2,  32.3012,2,     0.00,2,     0.02,2,     0.00,2,     0.46,2
  32PZ20020715,Arctic,     3,  1,    101,      1,2,20020719, 70.7005,-168.9023,   33,     29.4,  -0.0804,  32.3276,2,  32.2481,2,     0.18,2,     0.02,2,     0.00,2,     0.45,2
  32PZ20020715,Arctic,     4,  1,    105,      5,2,20020719, 70.7012,-168.2192,   45,      0.7,   3.7803,  30.9751,2,  31.0672,2,     5.09,2,     0.00,2,     0.00,2,     0.33,2
  32PZ20020715,Arctic,     4,  1,    104,      4,2,20020719, 70.7012,-168.2192,   45,     11.7,   2.7667,  31.1037,2,  31.7018,2,     7.16,2,     0.04,2,     0.00,2,     0.55,2
  32PZ20020715,Arctic,     4,  1,    103,      3,2,20020719, 70.7012,-168.2192,   45,     26.7,  -0.3385,  32.2804,2,  32.3609,2,     7.60,2,     0.99,2,     0.04,2,     0.87,2
