CTD,20100713SIOCCHDLIB
# Auto-generated Exchange CTD file from ctd_polarstern_to_ctd_exchange
# Please verify integrity before use.
#
# Original data acquired from CD
# Reference website: http://www.awi.de/en/research/research_divisions/climate_science/observational_oceanography
#
# Citation: Schauer Ursula (2004)
#     Physical oceanography during cruise ARK-XV/3 at CTD station PS55/194-1, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, PANGAEA, doi:10.1594/PANGAEA.226700
# Reference(s): Schauer Ursula (2004)
#      Physical oceanography during cruise ARK-XV/3 at CTD station PS55/194-1, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, PANGAEA, doi:10.1594/PANGAEA.226700
# Parameters
#   CTDNOBS (nobs) [#]:  *  (Schauer, Ursula (URL: http://www.awi.de/People/show?uschauer, eMail: ursula.schauer@awi.de))
#   THETA (tpot) [deg C]: calculated *  (Schauer, Ursula (URL: http://www.awi.de/People/show?uschauer, eMail: ursula.schauer@awi.de))
#   FLUOR (chl_fluores) [V]: Backscatter Fluorometer, Dr. Haardt *  (Brunﬂen, Jutta)
#   CTDPRS (press) [dbar]: CTD, SEA-BIRD SBE 911plus, SN 0485 *  (Schauer, Ursula (URL: http://www.awi.de/People/show?uschauer, eMail: ursula.schauer@awi.de))
#   CTDSAL (sal) []: CTD, SEA-BIRD SBE 911plus, SN 0485 *  (Schauer, Ursula (URL: http://www.awi.de/People/show?uschauer, eMail: ursula.schauer@awi.de))
#   CTDTMP (temp) [deg C]: CTD, SEA-BIRD SBE 911plus, SN 0485 * ITS-90 (Schauer, Ursula (URL: http://www.awi.de/People/show?uschauer, eMail: ursula.schauer@awi.de))
NUMBER_HEADERS = 10
EXPOCODE = None
SECT = ARK-XV/3 (PS55)
STNNBR = 194
CASTNO = 1
DATE = 19990912
TIME = 0957
LATITUDE = 75.8842
LONGITUDE = 15.3203
DEPTH = 368.4
THETA,CTDPRS,CTDTMP,CTDSAL,CTDNOBS
DEG C,DBAR,ITS-90,PSS-78,
  4.7006,    10.0,  4.7013, 34.5405,16.0
  4.6904,    12.0,  4.6913, 34.5424,20.0
  4.6898,    14.0,  4.6908, 34.5440,13.0
  4.6893,    16.0,  4.6905, 34.5451,16.0
  4.6899,    18.0,  4.6912, 34.5460,17.0
  4.6959,    20.0,  4.6973, 34.5505,17.0
  4.6971,    22.0,  4.6987, 34.5511,16.0
  4.6996,    24.0,  4.7013, 34.5521,15.0
  4.7019,    26.0,  4.7038, 34.5532,19.0
  4.7062,    28.0,  4.7082, 34.5553,16.0
  4.7113,    30.0,  4.7135, 34.5574,13.0
  4.7176,    32.0,  4.7199, 34.5598,16.0
  4.7352,    34.0,  4.7377, 34.5701,18.0
  4.7686,    36.0,  4.7712, 34.5885,18.0
  4.7879,    38.0,  4.7907, 34.6045,14.0
  4.7983,    40.0,  4.8013, 34.6207,15.0
  4.7614,    42.0,  4.7645, 34.6236,26.0
  4.7019,    44.0,  4.7051, 34.6346,12.0
  4.7747,    46.0,  4.7781, 34.6673,13.0
  4.7014,    48.0,  4.7049, 34.6695,19.0
  4.7095,    50.0,  4.7132, 34.6874,15.0
  4.4815,    52.0,  4.4853, 34.6799,14.0
  4.4823,    54.0,  4.4862, 34.7025,14.0
  4.5036,    56.0,  4.5077, 34.7151,15.0
  4.5647,    58.0,  4.5690, 34.7353,22.0
  4.3293,    60.0,  4.3336, 34.7421,17.0
  4.1212,    62.0,  4.1255, 34.7625,13.0
  3.9305,    64.0,  3.9348, 34.7597,14.0
  3.8781,    66.0,  3.8826, 34.7752,15.0
  3.9256,    68.0,  3.9302, 34.8050,15.0
  4.0776,    70.0,  4.0825, 34.8499,13.0
  4.0851,    72.0,  4.0902, 34.8753,18.0
  3.7291,    74.0,  3.7341, 34.8463,14.0
  3.7135,    76.0,  3.7186, 34.8472,10.0
  3.8365,    78.0,  3.8418, 34.8745,12.0
  3.6949,    80.0,  3.7003, 34.8580,15.0
  3.5250,    82.0,  3.5303, 34.8567,21.0
  3.4995,    84.0,  3.5049, 34.8612,14.0
  3.4730,    86.0,  3.4786, 34.8622,14.0
  3.4484,    88.0,  3.4541, 34.8653,17.0
  3.2879,    90.0,  3.2936, 34.8632,14.0
  3.1566,    92.0,  3.1624, 34.8607,13.0
  3.0991,    94.0,  3.1049, 34.8615,9.0
  3.3000,    96.0,  3.3061, 34.8938,12.0
  3.4074,    98.0,  3.4137, 34.9179,13.0
  3.3984,   100.0,  3.4049, 34.9212,21.0
  3.3254,   102.0,  3.3319, 34.9150,16.0
  3.0797,   104.0,  3.0861, 34.8939,19.0
  3.0520,   106.0,  3.0585, 34.8942,20.0
  3.0401,   108.0,  3.0467, 34.8949,13.0
  3.0997,   110.0,  3.1065, 34.9062,14.0
  3.1991,   112.0,  3.2062, 34.9263,14.0
  3.4993,   114.0,  3.5068, 34.9694,18.0
  3.6504,   116.0,  3.6582, 34.9934,21.0
  3.7596,   118.0,  3.7676, 35.0073,15.0
  3.7612,   120.0,  3.7694, 35.0077,14.0
  3.7781,   122.0,  3.7864, 35.0096,15.0
  3.5640,   124.0,  3.5723, 34.9866,12.0
  3.5222,   126.0,  3.5305, 34.9845,14.0
  3.5254,   128.0,  3.5338, 34.9873,12.0
  3.5065,   130.0,  3.5150, 34.9878,19.0
  3.4912,   132.0,  3.4999, 34.9921,13.0
  3.4828,   134.0,  3.4916, 34.9918,15.0
  3.4545,   136.0,  3.4634, 34.9897,12.0
  3.4087,   138.0,  3.4177, 34.9889,17.0
  3.3627,   140.0,  3.3718, 34.9888,18.0
  3.3417,   142.0,  3.3509, 34.9876,19.0
  3.3261,   144.0,  3.3354, 34.9877,24.0
  3.3159,   146.0,  3.3253, 34.9920,20.0
  3.3046,   148.0,  3.3142, 34.9918,16.0
  3.2702,   150.0,  3.2799, 34.9921,16.0
  3.2628,   152.0,  3.2726, 34.9942,19.0
  3.2592,   154.0,  3.2691, 34.9941,15.0
  3.2579,   156.0,  3.2679, 34.9939,18.0
  3.2526,   158.0,  3.2628, 34.9938,16.0
  3.2293,   160.0,  3.2396, 34.9937,19.0
  3.2197,   162.0,  3.2301, 34.9937,18.0
  3.1963,   164.0,  3.2068, 34.9924,15.0
  3.1852,   166.0,  3.1958, 34.9918,14.0
  3.2234,   168.0,  3.2342, 35.0025,13.0
  3.2895,   170.0,  3.3005, 35.0144,16.0
  3.3004,   172.0,  3.3115, 35.0172,15.0
  3.2792,   174.0,  3.2904, 35.0168,17.0
  3.1612,   176.0,  3.1724, 35.0041,16.0
  3.0641,   178.0,  3.0752, 34.9952,14.0
  3.0164,   180.0,  3.0276, 34.9905,16.0
  2.9526,   182.0,  2.9639, 34.9846,16.0
  2.8654,   184.0,  2.8767, 34.9752,21.0
  2.8211,   186.0,  2.8324, 34.9716,21.0
  2.7348,   188.0,  2.7462, 34.9631,15.0
  2.5637,   190.0,  2.5749, 34.9445,14.0
  2.5123,   192.0,  2.5235, 34.9396,24.0
  2.1911,   194.0,  2.2019, 34.9058,14.0
  2.1826,   196.0,  2.1935, 34.9049,15.0
  2.1475,   198.0,  2.1584, 34.9027,17.0
  2.1852,   200.0,  2.1963, 34.9070,20.0
  2.0696,   202.0,  2.0807, 34.9021,12.0
  2.0857,   204.0,  2.0969, 34.9052,13.0
  2.1177,   206.0,  2.1291, 34.9120,15.0
  2.1348,   208.0,  2.1463, 34.9155,22.0
  2.1836,   210.0,  2.1953, 34.9278,16.0
  2.1714,   212.0,  2.1832, 34.9292,15.0
  2.1419,   214.0,  2.1538, 34.9267,15.0
  2.1141,   216.0,  2.1260, 34.9240,19.0
  2.0723,   218.0,  2.0843, 34.9202,16.0
  2.0033,   220.0,  2.0153, 34.9133,17.0
  1.8896,   222.0,  1.9015, 34.9050,14.0
  1.8438,   224.0,  1.8557, 34.9045,15.0
  1.8074,   226.0,  1.8193, 34.9061,19.0
  1.7669,   228.0,  1.7789, 34.9035,13.0
  1.7790,   230.0,  1.7911, 34.9051,12.0
  1.7281,   232.0,  1.7402, 34.9005,14.0
  1.5938,   234.0,  1.6058, 34.8940,25.0
  1.5456,   236.0,  1.5576, 34.8911,17.0
  1.4927,   238.0,  1.5047, 34.8873,14.0
  1.4523,   240.0,  1.4643, 34.8852,15.0
  1.4107,   242.0,  1.4227, 34.8827,16.0
  1.3378,   244.0,  1.3498, 34.8774,17.0
  1.3439,   246.0,  1.3560, 34.8787,14.0
  1.3177,   248.0,  1.3298, 34.8766,14.0
