CTD,20100713SIOCCHDLIB
# Auto-generated Exchange CTD file from ctd_polarstern_to_ctd_exchange
# Please verify integrity before use.
#
# Original data acquired from CD
# Reference website: http://www.awi.de/en/research/research_divisions/climate_science/observational_oceanography
#
# Citation: Schauer Ursula (2004)
#     Physical oceanography during cruise ARK-XV/3 at CTD station PS55/230-1, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, PANGAEA, doi:10.1594/PANGAEA.226728
# Reference(s): Schauer Ursula (2004)
#      Physical oceanography during cruise ARK-XV/3 at CTD station PS55/230-1, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, PANGAEA, doi:10.1594/PANGAEA.226728
# Parameters
#   CTDNOBS (nobs) [#]:  *  (Schauer, Ursula (URL: http://www.awi.de/People/show?uschauer, eMail: ursula.schauer@awi.de))
#   THETA (tpot) [deg C]: calculated *  (Schauer, Ursula (URL: http://www.awi.de/People/show?uschauer, eMail: ursula.schauer@awi.de))
#   FLUOR (chl_fluores) [V]: Backscatter Fluorometer, Dr. Haardt *  (Brunﬂen, Jutta)
#   CTDPRS (press) [dbar]: CTD, SEA-BIRD SBE 911plus, SN 0485 *  (Schauer, Ursula (URL: http://www.awi.de/People/show?uschauer, eMail: ursula.schauer@awi.de))
#   CTDSAL (sal) []: CTD, SEA-BIRD SBE 911plus, SN 0485 *  (Schauer, Ursula (URL: http://www.awi.de/People/show?uschauer, eMail: ursula.schauer@awi.de))
#   CTDTMP (temp) [deg C]: CTD, SEA-BIRD SBE 911plus, SN 0485 * ITS-90 (Schauer, Ursula (URL: http://www.awi.de/People/show?uschauer, eMail: ursula.schauer@awi.de))
NUMBER_HEADERS = 10
EXPOCODE = None
SECT = ARK-XV/3 (PS55)
STNNBR = 230
CASTNO = 1
DATE = 19990917
TIME = 2003
LATITUDE = 79.501
LONGITUDE = -0.0022
DEPTH = 2769.5
THETA,CTDPRS,CTDTMP,CTDSAL,CTDNOBS
DEG C,DBAR,ITS-90,PSS-78,
  0.8914,     4.0,  0.8915, 33.4130,28.0
  0.9721,     6.0,  0.9723, 33.4452,18.0
  1.0194,     8.0,  1.0197, 33.4843,16.0
  1.0466,    10.0,  1.0471, 33.5028,13.0
  1.3986,    12.0,  1.3991, 33.5476,12.0
  1.3638,    14.0,  1.3644, 33.5611,12.0
  1.4197,    16.0,  1.4204, 33.5825,14.0
  1.3702,    18.0,  1.3710, 33.5941,16.0
  1.0151,    20.0,  1.0159, 33.6176,13.0
  0.9736,    22.0,  0.9745, 33.6619,19.0
  0.7282,    24.0,  0.7292, 33.6903,16.0
  2.4836,    26.0,  2.4850, 33.8925,13.0
  3.2651,    28.0,  3.2668, 34.1133,13.0
  0.9882,    30.0,  0.9894, 33.9764,11.0
  0.0629,    32.0,  0.0640, 34.0837,16.0
 -1.0304,    34.0, -1.0295, 34.1548,14.0
 -0.8179,    36.0, -0.8169, 34.1820,17.0
 -1.0158,    38.0, -1.0148, 34.2441,18.0
 -1.0937,    40.0, -1.0927, 34.2561,13.0
 -1.4486,    42.0, -1.4476, 34.2448,16.0
 -1.2764,    44.0, -1.2753, 34.2822,18.0
 -1.1450,    46.0, -1.1439, 34.3004,13.0
 -1.2892,    48.0, -1.2880, 34.3058,18.0
 -1.0837,    50.0, -1.0825, 34.3202,20.0
 -1.1703,    52.0, -1.1690, 34.3259,21.0
 -1.2863,    54.0, -1.2850, 34.3257,16.0
 -1.4336,    56.0, -1.4323, 34.3237,16.0
 -1.5594,    58.0, -1.5582, 34.3292,20.0
 -1.6449,    60.0, -1.6437, 34.3376,16.0
 -1.6281,    62.0, -1.6268, 34.3442,19.0
 -1.5771,    64.0, -1.5757, 34.3532,18.0
 -1.5383,    66.0, -1.5369, 34.3577,17.0
 -1.4977,    68.0, -1.4962, 34.3707,16.0
 -1.4962,    70.0, -1.4947, 34.3744,15.0
